Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000284,13.170505,[18 35] ; [22  7],[25.85365854 27.14634146] ; [14.14634146 14.85365854],1
v3,1,0.012356,6.259014,[10 43] ; [13 16],[14.86585366 38.13414634] ; [ 8.13414634 20.86585366],0
a2,1,0.020229,5.392042,[12 42] ; [14 16],[16.71428571 37.28571429] ; [ 9.28571429 20.71428571],0
a3,1,0.021208,5.30963,[34 20] ; [26  4],[38.57142857 15.42857143] ; [21.42857143  8.57142857],0
a5,1,0.045754,3.990616,[36 18] ; [26  4],[39.85714286 14.14285714] ; [22.14285714  7.85714286],0
s6,1,0.06373,3.437564,[22 32] ; [18 11],[26.02409639 27.97590361] ; [13.97590361 15.02409639],0
a6,1,0.075705,3.154776,[33 21] ; [24  6],[36.64285714 17.35714286] ; [20.35714286  9.64285714],0
n2,1,0.084695,2.972426,[ 9 13] ; [8 3],[11.33333333 10.66666667] ; [5.66666667 5.33333333],0
s7,1,0.099081,2.720272,[13 37] ; [12 15],[16.23376623 33.76623377] ; [ 8.76623377 18.23376623],0
r3,1,0.128882,2.305923,[43 10] ; [28  2],[45.3373494  7.6626506] ; [25.6626506  4.3373494],0
u2,1,0.161749,1.957794,[12  7] ; [1 3],[10.73913043  8.26086957] ; [2.26086957 1.73913043],0
s2,1,0.184969,1.75724,[16 37] ; [13 16],[18.74390244 34.25609756] ; [10.25609756 18.74390244],0
p3,1,0.202198,1.626429,[13 40] ; [11 18],[15.51219512 37.48780488] ; [ 8.48780488 20.51219512],0
p2,1,0.248213,1.333333,[29 25] ; [20 10],[31.5 22.5] ; [17.5 12.5],0
n4,1,0.258927,1.274483,[33 21] ; [22  8],[35.35714286 18.64285714] ; [19.64285714 10.35714286],0
n3,1,0.261366,1.261508,[ 8 13] ; [7 5],[ 9.54545455 11.45454545] ; [5.45454545 6.54545455],0
a4,1,0.27527,1.190293,[27 26] ; [19 11],[29.37349398 23.62650602] ; [16.62650602 13.37349398],0
s3,1,0.324127,0.972222,[21 33] ; [15 15],[23.14285714 30.85714286] ; [12.85714286 17.14285714],0
b2,1,0.342489,0.901093,[ 9 30] ; [ 6 11],[10.44642857 28.55357143] ; [ 4.55357143 12.44642857],0
b3,1,0.342489,0.901093,[ 9 30] ; [ 6 11],[10.44642857 28.55357143] ; [ 4.55357143 12.44642857],0
d2,1,0.377609,0.778472,[41 11] ; [26  4],[42.48780488  9.51219512] ; [24.51219512  5.48780488],0
s4,1,0.397721,0.715207,[ 9 43] ; [ 3 26],[ 7.7037037 44.2962963] ; [ 4.2962963 24.7037037],0
v4,1,0.398583,0.712598,[42 11] ; [26  4],[43.42168675  9.57831325] ; [24.57831325  5.42168675],0
r2,1,0.406984,0.687595,[48  4] ; [26  4],[46.92682927  5.07317073] ; [27.07317073  2.92682927],0
p10,1,0.428308,0.627407,[17 37] ; [ 7 23],[15.42857143 38.57142857] ; [ 8.57142857 21.42857143],0
u3,1,0.438578,0.6,[14  6] ; [2 2],[13.33333333  6.66666667] ; [2.66666667 1.33333333],0
n6,1,0.491167,0.473968,[35 18] ; [22  8],[36.39759036 16.60240964] ; [20.60240964  9.39759036],0
a7,1,0.502609,0.449423,[37 16] ; [23  7],[38.31325301 14.68674699] ; [21.68674699  8.31325301],0
p1,1,0.506108,0.442105,[ 6 48] ; [ 2 28],[ 5.14285714 48.85714286] ; [ 2.85714286 27.14285714],0
