Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3.9e-05,16.923943,[62  3] ; [4 4],[58.76712329  6.23287671] ; [7.23287671 0.76712329],1
r4,1,0.000973,10.878788,[56  9] ; [3 5],[52.53424658 12.46575342] ; [6.46575342 1.53424658],1
n2,1,0.005816,7.606536,[16  2] ; [1 3],[13.90909091  4.09090909] ; [3.09090909 0.90909091],0
p11,1,0.008346,6.957705,[40 25] ; [1 7],[36.50684932 28.49315068] ; [4.49315068 3.50684932],0
p2,1,0.01272,6.207709,[51 14] ; [3 5],[48.08219178 16.91780822] ; [5.91780822 2.08219178],0
r2,1,0.021738,5.266617,[59  6] ; [5 3],[56.98630137  8.01369863] ; [7.01369863 0.98630137],0
r1,1,0.025506,4.989182,[49 16] ; [3 5],[46.30136986 18.69863014] ; [5.69863014 2.30136986],0
d5,1,0.041878,4.140115,[53 12] ; [4 4],[50.75342466 14.24657534] ; [6.24657534 1.75342466],0
n6,1,0.067911,3.332815,[49 16] ; [3 4],[46.94444444 18.05555556] ; [5.05555556 1.94444444],0
s1,1,0.07044,3.272727,[ 4 60] ; [2 6],[ 5.33333333 58.66666667] ; [0.66666667 7.33333333],0
b1,1,0.192236,1.700395,[40 25] ; [3 5],[38.28767123 26.71232877] ; [4.71232877 3.28767123],0
b5,1,0.194818,1.680804,[33 32] ; [6 2],[34.7260274 30.2739726] ; [4.2739726 3.7260274],0
p6,1,0.261206,1.262356,[20 43] ; [1 7],[18.63380282 44.36619718] ; [2.36619718 5.63380282],0
s3,1,0.275677,1.188281,[37 27] ; [3 5],[35.55555556 28.44444444] ; [4.44444444 3.55555556],0
n5,1,0.297605,1.084897,[37 28] ; [3 5],[35.61643836 29.38356164] ; [4.38356164 3.61643836],0
n3,1,0.349445,0.87547,[14  5] ; [2 2],[13.2173913  5.7826087] ; [2.7826087 1.2173913],0
p5,1,0.421307,0.646666,[ 4 61] ; [1 6],[ 4.51388889 60.48611111] ; [0.48611111 6.51388889],0
p3,1,0.453255,0.5625,[31 33] ; [5 3],[32. 32.] ; [4. 4.],0
v1,1,0.456748,0.553852,[25 40] ; [2 6],[24.04109589 40.95890411] ; [2.95890411 5.04109589],0
a5,1,0.456748,0.553852,[40 25] ; [6 2],[40.95890411 24.04109589] ; [5.04109589 2.95890411],0
s5,1,0.470795,0.52011,[15 48] ; [1 7],[14.1971831 48.8028169] ; [1.8028169 6.1971831],0
n4,1,0.472901,0.515189,[41 24] ; [4 4],[40.06849315 24.93150685] ; [4.93150685 3.06849315],0
d1,1,0.478719,0.50178,[33 32] ; [3 5],[32.05479452 32.94520548] ; [3.94520548 4.05479452],0
u2,1,0.5456,0.36526,[13 19] ; [1 3],[12.44444444 19.55555556] ; [1.55555556 2.44444444],0
s6,1,0.552055,0.353649,[39 25] ; [4 4],[38.22222222 25.77777778] ; [4.77777778 3.22222222],0
p7,1,0.552055,0.353649,[39 25] ; [4 4],[38.22222222 25.77777778] ; [4.77777778 3.22222222],0
b4,1,0.587501,0.294264,[39 26] ; [4 4],[38.28767123 26.71232877] ; [4.71232877 3.28767123],0
n1,1,0.601448,0.272817,[ 7 11] ; [1 3],[ 6.54545455 11.45454545] ; [1.45454545 2.54545455],0
a7,1,0.630527,0.231347,[46 19] ; [5 3],[45.4109589 19.5890411] ; [5.5890411 2.4109589],0
p8,1,0.634553,0.225937,[34 31] ; [3 4],[33.40277778 31.59722222] ; [3.59722222 3.40277778],0
d4,1,0.674595,0.176274,[44 21] ; [6 2],[44.52054795 20.47945205] ; [5.47945205 2.52054795],0
a4,1,0.717491,0.130909,[20 44] ; [2 6],[19.55555556 44.44444444] ; [2.44444444 5.55555556],0
d3,1,0.737194,0.112608,[45 20] ; [6 2],[45.4109589 19.5890411] ; [5.5890411 2.4109589],0
a6,1,0.763316,0.090679,[37 28] ; [5 3],[37.39726027 27.60273973] ; [4.60273973 3.39726027],0
s2,1,0.772618,0.083493,[27 36] ; [3 5],[26.61971831 36.38028169] ; [3.38028169 4.61971831],0
b2,1,0.804681,0.061154,[12 36] ; [1 4],[11.77358491 36.22641509] ; [1.22641509 3.77358491],0
b3,1,0.804681,0.061154,[12 36] ; [1 4],[11.77358491 36.22641509] ; [1.22641509 3.77358491],0
a2,1,0.829605,0.046315,[10 55] ; [1 7],[ 9.79452055 55.20547945] ; [1.20547945 6.79452055],0
v3,1,0.837177,0.042232,[22 43] ; [3 5],[22.26027397 42.73972603] ; [2.73972603 5.26027397],0
v2,1,0.867429,0.027864,[30 34] ; [4 4],[30.22222222 33.77777778] ; [3.77777778 4.22222222],0
d2,1,0.90188,0.0152,[31 34] ; [4 4],[31.16438356 33.83561644] ; [3.83561644 4.16438356],0
a3,1,0.967244,0.001686,[32 33] ; [4 4],[32.05479452 32.94520548] ; [3.94520548 4.05479452],0
