Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,140.277597,[ 15 128] ; [123  33],[66. 77.] ; [72. 84.],1
s7,1,0.0,66.942724,[ 26 110] ; [102  50],[60.44444444 75.55555556] ; [67.55555556 84.44444444],1
s6,1,0.0,58.242041,[58 85] ; [127  25],[89.6779661 53.3220339] ; [95.3220339 56.6779661],1
s8,1,0.0,42.751787,[ 28 114] ; [88 67],[55.46127946 86.53872054] ; [60.53872054 94.46127946],1
s5,1,0.000354,12.761325,[ 30 112] ; [60 88],[44.06896552 97.93103448] ; [ 45.93103448 102.06896552],1
s4,1,0.002052,9.50279,[ 10 132] ; [ 30 126],[ 19.06040268 122.93959732] ; [ 20.93959732 135.06040268],0
r2,1,0.005844,7.597913,[127  13] ; [150   3],[132.35494881   7.64505119] ; [144.64505119   8.35494881],0
p9,1,0.008607,6.902599,[108  34] ; [136  19],[116.65993266  25.34006734] ; [127.34006734  27.65993266],0
b4,1,0.021745,5.266039,[71 72] ; [98 58],[80.82608696 62.17391304] ; [88.17391304 67.82608696],0
p12,1,0.023997,5.094881,[  4 139] ; [ 14 141],[  8.63758389 134.36241611] ; [  9.36241611 145.63758389],0
v3,1,0.034685,4.460616,[64 73] ; [91 63],[72.97250859 64.02749141] ; [82.02749141 71.97250859],0
r4,1,0.053897,3.715901,[122  21] ; [144  12],[127.2173913  15.7826087] ; [138.7826087  17.2173913],0
p10,1,0.070865,3.262874,[109  34] ; [131  24],[115.16778523  27.83221477] ; [124.83221477  30.16778523],0
p5,1,0.111454,2.533479,[ 13 130] ; [  7 149],[  9.56521739 133.43478261] ; [ 10.43478261 145.56521739],0
r3,1,0.118605,2.435643,[136   6] ; [153   2],[138.17508418   3.82491582] ; [150.82491582   4.17508418],0
a4,1,0.159301,1.980845,[67 75] ; [61 95],[60.99328859 81.00671141] ; [67.00671141 88.99328859],0
a6,1,0.170664,1.877103,[104  39] ; [102  54],[98.52173913 44.47826087] ; [107.47826087  48.52173913],0
r1,1,0.207658,1.587676,[117  26] ; [135  20],[120.9261745  22.0738255] ; [131.0738255  23.9261745],0
u4,1,0.209063,1.577901,[  1 142] ; [  4 152],[  2.39130435 140.60869565] ; [  2.60869565 153.39130435],0
a5,1,0.271713,1.208081,[106  37] ; [124  32],[110.  33.] ; [120.  36.],0
p7,1,0.273788,1.19767,[74 68] ; [90 64],[78.67567568 63.32432432] ; [85.32432432 68.67567568],0
s1,1,0.275997,1.186697,[  3 139] ; [  1 153],[  1.91891892 140.08108108] ; [  2.08108108 151.91891892],0
n4,1,0.346297,0.886981,[102  41] ; [118  37],[105.5704698  37.4295302] ; [114.4295302  40.5704698],0
v4,1,0.364266,0.823133,[133  10] ; [147   7],[134.81481481   8.18518519] ; [145.18518519   8.81481481],0
n1,1,0.369212,0.806317,[ 8 25] ; [11 21],[ 9.64615385 23.35384615] ; [ 9.35384615 22.64615385],0
u3,1,0.370495,0.802005,[19 21] ; [23 17],[21. 19.] ; [21. 19.],0
p3,1,0.387659,0.746271,[58 85] ; [71 85],[61.69565217 81.30434783] ; [67.30434783 88.69565217],0
p8,1,0.403068,0.699153,[60 81] ; [73 81],[63.56949153 77.43050847] ; [69.43050847 84.56949153],0
n5,1,0.404584,0.694659,[97 45] ; [112  42],[100.26351351  41.73648649] ; [108.73648649  45.26351351],0
p2,1,0.415278,0.66364,[110  33] ; [126  30],[112.86956522  30.13043478] ; [123.13043478  32.86956522],0
p11,1,0.418249,0.65523,[112  31] ; [128  28],[114.7826087  28.2173913] ; [125.2173913  30.7826087],0
a8,1,0.477453,0.504675,[ 16 108] ; [ 23 121],[ 18.04477612 105.95522388] ; [ 20.95522388 123.04477612],0
n2,1,0.484877,0.487876,[25  7] ; [28  5],[26.09230769  5.90769231] ; [26.90769231  6.09230769],0
p1,1,0.488085,0.480744,[  9 134] ; [  7 149],[  7.65217391 135.34782609] ; [  8.34782609 147.65217391],0
b5,1,0.520733,0.412441,[80 63] ; [93 63],[82.73913043 60.26086957] ; [90.26086957 65.73913043],0
u1,1,0.537217,0.380721,[ 21 122] ; [ 27 129],[ 22.95652174 120.04347826] ; [ 25.04347826 130.95652174],0
n6,1,0.548614,0.359805,[116  27] ; [129  25],[117.96296296  25.03703704] ; [127.03703704  26.96296296],0
n3,1,0.565659,0.33,[24  9] ; [26  7],[25.  8.] ; [25.  8.],0
b1,1,0.593723,0.284567,[50 93] ; [ 50 106],[47.82608696 95.17391304] ; [ 52.17391304 103.82608696],0
d1,1,0.646653,0.210146,[88 55] ; [100  56],[89.91304348 53.08695652] ; [98.08695652 57.91304348],0
a3,1,0.649237,0.206863,[103  40] ; [116  40],[104.73913043  38.26086957] ; [114.26086957  41.73913043],0
a1,1,0.656833,0.197394,[  7 136] ; [  6 150],[  6.2173913 136.7826087] ; [  6.7826087 149.2173913],0
a2,1,0.674269,0.17665,[ 31 112] ; [ 37 119],[ 32.52173913 110.47826087] ; [ 35.47826087 120.52173913],0
u2,1,0.726301,0.122535,[17 21] ; [19 20],[17.76623377 20.23376623] ; [18.23376623 20.76623377],0
p4,1,0.765665,0.088834,[69 73] ; [78 77],[70.28282828 71.71717172] ; [76.71717172 78.28282828],0
d3,1,0.782452,0.076245,[102  41] ; [109  47],[100.91304348  42.08695652] ; [110.08695652  45.91304348],0
b2,1,0.800591,0.063798,[29 58] ; [30 65],[28.2032967 58.7967033] ; [30.7967033 64.2032967],0
b3,1,0.800591,0.063798,[29 58] ; [30 65],[28.2032967 58.7967033] ; [30.7967033 64.2032967],0
d5,1,0.868195,0.02754,[120  23] ; [132  24],[120.52173913  22.47826087] ; [131.47826087  24.52173913],0
d4,1,0.87153,0.026152,[122  20] ; [133  23],[121.51006711  20.48993289] ; [133.48993289  22.51006711],0
a7,1,0.974777,0.001,[104  38] ; [114  42],[103.87919463  38.12080537] ; [114.12080537  41.87919463],0
d2,1,0.991304,0.000119,[70 72] ; [77 79],[70.04697987 71.95302013] ; [76.95302013 79.04697987],0
v1,1,0.996112,2.4e-05,[79 62] ; [84 66],[78.97938144 62.02061856] ; [84.02061856 65.97938144],0
