Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.943894,[14 68] ; [32 23],[27.53284672 54.46715328] ; [18.46715328 36.53284672],1
s8,1,1e-06,23.482345,[ 6 76] ; [23 32],[17.35766423 64.64233577] ; [11.64233577 43.35766423],1
v4,1,0.000119,14.80837,[54 27] ; [52  3],[63.13235294 17.86764706] ; [42.86764706 12.13235294],1
s5,1,0.000147,14.406423,[ 7 73] ; [19 35],[15.52238806 64.47761194] ; [10.47761194 43.52238806],1
r4,1,0.000251,13.404775,[32 50] ; [39 16],[42.49635036 39.50364964] ; [28.50364964 26.49635036],1
s7,1,0.000607,11.753606,[14 65] ; [24 29],[22.74242424 56.25757576] ; [15.25757576 37.74242424],1
s3,1,0.00074,11.386724,[22 58] ; [31 24],[31.40740741 48.59259259] ; [21.59259259 33.40740741],1
p11,1,0.001965,9.581552,[41 41] ; [42 13],[49.67883212 32.32116788] ; [33.32116788 21.67883212],0
p2,1,0.003057,8.77313,[46 34] ; [45 10],[53.92592593 26.07407407] ; [37.07407407 17.92592593],0
s4,1,0.003372,8.594583,[11 71] ; [19 36],[17.95620438 64.04379562] ; [12.04379562 42.95620438],0
p10,1,0.004616,8.024182,[43 37] ; [42 12],[50.74626866 29.25373134] ; [34.25373134 19.74626866],0
u2,1,0.006904,7.297658,[13 28] ; [17  9],[18.35820896 22.64179104] ; [11.64179104 14.35820896],0
r3,1,0.00939,6.74712,[53 28] ; [47  8],[59.55882353 21.44117647] ; [40.44117647 14.55882353],0
p4,1,0.011853,6.332693,[27 55] ; [30 25],[34.11678832 47.88321168] ; [22.88321168 32.11678832],0
d4,1,0.017215,5.674327,[43 39] ; [40 15],[49.67883212 32.32116788] ; [33.32116788 21.67883212],0
p7,1,0.020712,5.350861,[29 51] ; [30 23],[35.4887218 44.5112782] ; [23.5112782 29.4887218],0
a5,1,0.028102,4.821782,[35 47] ; [34 21],[41.29927007 40.70072993] ; [27.70072993 27.29927007],0
p8,1,0.036235,4.385992,[24 57] ; [26 29],[29.77941176 51.22058824] ; [20.22058824 34.77941176],0
n2,1,0.064853,3.408718,[14 12] ; [16  4],[16.95652174  9.04347826] ; [13.04347826  6.95652174],0
v1,1,0.0653,3.397388,[14 65] ; [17 37],[18.41353383 60.58646617] ; [12.58646617 41.41353383],0
d3,1,0.079671,3.071603,[30 50] ; [29 26],[34.96296296 45.03703704] ; [24.03703704 30.96296296],0
u3,1,0.079956,3.065796,[11 30] ; [12 13],[14.28787879 26.71212121] ; [ 8.71212121 16.28787879],0
p5,1,0.099537,2.71294,[ 4 76] ; [ 7 47],[ 6.56716418 73.43283582] ; [ 4.43283582 49.56716418],0
n6,1,0.109265,2.564819,[53 28] ; [43 12],[57.17647059 23.82352941] ; [38.82352941 16.17647059],0
p9,1,0.112963,2.512265,[53 26] ; [43 11],[57.02255639 21.97744361] ; [38.97744361 15.02255639],0
p3,1,0.115502,2.477278,[25 57] ; [24 31],[29.32846715 52.67153285] ; [19.67153285 35.32846715],0
p1,1,0.125913,2.342181,[11 70] ; [ 3 52],[ 8.33823529 72.66176471] ; [ 5.66176471 49.33823529],0
v3,1,0.150868,2.063448,[ 9 72] ; [11 44],[11.91176471 69.08823529] ; [ 8.08823529 46.91176471],0
p12,1,0.152858,2.043492,[ 1 80] ; [ 3 52],[ 2.38235294 78.61764706] ; [ 1.61764706 53.38235294],0
b3,1,0.188384,1.730208,[21 30] ; [ 8 22],[18.25925926 32.74074074] ; [10.74074074 19.25925926],0
b2,1,0.188384,1.730208,[21 30] ; [ 8 22],[18.25925926 32.74074074] ; [10.74074074 19.25925926],0
b1,1,0.217056,1.523729,[37 45] ; [19 36],[33.51824818 48.48175182] ; [22.48175182 32.51824818],0
