Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-05,19.52,[13 37] ; [48 24],[25. 25.] ; [36. 36.],1
a6,1,0.000164,14.205294,[19 31] ; [52 20],[29.09836066 20.90163934] ; [41.90163934 30.09836066],1
a2,1,0.000208,13.759816,[ 1 49] ; [20 52],[ 8.60655738 41.39344262] ; [12.39344262 59.60655738],1
d5,1,0.000587,11.818019,[23 27] ; [55 17],[31.96721311 18.03278689] ; [46.03278689 25.96721311],1
d1,1,0.003312,8.62718,[15 35] ; [41 31],[22.95081967 27.04918033] ; [33.04918033 38.95081967],0
a3,1,0.008151,7.0,[23 27] ; [49 21],[30. 20.] ; [42. 28.],0
d4,1,0.0117,6.355743,[29 21] ; [57 15],[35.24590164 14.75409836] ; [50.75409836 21.24590164],0
a5,1,0.014846,5.93466,[23 27] ; [49 23],[29.50819672 20.49180328] ; [42.49180328 29.50819672],0
v2,1,0.018495,5.548609,[12 35] ; [33 37],[18.07692308 28.92307692] ; [26.92307692 43.07692308],0
u1,1,0.024144,5.084277,[ 1 49] ; [10 62],[ 4.50819672 45.49180328] ; [ 6.49180328 65.50819672],0
b5,1,0.053889,3.716128,[21 29] ; [43 29],[26.2295082 23.7704918] ; [37.7704918 34.2295082],0
r1,1,0.05706,3.620842,[24 26] ; [47 25],[29.09836066 20.90163934] ; [41.90163934 30.09836066],0
p10,1,0.070652,3.26781,[17 32] ; [36 34],[21.82352941 27.17647059] ; [31.17647059 38.82352941],0
a4,1,0.081181,3.041104,[15 34] ; [33 38],[19.6 29.4] ; [28.4 42.6],0
b4,1,0.11205,2.52507,[24 26] ; [45 27],[28.27868852 21.72131148] ; [40.72131148 31.27868852],0
u2,1,0.123902,2.367288,[ 9 17] ; [13 10],[11.67346939 14.32653061] ; [10.32653061 12.67346939],0
b2,1,0.136037,2.222222,[16 16] ; [16 32],[12.8 19.2] ; [19.2 28.8],0
b3,1,0.136037,2.222222,[16 16] ; [16 32],[12.8 19.2] ; [19.2 28.8],0
v4,1,0.136781,2.213807,[32 18] ; [55 17],[35.6557377 14.3442623] ; [51.3442623 20.6557377],0
s6,1,0.147163,2.101412,[11 38] ; [25 47],[14.5785124 34.4214876] ; [21.4214876 50.5785124],0
r4,1,0.157396,1.99907,[27 23] ; [48 24],[30.73770492 19.26229508] ; [44.26229508 27.73770492],0
n2,1,0.165802,1.920497,[17  7] ; [14 13],[14.58823529  9.41176471] ; [16.41176471 10.58823529],0
v1,1,0.178501,1.810062,[ 8 41] ; [19 52],[11.025 37.975] ; [15.975 55.025],0
b1,1,0.186168,1.747683,[29 21] ; [33 39],[25.40983607 24.59016393] ; [36.59016393 35.40983607],0
p6,1,0.186507,1.744994,[ 8 41] ; [ 6 65],[ 5.71666667 43.28333333] ; [ 8.28333333 62.71666667],0
v3,1,0.226029,1.465678,[11 36] ; [24 47],[13.94067797 33.05932203] ; [21.05932203 49.94067797],0
p5,1,0.226465,1.462929,[ 2 48] ; [ 7 64],[ 3.71900826 46.28099174] ; [ 5.28099174 65.71900826],0
a1,1,0.235759,1.405773,[ 3 47] ; [ 9 63],[ 4.91803279 45.08196721] ; [ 7.08196721 64.91803279],0
p9,1,0.308466,1.037234,[19 28] ; [35 35],[21.69230769 25.30769231] ; [32.30769231 37.69230769],0
r3,1,0.364659,0.821784,[33 17] ; [53 19],[35.24590164 14.75409836] ; [50.75409836 21.24590164],0
s5,1,0.479605,0.499761,[ 8 38] ; [ 9 62],[ 6.68376068 39.31623932] ; [10.31623932 60.68376068],0
s3,1,0.51141,0.431182,[ 8 41] ; [15 56],[ 9.39166667 39.60833333] ; [13.60833333 57.39166667],0
p8,1,0.544027,0.368127,[ 9 41] ; [16 55],[10.33057851 39.66942149] ; [14.66942149 56.33057851],0
p11,1,0.545263,0.365872,[25 25] ; [32 40],[23.36065574 26.63934426] ; [33.63934426 38.36065574],0
n5,1,0.584504,0.29901,[33 16] ; [45 27],[31.58677686 17.41322314] ; [46.41322314 25.58677686],0
n1,1,0.585588,0.297287,[12 12] ; [11 15],[11.04 12.96] ; [11.96 14.04],0
r2,1,0.613106,0.255677,[38 10] ; [58 12],[39.05084746  8.94915254] ; [56.94915254 13.05084746],0
p4,1,0.620667,0.244931,[12 36] ; [15 56],[10.8907563 37.1092437] ; [16.1092437 54.8907563],0
n6,1,0.634795,0.225614,[31 19] ; [47 24],[32.23140496 17.76859504] ; [45.76859504 25.23140496],0
a8,1,0.659614,0.193993,[ 4 45] ; [ 7 59],[ 4.68695652 44.31304348] ; [ 6.31304348 59.68695652],0
s7,1,0.664804,0.18774,[ 9 39] ; [15 53],[ 9.93103448 38.06896552] ; [14.06896552 53.93103448],0
p3,1,0.73195,0.117329,[12 38] ; [19 52],[12.80991736 37.19008264] ; [18.19008264 52.80991736],0
