Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.645038,[2 3] ; [83  4],[4.61956522 0.38043478] ; [80.38043478  6.61956522],1
r2,1,0.011242,6.426604,[3 2] ; [80  6],[4.56043956 0.43956044] ; [78.43956044  7.56043956],0
n4,1,0.031395,4.631208,[3 2] ; [79  8],[4.45652174 0.54347826] ; [77.54347826  9.45652174],0
s3,1,0.046903,3.948847,[1 4] ; [56 31],[3.09782609 1.90217391] ; [53.90217391 33.09782609],0
s2,1,0.070748,3.265587,[1 4] ; [53 34],[2.93478261 2.06521739] ; [51.06521739 35.93478261],0
v4,1,0.077587,3.114734,[4 1] ; [84  3],[4.7826087 0.2173913] ; [83.2173913  3.7826087],0
s6,1,0.07886,3.08824,[2 2] ; [69 13],[3.30232558 0.69767442] ; [67.69767442 14.30232558],0
d4,1,0.087692,2.916232,[3 2] ; [76 11],[4.29347826 0.70652174] ; [74.70652174 12.29347826],0
s8,1,0.124483,2.359986,[1 3] ; [55 32],[2.46153846 1.53846154] ; [53.53846154 33.46153846],0
a2,1,0.170199,1.881186,[2 3] ; [14 73],[0.86956522 4.13043478] ; [15.13043478 71.86956522],0
p7,1,0.181103,1.788553,[3 2] ; [71 14],[4.11111111 0.88888889] ; [69.88888889 15.11111111],0
u1,1,0.202289,1.625769,[2 3] ; [15 72],[0.92391304 4.07608696] ; [16.07608696 70.92391304],0
n6,1,0.209403,1.57555,[4 1] ; [82  5],[4.67391304 0.32608696] ; [81.32608696  5.67391304],0
p10,1,0.214015,1.544054,[4 1] ; [81  5],[4.67032967 0.32967033] ; [80.32967033  5.67032967],0
n1,1,0.263552,1.25,[3 1] ; [7 9],[2. 2.] ; [8. 8.],0
p6,1,0.291602,1.11221,[2 3] ; [54 31],[3.11111111 1.88888889] ; [52.88888889 32.11111111],0
s7,1,0.304489,1.054432,[2 2] ; [61 22],[2.89655172 1.10344828] ; [60.10344828 22.89655172],0
a3,1,0.308678,1.036322,[3 2] ; [69 18],[3.91304348 1.08695652] ; [68.08695652 18.91304348],0
a4,1,0.412593,0.671318,[3 2] ; [36 51],[2.11956522 2.88043478] ; [36.88043478 50.11956522],0
b5,1,0.443464,0.587303,[3 2] ; [37 50],[2.17391304 2.82608696] ; [37.82608696 49.17391304],0
p12,1,0.476916,0.505907,[2 3] ; [22 64],[1.31868132 3.68131868] ; [22.68131868 63.31868132],0
p4,1,0.499984,0.454971,[4 1] ; [78  9],[4.45652174 0.54347826] ; [77.54347826  9.45652174],0
v3,1,0.519995,0.413903,[2 3] ; [46 38],[2.69662921 2.30337079] ; [45.30337079 38.69662921],0
a7,1,0.590642,0.289343,[3 2] ; [62 25],[3.5326087 1.4673913] ; [61.4673913 25.5326087],0
p1,1,0.590642,0.289343,[2 3] ; [25 62],[1.4673913 3.5326087] ; [25.5326087 61.4673913],0
v1,1,0.628532,0.234057,[3 2] ; [59 25],[3.48314607 1.51685393] ; [58.51685393 25.48314607],0
u3,1,0.639207,0.21978,[1 1] ; [12  6],[1.3 0.7] ; [11.7  6.3],0
u2,1,0.639207,0.21978,[1 1] ; [12  6],[1.3 0.7] ; [11.7  6.3],0
n3,1,0.648077,0.208333,[2 2] ; [10  6],[2.4 1.6] ; [9.6 6.4],0
d3,1,0.674771,0.176072,[3 2] ; [60 27],[3.42391304 1.57608696] ; [59.57608696 27.42391304],0
d2,1,0.68181,0.168095,[3 2] ; [44 43],[2.55434783 2.44565217] ; [44.44565217 42.55434783],0
p11,1,0.698415,0.150126,[4 1] ; [75 12],[4.29347826 0.70652174] ; [74.70652174 12.29347826],0
p8,1,0.740189,0.109961,[3 1] ; [71 16],[3.25274725 0.74725275] ; [70.74725275 16.25274725],0
s5,1,0.744363,0.106329,[3 2] ; [53 26],[3.33333333 1.66666667] ; [52.66666667 26.33333333],0
a5,1,0.749918,0.1016,[4 1] ; [64 23],[3.69565217 1.30434783] ; [64.30434783 22.69565217],0
b4,1,0.871827,0.02603,[3 2] ; [49 38],[2.82608696 2.17391304] ; [49.17391304 37.82608696],0
d1,1,0.926169,0.008587,[3 2] ; [54 33],[3.09782609 1.90217391] ; [53.90217391 33.09782609],0
r1,1,0.928164,0.008128,[4 1] ; [71 16],[4.07608696 0.92391304] ; [70.92391304 16.07608696],0
p3,1,0.928164,0.008128,[4 1] ; [71 16],[4.07608696 0.92391304] ; [70.92391304 16.07608696],0
a6,1,0.951428,0.00371,[3 2] ; [51 36],[2.93478261 2.06521739] ; [51.06521739 35.93478261],0
b3,1,0.975439,0.000948,[2 2] ; [31 32],[1.97014925 2.02985075] ; [31.02985075 31.97014925],0
b2,1,0.975439,0.000948,[2 2] ; [31 32],[1.97014925 2.02985075] ; [31.02985075 31.97014925],0
d5,1,0.979894,0.000635,[4 1] ; [70 17],[4.02173913 0.97826087] ; [69.97826087 17.02173913],0
v2,1,0.983184,0.000444,[3 2] ; [50 34],[2.97752809 2.02247191] ; [50.02247191 33.97752809],0
