Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,67.74387,[63 12] ; [ 8 53],[39.15441176 35.84558824] ; [31.84558824 29.15441176],1
d5,1,0.0,32.848717,[73  2] ; [35 26],[59.55882353 15.44117647] ; [48.44117647 12.55882353],1
a2,1,0.0,28.566678,[35 41] ; [ 3 58],[21.08029197 54.91970803] ; [16.91970803 44.08029197],1
d4,1,0.0,27.526555,[73  2] ; [38 23],[61.21323529 13.78676471] ; [49.78676471 11.21323529],1
d3,1,1e-06,24.782776,[67  8] ; [31 30],[54.04411765 20.95588235] ; [43.95588235 17.04411765],1
a4,1,1e-06,24.498986,[51 25] ; [15 46],[36.61313869 39.38686131] ; [29.38686131 31.61313869],1
u1,1,2e-06,22.68687,[26 50] ; [ 1 60],[14.97810219 61.02189781] ; [12.02189781 48.97810219],1
a5,1,4.6e-05,16.607564,[66 10] ; [34 27],[55.47445255 20.52554745] ; [44.52554745 16.47445255],1
v2,1,0.001659,9.8927,[48 26] ; [23 38],[38.91851852 35.08148148] ; [32.08148148 28.91851852],0
a3,1,0.001882,9.661202,[65 10] ; [39 22],[57.35294118 17.64705882] ; [46.64705882 14.35294118],0
r1,1,0.005353,7.756016,[67  9] ; [42 19],[60.46715328 15.53284672] ; [48.53284672 12.46715328],0
s4,1,0.006322,7.456186,[12 64] ; [22 39],[18.86131387 57.13868613] ; [15.13868613 45.86131387],0
a6,1,0.018744,5.525281,[54 21] ; [32 29],[47.42647059 27.57352941] ; [38.57352941 22.42647059],0
r3,1,0.065777,3.385383,[74  2] ; [53  6],[71.4962963  4.5037037] ; [55.5037037  3.4962963],0
r2,1,0.072942,3.215551,[73  2] ; [54  6],[70.55555556  4.44444444] ; [56.44444444  3.55555556],0
b4,1,0.076498,3.137784,[50 26] ; [31 30],[44.93430657 31.06569343] ; [36.06569343 24.93430657],0
p12,1,0.102647,2.663931,[ 6 70] ; [ 1 59],[ 3.91176471 72.08823529] ; [ 3.08823529 56.91176471],0
p2,1,0.109891,2.55579,[61 15] ; [55  6],[64.35036496 11.64963504] ; [51.64963504  9.35036496],0
p1,1,0.154221,2.03,[ 9 67] ; [ 3 58],[ 6.65693431 69.34306569] ; [ 5.34306569 55.65693431],0
n1,1,0.163187,1.944444,[ 4 10] ; [11 10],[6. 8.] ; [ 9. 12.],0
s3,1,0.17542,1.836,[51 24] ; [34 26],[47.22222222 27.77777778] ; [37.77777778 22.22222222],0
p11,1,0.178147,1.813012,[60 16] ; [42 19],[56.58394161 19.41605839] ; [45.41605839 15.58394161],0
r4,1,0.206116,1.598502,[67  9] ; [49 12],[64.35036496 11.64963504] ; [51.64963504  9.35036496],0
p4,1,0.241735,1.370445,[51 25] ; [35 26],[47.7080292 28.2919708] ; [38.2919708 22.7080292],0
s2,1,0.283713,1.149219,[48 28] ; [33 28],[44.93430657 31.06569343] ; [36.06569343 24.93430657],0
b3,1,0.292897,1.106259,[21 32] ; [11 27],[18.63736264 34.36263736] ; [13.36263736 24.63736264],0
b2,1,0.292897,1.106259,[21 32] ; [11 27],[18.63736264 34.36263736] ; [13.36263736 24.63736264],0
s5,1,0.295694,1.093512,[24 49] ; [25 35],[26.89473684 46.10526316] ; [22.10526316 37.89473684],0
n6,1,0.354208,0.858325,[64 12] ; [46 13],[61.92592593 14.07407407] ; [48.07407407 10.92592593],0
u2,1,0.372957,0.793788,[5 6] ; [13  8],[6.1875 4.8125] ; [11.8125  9.1875],0
b1,1,0.378556,0.775385,[28 48] ; [27 34],[30.51094891 45.48905109] ; [24.48905109 36.51094891],0
p9,1,0.380156,0.770199,[61 13] ; [45 14],[58.97744361 15.02255639] ; [47.02255639 11.97744361],0
a8,1,0.458553,0.549425,[12 53] ; [ 8 51],[10.48387097 54.51612903] ; [ 9.51612903 49.48387097],0
