Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-05,19.53342,[10 57] ; [19 14],[19.43 47.57] ; [ 9.57 23.43],1
p7,1,8.7e-05,15.404589,[22 43] ; [25  8],[31.17346939 33.82653061] ; [15.82653061 17.17346939],1
p8,1,0.00051,12.078102,[15 52] ; [18 13],[22.56122449 44.43877551] ; [10.43877551 20.56122449],1
s8,1,0.002276,9.312403,[ 6 61] ; [11 22],[11.39 55.61] ; [ 5.61 27.39],0
p2,1,0.004164,8.210913,[35 32] ; [27  6],[41.54 25.46] ; [20.46 12.54],0
s7,1,0.008643,6.895161,[ 8 56] ; [11 20],[12.8 51.2] ; [ 6.2 24.8],0
p10,1,0.01048,6.551471,[28 38] ; [23 10],[34. 32.] ; [17. 16.],0
a7,1,0.01048,6.551471,[26 40] ; [22 11],[32. 34.] ; [16. 17.],0
p6,1,0.012866,6.1875,[11 55] ; [13 20],[16. 50.] ; [ 8. 25.],0
n6,1,0.029503,4.738017,[39 26] ; [27  6],[43.7755102 21.2244898] ; [22.2244898 10.7755102],0
v2,1,0.029747,4.723875,[17 45] ; [16 16],[21.76595745 40.23404255] ; [11.23404255 20.76595745],0
a4,1,0.032112,4.592517,[13 54] ; [13 20],[17.42 49.58] ; [ 8.58 24.42],0
b5,1,0.038145,4.298526,[32 35] ; [23 10],[36.85 30.15] ; [18.15 14.85],0
a5,1,0.038807,4.269314,[24 43] ; [19 14],[28.81 38.19] ; [14.19 18.81],0
p12,1,0.071137,3.256579,[ 1 65] ; [ 3 30],[ 2.66666667 63.33333333] ; [ 1.33333333 31.66666667],0
v4,1,0.080822,3.048284,[47 18] ; [29  4],[50.40816327 14.59183673] ; [25.59183673  7.40816327],0
v1,1,0.085571,2.955778,[20 45] ; [16 17],[23.87755102 41.12244898] ; [12.12244898 20.87755102],0
p9,1,0.095866,2.773,[36 29] ; [24  9],[39.79591837 25.20408163] ; [20.20408163 12.79591837],0
a3,1,0.101593,2.680361,[30 35] ; [21 12],[33.82653061 31.17346939] ; [17.17346939 15.82653061],0
p1,1,0.107206,2.594928,[ 5 62] ; [ 6 27],[ 7.37 59.63] ; [ 3.63 29.37],0
d3,1,0.123981,2.36629,[20 47] ; [15 18],[23.45 43.55] ; [11.55 21.45],0
n3,1,0.141815,2.158152,[15  9] ; [8 1],[16.72727273  7.27272727] ; [6.27272727 2.72727273],0
r4,1,0.164786,1.929745,[37 30] ; [23 10],[40.2 26.8] ; [19.8 13.2],0
s1,1,0.165682,1.921584,[ 3 63] ; [ 4 29],[ 4.66666667 61.33333333] ; [ 2.33333333 30.66666667],0
p5,1,0.185076,1.756383,[ 1 66] ; [ 2 29],[ 2.05102041 64.94897959] ; [ 0.94897959 30.05102041],0
u2,1,0.199882,1.643233,[11 26] ; [6 6],[12.83673469 24.16326531] ; [4.16326531 7.83673469],0
d4,1,0.248412,1.332212,[30 36] ; [11 22],[27.33333333 38.66666667] ; [13.66666667 19.33333333],0
u3,1,0.272666,1.203284,[12 25] ; [6 6],[13.59183673 23.40816327] ; [4.40816327 7.59183673],0
s3,1,0.287499,1.131297,[20 47] ; [13 19],[22.33333333 44.66666667] ; [10.66666667 21.33333333],0
b3,1,0.353721,0.860063,[20 24] ; [ 7 14],[18.27692308 25.72307692] ; [ 8.72307692 12.27692308],0
b2,1,0.353721,0.860063,[20 24] ; [ 7 14],[18.27692308 25.72307692] ; [ 8.72307692 12.27692308],0
a6,1,0.35805,0.84472,[28 39] ; [17 16],[30.15 36.85] ; [14.85 18.15],0
a2,1,0.361026,0.83432,[ 3 64] ; [ 3 30],[ 4.02 62.98] ; [ 1.98 31.02],0
n1,1,0.371776,0.797721,[10 16] ; [5 4],[11.14285714 14.85714286] ; [3.85714286 5.14285714],0
v3,1,0.386874,0.748745,[15 50] ; [10 22],[16.75257732 48.24742268] ; [ 8.24742268 23.75257732],0
