Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.005908,7.578057,[3 3] ; [55  6],[5.19402985 0.80597015] ; [52.80597015  8.19402985],0
v3,1,0.016071,5.795122,[5 1] ; [20 40],[2.27272727 3.72727273] ; [22.72727273 37.27272727],0
p8,1,0.05061,3.821143,[4 2] ; [17 44],[1.88059701 4.11940299] ; [19.11940299 41.88059701],0
v1,1,0.118792,2.43318,[5 1] ; [30 30],[3.18181818 2.81818182] ; [31.81818182 28.18181818],0
a3,1,0.122564,2.38425,[3 3] ; [47 13],[4.54545455 1.45454545] ; [45.45454545 14.54545455],0
p12,1,0.130277,2.289205,[1 5] ; [ 2 59],[0.26865672 5.73134328] ; [ 2.73134328 58.26865672],0
p1,1,0.140336,2.174269,[2 4] ; [ 7 53],[0.81818182 5.18181818] ; [ 8.18181818 51.81818182],0
d1,1,0.167575,1.904503,[2 4] ; [38 23],[3.58208955 2.41791045] ; [36.41791045 24.58208955],0
p4,1,0.29128,1.113694,[4 1] ; [34 27],[2.87878788 2.12121212] ; [35.12121212 25.87878788],0
n5,1,0.292834,1.106548,[5 1] ; [37 23],[3.81818182 2.18181818] ; [38.18181818 21.81818182],0
b4,1,0.305114,1.051709,[5 1] ; [38 23],[3.85074627 2.14925373] ; [39.14925373 21.85074627],0
b5,1,0.305114,1.051709,[5 1] ; [38 23],[3.85074627 2.14925373] ; [39.14925373 21.85074627],0
a8,1,0.329678,0.950162,[2 4] ; [ 9 44],[1.11864407 4.88135593] ; [ 9.88135593 43.11864407],0
s4,1,0.33962,0.911864,[1 5] ; [22 39],[2.05970149 3.94029851] ; [20.94029851 40.05970149],0
s7,1,0.3978,0.714968,[3 3] ; [37 18],[3.93442623 2.06557377] ; [36.06557377 18.93442623],0
s3,1,0.447758,0.57632,[3 3] ; [40 21],[3.85074627 2.14925373] ; [39.14925373 21.85074627],0
n6,1,0.460713,0.544161,[4 2] ; [47 12],[4.70769231 1.29230769] ; [46.29230769 12.70769231],0
p10,1,0.463394,0.537684,[3 2] ; [45 15],[3.69230769 1.30769231] ; [44.30769231 15.69230769],0
r3,1,0.498404,0.458333,[5 1] ; [55  5],[5.45454545 0.54545455] ; [54.54545455  5.45454545],0
u1,1,0.50027,0.454365,[2 4] ; [13 48],[1.34328358 4.65671642] ; [13.65671642 47.34328358],0
d2,1,0.500694,0.453466,[3 3] ; [39 22],[3.76119403 2.23880597] ; [38.23880597 22.76119403],0
p9,1,0.51557,0.422745,[4 2] ; [47 13],[4.63636364 1.36363636] ; [46.36363636 13.63636364],0
n3,1,0.539667,0.376157,[1 1] ; [17  7],[1.38461538 0.61538462] ; [16.61538462  7.38461538],0
b3,1,0.541193,0.373333,[2 3] ; [ 8 22],[1.42857143 3.57142857] ; [ 8.57142857 21.42857143],0
b2,1,0.541193,0.373333,[2 3] ; [ 8 22],[1.42857143 3.57142857] ; [ 8.57142857 21.42857143],0
p2,1,0.55474,0.348893,[5 1] ; [44 17],[4.3880597 1.6119403] ; [44.6119403 16.3880597],0
a2,1,0.569247,0.323945,[2 4] ; [14 47],[1.43283582 4.56716418] ; [14.56716418 46.43283582],0
r1,1,0.585769,0.297,[4 2] ; [46 14],[4.54545455 1.45454545] ; [45.45454545 14.54545455],0
d3,1,0.607507,0.263822,[5 1] ; [45 16],[4.47761194 1.52238806] ; [45.52238806 15.47761194],0
a6,1,0.611629,0.25781,[3 3] ; [37 24],[3.58208955 2.41791045] ; [36.41791045 24.58208955],0
a5,1,0.638634,0.220534,[4 2] ; [46 15],[4.47761194 1.52238806] ; [45.52238806 15.47761194],0
s8,1,0.669185,0.182557,[3 3] ; [36 25],[3.49253731 2.50746269] ; [35.50746269 25.49253731],0
b1,1,0.669185,0.182557,[3 3] ; [36 25],[3.49253731 2.50746269] ; [35.50746269 25.49253731],0
u3,1,0.761001,0.092517,[1 2] ; [6 8],[1.23529412 1.76470588] ; [5.76470588 8.23529412],0
p6,1,0.773119,0.083115,[2 4] ; [24 37],[2.32835821 3.67164179] ; [23.67164179 37.32835821],0
d4,1,0.807659,0.059267,[5 1] ; [53  8],[5.19402985 0.80597015] ; [52.80597015  8.19402985],0
v2,1,0.847654,0.036907,[3 3] ; [33 28],[3.2238806 2.7761194] ; [32.7761194 28.2238806],0
p3,1,0.847654,0.036907,[3 3] ; [28 33],[2.7761194 3.2238806] ; [28.2238806 32.7761194],0
p7,1,0.847654,0.036907,[3 3] ; [33 28],[3.2238806 2.7761194] ; [32.7761194 28.2238806],0
a4,1,0.908396,0.013239,[3 3] ; [32 29],[3.13432836 2.86567164] ; [31.86567164 29.13432836],0
s2,1,0.912308,0.012128,[4 2] ; [42 19],[4.11940299 1.88059701] ; [41.88059701 19.11940299],0
a7,1,0.912308,0.012128,[4 2] ; [42 19],[4.11940299 1.88059701] ; [41.88059701 19.11940299],0
