Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.034284,4.480468,[13 13] ; [42 15],[17.22891566  8.77108434] ; [37.77108434 19.22891566],0
u2,1,0.048014,3.909497,[3 5] ; [9 2],[5.05263158 2.94736842] ; [6.94736842 4.05263158],0
a2,1,0.055347,3.6716,[ 2 24] ; [15 43],[ 5.26190476 20.73809524] ; [11.73809524 46.26190476],0
p8,1,0.074628,3.178165,[20  6] ; [52  5],[22.55421687  3.44578313] ; [49.44578313  7.55421687],0
v2,1,0.075868,3.151278,[13 13] ; [38 16],[16.575  9.425] ; [34.425 19.575],0
a6,1,0.075973,3.149018,[13 13] ; [40 17],[16.60240964  9.39759036] ; [36.39759036 20.60240964],0
p3,1,0.098476,2.73006,[19  7] ; [50  7],[21.61445783  4.38554217] ; [47.38554217  9.61445783],0
p1,1,0.098766,2.725354,[ 4 22] ; [19 39],[ 7.11904762 18.88095238] ; [15.88095238 42.11904762],0
a5,1,0.119507,2.423773,[17  9] ; [47 11],[19.80952381  6.19047619] ; [44.19047619 13.80952381],0
p10,1,0.123794,2.368649,[22  4] ; [54  3],[23.80722892  2.19277108] ; [52.19277108  4.80722892],0
r2,1,0.130492,2.286646,[22  4] ; [53  3],[23.7804878  2.2195122] ; [51.2195122  4.7804878],0
u4,1,0.153859,2.03357,[ 3 23] ; [ 2 55],[ 1.56626506 24.43373494] ; [ 3.43373494 53.56626506],0
s7,1,0.15463,2.025974,[16 10] ; [40 12],[18.66666667  7.33333333] ; [37.33333333 14.66666667],0
r1,1,0.156981,2.003071,[19  7] ; [49  8],[21.30120482  4.69879518] ; [46.69879518 10.30120482],0
p12,1,0.157533,1.997752,[ 5 21] ; [20 38],[ 7.73809524 18.26190476] ; [17.26190476 40.73809524],0
v4,1,0.160621,1.968374,[23  3] ; [54  2],[24.41463415  1.58536585] ; [52.58536585  3.41463415],0
s6,1,0.214344,1.541843,[18  6] ; [45  7],[19.89473684  4.10526316] ; [43.10526316  8.89473684],0
p6,1,0.214502,1.54078,[16  9] ; [44 13],[18.29268293  6.70731707] ; [41.70731707 15.29268293],0
p11,1,0.22051,1.501047,[22  4] ; [54  4],[23.52380952  2.47619048] ; [52.47619048  5.52380952],0
a3,1,0.231918,1.429062,[18  8] ; [47 11],[20.11904762  5.88095238] ; [44.88095238 13.11904762],0
n5,1,0.235273,1.408697,[25  1] ; [51  7],[23.52380952  2.47619048] ; [52.47619048  5.52380952],0
n4,1,0.235273,1.408697,[25  1] ; [51  7],[23.52380952  2.47619048] ; [52.47619048  5.52380952],0
b1,1,0.299625,1.075862,[13 13] ; [22 36],[10.83333333 15.16666667] ; [24.16666667 33.83333333],0
n2,1,0.301409,1.067949,[3 2] ; [10  2],[3.82352941 1.17647059] ; [9.17647059 2.82352941],0
n1,1,0.308709,1.03619,[3 2] ; [4 8],[2.05882353 2.94117647] ; [4.94117647 7.05882353],0
n6,1,0.317214,1.000398,[23  3] ; [53  3],[24.09756098  1.90243902] ; [51.90243902  4.09756098],0
b5,1,0.326948,0.960947,[10 16] ; [29 29],[12.07142857 13.92857143] ; [26.92857143 31.07142857],0
s5,1,0.386476,0.75,[15 10] ; [35 15],[16.66666667  8.33333333] ; [33.33333333 16.66666667],0
p9,1,0.409146,0.681281,[24  2] ; [55  2],[24.74698795  1.25301205] ; [54.25301205  2.74698795],0
d2,1,0.46864,0.525181,[15 11] ; [28 29],[13.46987952 12.53012048] ; [29.53012048 27.46987952],0
s3,1,0.478825,0.501539,[17  9] ; [32 24],[15.53658537 10.46341463] ; [33.46341463 22.53658537],0
s8,1,0.499431,0.456146,[15 11] ; [36 19],[16.37037037  9.62962963] ; [34.62962963 20.37037037],0
d4,1,0.545799,0.364897,[21  5] ; [49  8],[21.92771084  4.07228916] ; [48.07228916  8.92771084],0
