Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.5e-05,17.742131,[71 32] ; [123  13],[83.60669456 19.39330544] ; [110.39330544  25.60669456],1
p8,1,6.8e-05,15.856922,[54 49] ; [104  31],[68.37815126 34.62184874] ; [89.62184874 45.37815126],1
p4,1,0.005999,7.550607,[79 24] ; [123  14],[86.69166667 16.30833333] ; [115.30833333  21.69166667],0
s5,1,0.014434,5.98424,[40 61] ; [71 56],[49.17105263 51.82894737] ; [61.82894737 65.17105263],0
p5,1,0.014642,5.959031,[15 85] ; [39 98],[22.78481013 77.21518987] ; [ 31.21518987 105.78481013],0
p12,1,0.018485,5.549611,[ 8 95] ; [ 25 111],[14.22175732 88.77824268] ; [ 18.77824268 117.22175732],0
p1,1,0.060356,3.527574,[10 93] ; [ 25 111],[15.08368201 87.91631799] ; [ 19.91631799 116.08368201],0
s4,1,0.086764,2.933417,[17 86] ; [ 35 101],[22.41004184 80.58995816] ; [ 29.58995816 106.41004184],0
s2,1,0.087988,2.910802,[68 34] ; [105  32],[73.83263598 28.16736402] ; [99.16736402 37.83263598],0
a1,1,0.09385,2.807066,[ 4 99] ; [ 13 124],[ 7.29583333 95.70416667] ; [  9.70416667 127.29583333],0
d1,1,0.123954,2.366633,[64 39] ; [98 39],[69.525 33.475] ; [92.475 44.525],0
a4,1,0.150563,2.066539,[47 55] ; [76 61],[52.49372385 49.50627615] ; [70.50627615 66.49372385],0
p9,1,0.172074,1.864781,[94  9] ; [130   6],[96.53556485  6.46443515] ; [127.46443515   8.53556485],0
b2,1,0.190688,1.712295,[30 45] ; [49 49],[34.24855491 40.75144509] ; [44.75144509 53.24855491],0
b3,1,0.190688,1.712295,[30 45] ; [49 49],[34.24855491 40.75144509] ; [44.75144509 53.24855491],0
a6,1,0.198562,1.652922,[74 29] ; [87 49],[69.38493724 33.61506276] ; [91.61506276 44.38493724],0
v1,1,0.247686,1.33631,[57 40] ; [90 46],[61.19742489 35.80257511] ; [85.80257511 50.19742489],0
b5,1,0.250967,1.31791,[64 39] ; [75 62],[59.65416667 43.34583333] ; [79.34583333 57.65416667],0
v2,1,0.28366,1.149469,[58 41] ; [89 47],[61.92765957 37.07234043] ; [85.07234043 50.92765957],0
a7,1,0.326344,0.963351,[66 37] ; [96 41],[69.525 33.475] ; [92.475 44.525],0
n6,1,0.355692,0.853047,[91 11] ; [126  10],[93.  9.] ; [124.  12.],0
