Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.317881,[78 10] ; [5 9],[71.60784314 16.39215686] ; [11.39215686  2.60784314],1
v4,1,0.002051,9.503134,[83  4] ; [10  4],[80.10891089  6.89108911] ; [12.89108911  1.10891089],0
r1,1,0.003787,8.383115,[69 18] ; [6 8],[64.6039604 22.3960396] ; [10.3960396  3.6039604],0
b1,1,0.00401,8.279221,[39 49] ; [12  2],[44. 44.] ; [7. 7.],0
d5,1,0.0051,7.84355,[69 19] ; [6 8],[64.70588235 23.29411765] ; [10.29411765  3.70588235],0
u3,1,0.007349,7.185614,[24  6] ; [2 5],[21.08108108  8.91891892] ; [4.91891892 2.08108108],0
d1,1,0.012615,6.222272,[44 44] ; [ 2 12],[39.68627451 48.31372549] ; [6.31372549 7.68627451],0
r3,1,0.020295,5.386349,[84  4] ; [11  3],[81.96078431  6.03921569] ; [13.03921569  0.96078431],0
p7,1,0.043623,4.071091,[47 35] ; [12  2],[50.39583333 31.60416667] ; [8.60416667 5.39583333],0
a6,1,0.065515,3.391972,[60 28] ; [6 8],[56.94117647 31.05882353] ; [9.05882353 4.94117647],0
d4,1,0.085755,2.952306,[69 19] ; [8 6],[66.43137255 21.56862745] ; [10.56862745  3.43137255],0
b4,1,0.101792,2.677239,[52 36] ; [5 9],[49.17647059 38.82352941] ; [7.82352941 6.17647059],0
s4,1,0.114776,2.487192,[11 77] ; [ 4 10],[12.94117647 75.05882353] ; [ 2.05882353 11.94117647],0
p8,1,0.138792,2.1913,[37 49] ; [9 5],[39.56 46.44] ; [6.44 7.56],0
n4,1,0.141177,2.165088,[50 38] ; [5 9],[47.45098039 40.54901961] ; [7.54901961 6.45098039],0
s2,1,0.154726,2.025025,[36 51] ; [ 3 11],[33.59405941 53.40594059] ; [5.40594059 8.59405941],0
s3,1,0.162299,1.952677,[48 38] ; [5 9],[45.58 40.42] ; [7.42 6.58],0
s8,1,0.187294,1.738773,[35 53] ; [ 3 11],[32.78431373 55.21568627] ; [5.21568627 8.78431373],0
p10,1,0.207532,1.58856,[64 23] ; [8 6],[62.01980198 24.98019802] ; [9.98019802 4.01980198],0
p9,1,0.24721,1.339005,[69 19] ; [9 5],[67.29411765 20.70588235] ; [10.70588235  3.29411765],0
a7,1,0.250149,1.322472,[58 30] ; [7 7],[56.07843137 31.92156863] ; [8.92156863 5.07843137],0
a3,1,0.250149,1.322472,[58 30] ; [7 7],[56.07843137 31.92156863] ; [8.92156863 5.07843137],0
s1,1,0.332658,0.938524,[ 2 83] ; [ 1 13],[ 2.57575758 82.42424242] ; [ 0.42424242 13.57575758],0
a8,1,0.347044,0.884236,[ 6 74] ; [ 2 11],[ 6.88172043 73.11827957] ; [ 1.11827957 11.88172043],0
p6,1,0.357913,0.845202,[20 63] ; [5 9],[21.39175258 61.60824742] ; [ 3.60824742 10.39175258],0
d3,1,0.373576,0.791734,[55 33] ; [7 7],[53.49019608 34.50980392] ; [8.50980392 5.49019608],0
s6,1,0.402267,0.70154,[46 42] ; [9 5],[47.45098039 40.54901961] ; [7.54901961 6.45098039],0
n2,1,0.435819,0.607265,[22  2] ; [4 1],[21.51724138  2.48275862] ; [4.48275862 0.51724138],0
p3,1,0.451252,0.567505,[34 53] ; [ 4 10],[32.73267327 54.26732673] ; [5.26732673 8.73267327],0
p2,1,0.453246,0.562521,[69 17] ; [10  4],[67.94 18.06] ; [11.06  2.94],0
b5,1,0.468508,0.525492,[59 29] ; [8 6],[57.80392157 30.19607843] ; [9.19607843 4.80392157],0
u2,1,0.491776,0.472638,[22  8] ; [6 1],[22.7027027  7.2972973] ; [5.2972973 1.7027027],0
a2,1,0.498575,0.457969,[12 76] ; [ 1 13],[11.21568627 76.78431373] ; [ 1.78431373 12.21568627],0
a1,1,0.503807,0.446909,[ 3 85] ; [ 1 13],[ 3.45098039 84.54901961] ; [ 0.54901961 13.45098039],0
p12,1,0.517565,0.418743,[ 3 83] ; [ 1 13],[ 3.44 82.56] ; [ 0.56 13.44],0
a5,1,0.523785,0.406434,[58 30] ; [8 6],[56.94117647 31.05882353] ; [9.05882353 4.94117647],0
n1,1,0.556812,0.345255,[12 10] ; [2 3],[11.40740741 10.59259259] ; [2.59259259 2.40740741],0
n3,1,0.557699,0.343704,[16  8] ; [4 1],[16.55172414  7.44827586] ; [3.44827586 1.55172414],0
p4,1,0.564351,0.332226,[44 42] ; [6 8],[43. 43.] ; [7. 7.],0
d2,1,0.570927,0.321133,[32 56] ; [ 4 10],[31.05882353 56.94117647] ; [4.94117647 9.05882353],0
n5,1,0.658706,0.195099,[38 49] ; [7 7],[38.76237624 48.23762376] ; [6.23762376 7.76237624],0
v3,1,0.687839,0.161435,[22 61] ; [ 3 11],[21.39175258 61.60824742] ; [ 3.60824742 10.39175258],0
a4,1,0.744714,0.106026,[29 59] ; [ 4 10],[28.47058824 59.52941176] ; [4.52941176 9.47058824],0
v1,1,0.770228,0.085309,[40 45] ; [6 8],[39.49494949 45.50505051] ; [6.50505051 7.49494949],0
v2,1,0.796646,0.066404,[41 41] ; [6 7],[40.56842105 41.43157895] ; [6.43157895 6.56842105],0
s5,1,0.802763,0.062387,[16 70] ; [ 3 11],[16.34 69.66] ; [ 2.66 11.34],0
s7,1,0.935268,0.006597,[29 55] ; [4 8],[28.875 55.125] ; [4.125 7.875],0
