Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,60.194077,[1 9] ; [212  20],[8.80165289 1.19834711] ; [204.19834711  27.80165289],1
r2,1,2.2e-05,18.002306,[5 4] ; [213  14],[8.31355932 0.68644068] ; [209.68644068  17.31355932],1
p11,1,0.000462,12.262261,[4 6] ; [194  38],[8.18181818 1.81818182] ; [189.81818182  42.18181818],1
p9,1,0.000527,12.018434,[4 6] ; [191  38],[8.15899582 1.84100418] ; [186.84100418  42.15899582],1
r1,1,0.00074,11.385099,[4 6] ; [192  40],[8.09917355 1.90082645] ; [187.90082645  44.09917355],1
p10,1,0.002389,9.223923,[4 6] ; [183  45],[7.85714286 2.14285714] ; [179.14285714  48.85714286],0
b1,1,0.002697,9.00179,[8 2] ; [ 78 154],[3.55371901 6.44628099] ; [ 82.44628099 149.55371901],0
a7,1,0.008457,6.934002,[4 6] ; [178  54],[7.52066116 2.47933884] ; [174.47933884  57.52066116],0
p2,1,0.009413,6.742646,[5 5] ; [191  40],[8.13278008 1.86721992] ; [187.86721992  43.13278008],0
a5,1,0.019677,5.440365,[4 6] ; [171  61],[7.23140496 2.76859504] ; [167.76859504  64.23140496],0
a6,1,0.019677,5.440365,[4 6] ; [171  61],[7.23140496 2.76859504] ; [167.76859504  64.23140496],0
d3,1,0.026867,4.899329,[4 6] ; [168  64],[7.10743802 2.89256198] ; [164.89256198  67.10743802],0
s1,1,0.036006,4.396841,[1 9] ; [  3 226],[0.16736402 9.83263598] ; [  3.83263598 225.16736402],0
v1,1,0.039405,4.243305,[3 7] ; [143  86],[6.10878661 3.89121339] ; [139.89121339  89.10878661],0
p3,1,0.043429,4.078636,[2 8] ; [121 109],[5.125 4.875] ; [117.875 112.125],0
n4,1,0.066642,3.36385,[5 5] ; [175  56],[7.46887967 2.53112033] ; [172.53112033  58.46887967],0
n6,1,0.0677,3.337931,[6 4] ; [192  40],[8.18181818 1.81818182] ; [189.81818182  42.18181818],0
p7,1,0.191113,1.709014,[4 5] ; [151  79],[5.83682008 3.16317992] ; [149.16317992  80.83682008],0
n3,1,0.207527,1.588593,[2 2] ; [39 11],[3.03703704 0.96296296] ; [37.96296296 12.03703704],0
s4,1,0.225221,1.470791,[2 8] ; [ 20 210],[0.91666667 9.08333333] ; [ 21.08333333 208.91666667],0
b2,1,0.278385,1.174956,[4 3] ; [53 91],[2.64238411 4.35761589] ; [54.35761589 89.64238411],0
b3,1,0.278385,1.174956,[4 3] ; [53 91],[2.64238411 4.35761589] ; [54.35761589 89.64238411],0
s6,1,0.280514,1.164596,[3 7] ; [109 121],[4.66666667 5.33333333] ; [107.33333333 122.66666667],0
d4,1,0.301388,1.068044,[7 3] ; [192  40],[8.2231405 1.7768595] ; [190.7768595  41.2231405],0
p5,1,0.364331,0.822911,[2 8] ; [ 25 207],[1.11570248 8.88429752] ; [ 25.88429752 206.11570248],0
p8,1,0.370587,0.801694,[4 6] ; [123 103],[5.38135593 4.61864407] ; [121.61864407 104.38135593],0
a1,1,0.3977,0.715271,[1 9] ; [ 10 222],[0.45454545 9.54545455] ; [ 10.54545455 221.45454545],0
s5,1,0.409736,0.679567,[1 9] ; [ 47 180],[2.02531646 7.97468354] ; [ 45.97468354 181.02531646],0
p4,1,0.432582,0.615882,[4 5] ; [132  97],[5.14285714 3.85714286] ; [130.85714286  98.14285714],0
n5,1,0.433022,0.614704,[8 2] ; [157  73],[6.875 3.125] ; [158.125  71.875],0
b5,1,0.442119,0.590777,[7 3] ; [134  98],[5.82644628 4.17355372] ; [135.17355372  96.82644628],0
p12,1,0.461373,0.542562,[1 9] ; [ 11 218],[0.50209205 9.49790795] ; [ 11.49790795 217.50209205],0
a2,1,0.503273,0.448028,[3 7] ; [ 49 183],[2.14876033 7.85123967] ; [ 49.85123967 182.14876033],0
d5,1,0.511574,0.430845,[9 1] ; [190  42],[8.2231405 1.7768595] ; [190.7768595  41.2231405],0
u3,1,0.536239,0.382555,[2 1] ; [30 32],[1.47692308 1.52307692] ; [30.52307692 31.47692308],0
p6,1,0.547117,0.362508,[4 6] ; [ 70 156],[3.13559322 6.86440678] ; [ 70.86440678 155.13559322],0
a4,1,0.596335,0.280559,[5 5] ; [ 96 135],[4.19087137 5.80912863] ; [ 96.80912863 134.19087137],0
u1,1,0.611137,0.258523,[2 8] ; [ 33 199],[1.44628099 8.55371901] ; [ 33.55371901 198.44628099],0
d1,1,0.646732,0.210045,[5 5] ; [133  99],[5.70247934 4.29752066] ; [132.29752066  99.70247934],0
s7,1,0.696157,0.1525,[2 7] ; [ 62 158],[2.51528384 6.48471616] ; [ 61.48471616 158.51528384],0
v4,1,0.710167,0.13811,[9 1] ; [215  16],[9.29460581 0.70539419] ; [214.70539419  16.29460581],0
d2,1,0.768123,0.086925,[5 5] ; [105 127],[4.54545455 5.45454545] ; [105.45454545 126.54545455],0
a3,1,0.818992,0.052368,[7 3] ; [170  62],[7.31404959 2.68595041] ; [169.68595041  62.31404959],0
n2,1,0.833097,0.044408,[3 1] ; [35 15],[2.81481481 1.18518519] ; [35.18518519 14.81481481],0
n1,1,0.897436,0.016615,[1 3] ; [14 36],[1.11111111 2.88888889] ; [13.88888889 36.11111111],0
b4,1,0.930886,0.007522,[6 4] ; [136  96],[5.8677686 4.1322314] ; [136.1322314  95.8677686],0
v3,1,0.956315,0.003001,[5 5] ; [115 111],[5.08474576 4.91525424] ; [114.91525424 111.08474576],0
