Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,33.662702,[ 4 46] ; [36 22],[18.51851852 31.48148148] ; [21.48148148 36.51851852],1
a3,1,3e-06,21.658779,[15 35] ; [44 15],[27.06422018 22.93577982] ; [31.93577982 27.06422018],1
d1,1,0.00034,12.838469,[10 40] ; [32 28],[19.09090909 30.90909091] ; [22.90909091 37.09090909],1
d3,1,0.000567,11.88,[16 34] ; [39 21],[25. 25.] ; [30. 30.],1
r2,1,0.001452,10.138869,[35 15] ; [55  4],[41.28440367  8.71559633] ; [48.71559633 10.28440367],0
d2,1,0.001557,10.009973,[17 33] ; [38 21],[25.2293578 24.7706422] ; [29.7706422 29.2293578],0
d5,1,0.00186,9.682627,[25 25] ; [47 13],[32.72727273 17.27272727] ; [39.27272727 20.72727273],0
a6,1,0.002681,9.012518,[19 31] ; [40 20],[26.81818182 23.18181818] ; [32.18181818 27.81818182],0
n4,1,0.006647,7.366071,[25 25] ; [45 15],[31.81818182 18.18181818] ; [38.18181818 21.81818182],0
u1,1,0.010676,6.518519,[ 1 49] ; [10 50],[ 5. 45.] ; [ 6. 54.],0
r1,1,0.01223,6.277181,[27 23] ; [46 14],[33.18181818 16.81818182] ; [39.81818182 20.18181818],0
d4,1,0.033663,4.511724,[26 24] ; [43 17],[31.36363636 18.63636364] ; [37.63636364 22.36363636],0
r4,1,0.034808,4.454556,[27 23] ; [44 16],[32.27272727 17.72727273] ; [38.72727273 21.27272727],0
v4,1,0.039893,4.222434,[33 17] ; [49 10],[37.6146789 12.3853211] ; [44.3853211 14.6146789],0
v1,1,0.085267,2.961538,[ 8 42] ; [18 42],[11.81818182 38.18181818] ; [14.18181818 45.81818182],0
b1,1,0.100355,2.699889,[23 27] ; [37 23],[27.27272727 22.72727273] ; [32.72727273 27.27272727],0
n5,1,0.112263,2.522079,[25 25] ; [39 21],[29.09090909 20.90909091] ; [34.90909091 25.09090909],0
p6,1,0.13441,2.240819,[12 37] ; [ 8 52],[ 8.99082569 40.00917431] ; [11.00917431 48.99082569],0
p7,1,0.14031,2.174555,[24 25] ; [21 39],[20.2293578 28.7706422] ; [24.7706422 35.2293578],0
s3,1,0.223862,1.479443,[18 31] ; [29 31],[21.12844037 27.87155963] ; [25.87155963 34.12844037],0
a1,1,0.227586,1.455882,[ 2 48] ; [ 6 54],[ 3.63636364 46.36363636] ; [ 4.36363636 55.63636364],0
b5,1,0.250592,1.32,[28 22] ; [27 33],[25. 25.] ; [30. 30.],0
a7,1,0.293379,1.104048,[25 25] ; [36 24],[27.72727273 22.27272727] ; [33.27272727 26.72727273],0
p3,1,0.335334,0.928188,[16 34] ; [14 45],[13.76146789 36.23853211] ; [16.23853211 42.76146789],0
n3,1,0.368561,0.808511,[13  9] ; [11 13],[11.47826087 10.52173913] ; [12.52173913 11.47826087],0
n1,1,0.454486,0.559441,[ 7 15] ; [11 15],[ 8.25 13.75] ; [ 9.75 16.25],0
r3,1,0.557673,0.34375,[35 15] ; [45 15],[36.36363636 13.63636364] ; [43.63636364 16.36363636],0
p8,1,0.570924,0.321139,[12 38] ; [17 42],[13.30275229 36.69724771] ; [15.69724771 43.30275229],0
a8,1,0.606649,0.265083,[ 3 46] ; [ 5 52],[ 3.69811321 45.30188679] ; [ 4.30188679 52.69811321],0
s4,1,0.624992,0.238913,[11 38] ; [11 48],[ 9.98148148 39.01851852] ; [12.01851852 46.98148148],0
s8,1,0.672393,0.178816,[ 7 43] ; [10 49],[ 7.79816514 42.20183486] ; [ 9.20183486 49.79816514],0
s5,1,0.672393,0.178816,[ 7 43] ; [10 49],[ 7.79816514 42.20183486] ; [ 9.20183486 49.79816514],0
v3,1,0.724719,0.124016,[ 9 41] ; [12 46],[ 9.72222222 40.27777778] ; [11.27777778 46.72222222],0
s7,1,0.727777,0.121162,[13 35] ; [13 41],[12.23529412 35.76470588] ; [13.76470588 40.23529412],0
s2,1,0.739684,0.110404,[15 35] ; [16 43],[14.22018349 35.77981651] ; [16.77981651 42.22018349],0
u3,1,0.748903,0.102455,[18 17] ; [9 7],[18.52941176 16.47058824] ; [8.47058824 7.52941176],0
p10,1,0.759971,0.093342,[10 40] ; [13 45],[10.64814815 39.35185185] ; [12.35185185 45.64814815],0
b4,1,0.779721,0.078222,[28 22] ; [32 28],[27.27272727 22.72727273] ; [32.72727273 27.27272727],0
p1,1,0.783382,0.075578,[ 5 45] ; [ 5 54],[ 4.58715596 45.41284404] ; [ 5.41284404 53.58715596],0
p5,1,0.787358,0.072761,[ 2 48] ; [ 3 56],[ 2.29357798 47.70642202] ; [ 2.70642202 56.29357798],0
p4,1,0.861919,0.030252,[17 33] ; [21 38],[17.43119266 32.56880734] ; [20.56880734 38.43119266],0
u2,1,0.895926,0.017111,[16 19] ; [7 9],[15.78431373 19.21568627] ; [7.21568627 8.78431373],0
p12,1,0.905862,0.013985,[ 1 49] ; [ 1 58],[ 0.91743119 49.08256881] ; [ 1.08256881 57.91743119],0
s6,1,0.913799,0.011717,[20 30] ; [23 36],[19.72477064 30.27522936] ; [23.27522936 35.72477064],0
n6,1,0.913799,0.011717,[30 20] ; [36 23],[30.27522936 19.72477064] ; [35.72477064 23.27522936],0
p11,1,0.916317,0.01104,[22 28] ; [27 33],[22.27272727 27.72727273] ; [26.72727273 33.27272727],0
