Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.4e-05,17.8173,[79  5] ; [16 10],[72.54545455 11.45454545] ; [22.45454545  3.54545455],1
n4,1,0.007428,7.166522,[74 10] ; [17  9],[69.49090909 14.50909091] ; [21.50909091  4.49090909],0
v3,1,0.009206,6.782338,[31 46] ; [ 3 22],[25.66666667 51.33333333] ; [ 8.33333333 16.66666667],0
s6,1,0.01212,6.293194,[63 20] ; [13 13],[57.87155963 25.12844037] ; [18.12844037  7.87155963],0
u2,1,0.048969,3.876416,[15  8] ; [2 6],[12.61290323 10.38709677] ; [4.38709677 3.61290323],0
r2,1,0.05012,3.837432,[82  2] ; [23  3],[80.18181818  3.81818182] ; [24.81818182  1.18181818],0
a2,1,0.090585,2.863953,[19 65] ; [ 2 24],[16.03636364 67.96363636] ; [ 4.96363636 21.03636364],0
v2,1,0.109257,2.564938,[44 37] ; [ 9 16],[40.5 40.5] ; [12.5 12.5],0
u1,1,0.112531,2.518315,[18 66] ; [ 2 24],[15.27272727 68.72727273] ; [ 4.72727273 21.27272727],0
p8,1,0.114815,2.486656,[30 54] ; [ 5 21],[26.72727273 57.27272727] ; [ 8.27272727 17.72727273],0
s8,1,0.125641,2.34555,[43 40] ; [ 9 17],[39.59633028 43.40366972] ; [12.40366972 13.59633028],0
a6,1,0.15578,2.014723,[55 29] ; [13 13],[51.92727273 32.07272727] ; [16.07272727  9.92727273],0
s3,1,0.168298,1.898036,[51 32] ; [12 14],[47.97247706 35.02752294] ; [15.02752294 10.97247706],0
a1,1,0.206128,1.598417,[ 2 82] ; [ 2 24],[ 3.05454545 80.94545455] ; [ 0.94545455 25.05454545],0
v4,1,0.216093,1.53013,[80  4] ; [23  3],[78.65454545  5.34545455] ; [24.34545455  1.65454545],0
s7,1,0.220563,1.500707,[37 38] ; [ 8 15],[34.43877551 40.56122449] ; [10.56122449 12.43877551],0
n2,1,0.242755,1.364522,[13  8] ; [6 1],[14.25  6.75] ; [4.75 2.25],0
p9,1,0.252236,1.310875,[65 18] ; [23  3],[67.00917431 15.99082569] ; [20.99082569  5.00917431],0
p4,1,0.262823,1.253825,[67 17] ; [18  8],[64.90909091 19.09090909] ; [20.09090909  5.90909091],0
a5,1,0.274482,1.194211,[64 20] ; [17  9],[61.85454545 22.14545455] ; [19.14545455  6.85454545],0
p1,1,0.289661,1.121198,[12 72] ; [ 6 20],[13.74545455 70.25454545] ; [ 4.25454545 21.74545455],0
p10,1,0.329465,0.950998,[59 24] ; [21  5],[60.91743119 22.08256881] ; [19.08256881  6.91743119],0
p6,1,0.343008,0.899157,[18 65] ; [ 8 18],[19.79816514 63.20183486] ; [ 6.20183486 19.79816514],0
s5,1,0.382354,0.763119,[23 55] ; [ 9 14],[24.71287129 53.28712871] ; [ 7.28712871 15.71287129],0
a7,1,0.405262,0.692657,[59 25] ; [16 10],[57.27272727 26.72727273] ; [17.72727273  8.27272727],0
d5,1,0.446621,0.579212,[69 15] ; [23  3],[70.25454545 13.74545455] ; [21.74545455  4.25454545],0
s1,1,0.539222,0.376984,[ 6 77] ; [ 1 25],[ 5.33027523 77.66972477] ; [ 1.66972477 24.33027523],0
d4,1,0.553989,0.35022,[69 15] ; [20  6],[67.96363636 16.03636364] ; [21.03636364  4.96363636],0
s4,1,0.589404,0.291276,[13 69] ; [ 3 23],[12.14814815 69.85185185] ; [ 3.85185185 22.14814815],0
a8,1,0.591879,0.287419,[ 4 71] ; [ 2 22],[ 4.54545455 70.45454545] ; [ 1.45454545 22.54545455],0
d1,1,0.592518,0.286429,[50 34] ; [17  9],[51.16363636 32.83636364] ; [15.83636364 10.16363636],0
d3,1,0.620224,0.245553,[53 31] ; [15 11],[51.92727273 32.07272727] ; [16.07272727  9.92727273],0
n1,1,0.662521,0.190476,[11 10] ; [3 4],[10.5 10.5] ; [3.5 3.5],0
b3,1,0.689648,0.159467,[20 34] ; [6 8],[20.64705882 33.35294118] ; [5.35294118 8.64705882],0
b2,1,0.689648,0.159467,[20 34] ; [6 8],[20.64705882 33.35294118] ; [5.35294118 8.64705882],0
b5,1,0.691312,0.157668,[48 36] ; [16 10],[48.87272727 35.12727273] ; [15.12727273 10.87272727],0
b4,1,0.713782,0.134528,[55 29] ; [16 10],[54.21818182 29.78181818] ; [16.78181818  9.21818182],0
n5,1,0.747171,0.103924,[64 20] ; [19  7],[63.38181818 20.61818182] ; [19.61818182  6.38181818],0
s2,1,0.755759,0.096755,[47 35] ; [14 12],[46.31481481 35.68518519] ; [14.68518519 11.31481481],0
n6,1,0.762465,0.091353,[70 14] ; [21  5],[69.49090909 14.50909091] ; [21.50909091  4.49090909],0
v1,1,0.804243,0.061435,[42 37] ; [14 11],[42.53846154 36.46153846] ; [13.46153846 11.53846154],0
a3,1,0.829284,0.046492,[60 24] ; [18  8],[59.56363636 24.43636364] ; [18.43636364  7.56363636],0
a4,1,0.831855,0.045081,[40 44] ; [13 13],[40.47272727 43.52727273] ; [12.52727273 13.47272727],0
d2,1,0.913008,0.011935,[46 38] ; [14 11],[46.23853211 37.76146789] ; [13.76146789 11.23853211],0
r3,1,0.917001,0.01086,[77  7] ; [24  2],[77.12727273  6.87272727] ; [23.87272727  2.12727273],0
p11,1,0.921975,0.009594,[59 25] ; [18  8],[58.8 25.2] ; [18.2  7.8],0
p2,1,0.94094,0.005489,[62 22] ; [19  7],[61.85454545 22.14545455] ; [19.14545455  6.85454545],0
b1,1,0.980416,0.000603,[39 45] ; [12 14],[38.94545455 45.05454545] ; [12.05454545 13.94545455],0
p5,1,0.99482,4.2e-05,[10 73] ; [ 3 22],[ 9.99074074 73.00925926] ; [ 3.00925926 21.99074074],0
n3,1,1.0,0.0,[15  6] ; [5 2],[15.  6.] ; [5. 2.],0
u3,1,1.0,0.0,[15  9] ; [5 3],[15.  9.] ; [5. 3.],0
