Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,34.828431,[82  3] ; [34 26],[68. 17.] ; [48. 12.],1
v4,1,0.0,25.588235,[80  5] ; [36 24],[68. 17.] ; [48. 12.],1
r2,1,2e-06,22.941682,[78  6] ; [32 22],[66.95652174 17.04347826] ; [43.04347826 10.95652174],1
p10,1,2e-06,22.450043,[73 12] ; [28 29],[60.45774648 24.54225352] ; [40.54225352 16.45774648],1
n6,1,2.1e-05,18.120984,[79  6] ; [39 21],[69.17241379 15.82758621] ; [48.82758621 11.17241379],1
p9,1,9.1e-05,15.310589,[77  8] ; [37 21],[67.76223776 17.23776224] ; [46.23776224 11.76223776],1
p2,1,0.000277,13.221186,[71 14] ; [33 26],[61.38888889 23.61111111] ; [42.61111111 16.38888889],1
p11,1,0.000926,10.969087,[70 15] ; [35 26],[61.13013699 23.86986301] ; [43.86986301 17.13013699],1
s5,1,0.00159,9.971721,[24 53] ; [ 5 53],[16.54074074 60.45925926] ; [12.45925926 45.54074074],0
a7,1,0.003281,8.644476,[57 28] ; [26 35],[48.32191781 36.67808219] ; [34.67808219 26.32191781],0
s6,1,0.004578,8.039018,[50 31] ; [23 38],[41.64084507 39.35915493] ; [31.35915493 29.64084507],0
v3,1,0.005762,7.623269,[36 47] ; [13 48],[28.24305556 54.75694444] ; [20.75694444 40.24305556],0
b1,1,0.006828,7.317648,[27 58] ; [33 28],[34.93150685 50.06849315] ; [25.06849315 35.93150685],0
p4,1,0.006841,7.314286,[50 34] ; [22 38],[42. 42.] ; [30. 30.],0
v1,1,0.009816,6.668076,[43 40] ; [17 40],[35.57142857 47.42857143] ; [24.42857143 32.57142857],0
p8,1,0.016681,5.729622,[40 43] ; [17 43],[33.08391608 49.91608392] ; [23.91608392 36.08391608],0
s3,1,0.023733,5.114033,[46 38] ; [21 38],[39.35664336 44.64335664] ; [27.64335664 31.35664336],0
d5,1,0.028396,4.803885,[67 18] ; [38 23],[61.13013699 23.86986301] ; [43.86986301 17.13013699],0
p7,1,0.030049,4.706463,[49 35] ; [24 36],[42.58333333 41.41666667] ; [30.41666667 29.58333333],0
s8,1,0.035011,4.444644,[32 53] ; [13 48],[26.19863014 58.80136986] ; [18.80136986 42.19863014],0
b5,1,0.037077,4.346881,[59 26] ; [32 29],[52.97945205 32.02054795] ; [38.02054795 22.97945205],0
p3,1,0.038975,4.261954,[43 42] ; [20 40],[36.93103448 48.06896552] ; [26.06896552 33.93103448],0
d4,1,0.043276,4.084582,[66 19] ; [38 23],[60.54794521 24.45205479] ; [43.45205479 17.54794521],0
p6,1,0.044448,4.039468,[32 50] ; [13 44],[26.54676259 55.45323741] ; [18.45323741 38.54676259],0
s2,1,0.045477,4.000872,[39 46] ; [18 43],[33.18493151 51.81506849] ; [23.81506849 37.18493151],0
n3,1,0.07668,3.133903,[16  2] ; [17  9],[13.5  4.5] ; [19.5  6.5],0
u3,1,0.092153,2.836364,[12 18] ; [ 4 18],[ 9.23076923 20.76923077] ; [ 6.76923077 15.23076923],0
b4,1,0.092581,2.828912,[55 30] ; [31 30],[50.06849315 34.93150685] ; [35.93150685 25.06849315],0
a8,1,0.098889,2.723368,[13 67] ; [ 4 54],[ 9.85507246 70.14492754] ; [ 7.14492754 50.85507246],0
p5,1,0.099346,2.716016,[13 71] ; [ 4 57],[ 9.84827586 74.15172414] ; [ 7.15172414 53.84827586],0
a1,1,0.130194,2.290191,[ 5 80] ; [ 8 53],[ 7.56849315 77.43150685] ; [ 5.43150685 55.56849315],0
d3,1,0.160914,1.965617,[49 36] ; [28 33],[44.82876712 40.17123288] ; [32.17123288 28.82876712],0
d2,1,0.186462,1.745355,[30 54] ; [28 32],[33.83333333 50.16666667] ; [24.16666667 35.83333333],0
v2,1,0.19491,1.680107,[41 41] ; [23 36],[37.21985816 44.78014184] ; [26.78014184 32.21985816],0
d1,1,0.205968,1.599542,[41 44] ; [23 38],[37.26027397 47.73972603] ; [26.73972603 34.26027397],0
u2,1,0.225234,1.470707,[16 14] ; [ 8 14],[13.84615385 16.15384615] ; [10.15384615 11.84615385],0
p12,1,0.23748,1.395494,[ 7 78] ; [ 2 57],[ 5.3125 79.6875] ; [ 3.6875 55.3125],0
n2,1,0.288159,1.128205,[15  3] ; [18  8],[13.5  4.5] ; [19.5  6.5],0
u1,1,0.387057,0.748166,[ 4 81] ; [ 5 56],[ 5.23972603 79.76027397] ; [ 3.76027397 57.23972603],0
s4,1,0.396342,0.719395,[11 74] ; [11 50],[12.80821918 72.19178082] ; [ 9.19178082 51.80821918],0
s7,1,0.419785,0.650917,[33 47] ; [20 38],[30.72463768 49.27536232] ; [22.27536232 35.72463768],0
a6,1,0.510051,0.433963,[52 33] ; [34 27],[50.06849315 34.93150685] ; [35.93150685 25.06849315],0
