Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,55.291653,[213  69] ; [15 44],[188.55131965  93.44868035] ; [39.44868035 19.55131965],1
n4,1,1.7e-05,18.474251,[218  66] ; [29 30],[204.51311953  79.48688047] ; [42.48688047 16.51311953],1
p11,1,4.7e-05,16.576194,[222  62] ; [31 28],[209.48104956  74.51895044] ; [43.51895044 15.48104956],1
v4,1,4.7e-05,16.557838,[270  14] ; [47 12],[262.47230321  21.52769679] ; [54.52769679  4.47230321],1
p10,1,6.9e-05,15.824956,[223  58] ; [31 26],[211.16568047  69.83431953] ; [42.83431953 14.16568047],1
p9,1,0.001525,10.048599,[227  53] ; [36 22],[217.86982249  62.13017751] ; [45.13017751 12.86982249],0
b1,1,0.00376,8.396348,[ 97 187] ; [32 27],[106.81049563 177.18950437] ; [22.18950437 36.81049563],0
p7,1,0.005229,7.798524,[167 113] ; [23 35],[157.3964497 122.6035503] ; [32.6035503 25.3964497],0
s6,1,0.008731,6.877005,[132 146] ; [17 42],[122.91394659 155.08605341] ; [26.08605341 32.91394659],0
r4,1,0.009469,6.732172,[249  35] ; [44 15],[242.60058309  41.39941691] ; [50.39941691  8.60058309],0
p6,1,0.010493,6.549207,[ 95 186] ; [ 9 46],[ 86.97619048 194.02380952] ; [17.02380952 37.97619048],0
r3,1,0.020661,5.355181,[266  18] ; [50  9],[261.64431487  22.35568513] ; [54.35568513  4.64431487],0
p8,1,0.035404,4.425573,[141 139] ; [20 37],[133.76854599 146.23145401] ; [27.23145401 29.76854599],0
r2,1,0.035922,4.400813,[256  23] ; [48 10],[251.67952522  27.32047478] ; [52.32047478  5.67952522],0
p4,1,0.054517,3.696791,[158 124] ; [24 33],[151.39823009 130.60176991] ; [30.60176991 26.39823009],0
s5,1,0.067285,3.348031,[ 69 208] ; [ 8 50],[ 63.66865672 213.33134328] ; [13.33134328 44.66865672],0
p3,1,0.07228,3.230467,[131 152] ; [19 38],[124.85294118 158.14705882] ; [25.14705882 31.85294118],0
s7,1,0.090466,2.866055,[ 80 188] ; [10 44],[ 74.9068323 193.0931677] ; [15.0931677 38.9068323],0
v3,1,0.090778,2.860528,[109 168] ; [15 40],[103.45783133 173.54216867] ; [20.54216867 34.45783133],0
n2,1,0.099058,2.720641,[51 23] ; [7 8],[48.2247191 25.7752809] ; [9.7752809 5.2247191],0
p1,1,0.108717,2.572769,[ 21 263] ; [ 1 57],[ 18.26900585 265.73099415] ; [ 3.73099415 54.26900585],0
