Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.0,70.257478,[ 27 460] ; [24 39],[ 45.15818182 441.84181818] ; [ 5.84181818 57.15818182],1
p12,1,0.0,47.591929,[ 28 461] ; [20 43],[ 42.52173913 446.47826087] ; [ 5.47826087 57.52173913],1
s5,1,0.0,37.77109,[135 345] ; [39 18],[155.53072626 324.46927374] ; [18.46927374 38.53072626],1
p6,1,0.0,29.044322,[159 327] ; [42 20],[178.25912409 307.74087591] ; [22.74087591 39.25912409],1
p3,1,2e-06,22.422381,[223 267] ; [48 14],[240.5615942 249.4384058] ; [30.4384058 31.5615942],1
p8,1,4e-06,21.202736,[248 235] ; [51 11],[264.9853211 218.0146789] ; [34.0146789 27.9853211],1
s7,1,1.6e-05,18.625389,[214 253] ; [44 14],[229.49714286 237.50285714] ; [28.50285714 29.49714286],1
p4,1,2.4e-05,17.804675,[289 200] ; [53  8],[304.06909091 184.93090909] ; [37.93090909 23.06909091],1
s8,1,0.000154,14.318028,[200 288] ; [40 20],[213.72262774 274.27737226] ; [26.27737226 33.72262774],1
v3,1,0.000369,12.685055,[178 294] ; [37 23],[190.7518797 281.2481203] ; [24.2481203 35.7518797],1
r3,1,0.00262,9.054663,[476  12] ; [56  6],[472.02909091  15.97090909] ; [59.97090909  2.02909091],0
p7,1,0.002912,8.861597,[297 181] ; [49 11],[307.41263941 170.58736059] ; [38.58736059 21.41263941],0
p10,1,0.003439,8.558462,[389  98] ; [59  3],[397.40619308  89.59380692] ; [50.59380692 11.40619308],0
n5,1,0.004587,8.035326,[352 135] ; [56  7],[361.26545455 125.73454545] ; [46.73454545 16.26545455],0
s6,1,0.007566,7.133459,[328 159] ; [49  9],[336.87889908 150.12110092] ; [40.12110092 17.87889908],0
b5,1,0.008957,6.831379,[324 167] ; [31 32],[314.6299639 176.3700361] ; [40.3700361 22.6299639],0
p9,1,0.012237,6.276147,[401  83] ; [59  3],[407.76556777  76.23443223] ; [52.23443223  9.76556777],0
a1,1,0.016514,5.747261,[ 16 475] ; [ 6 57],[ 19.49819495 471.50180505] ; [ 2.50180505 60.49819495],0
a6,1,0.024257,5.076169,[392  97] ; [42 20],[385.16515426 103.83484574] ; [48.83484574 13.16515426],0
v1,1,0.025302,5.003102,[253 227] ; [42 20],[261.25461255 218.74538745] ; [33.74538745 28.25461255],0
s1,1,0.028638,4.789235,[ 13 469] ; [ 5 58],[ 15.91926606 466.08073394] ; [ 2.08073394 60.91926606],0
b3,1,0.029736,4.7245,[ 86 191] ; [23 26],[ 92.61656442 184.38343558] ; [16.38343558 32.61656442],0
b2,1,0.029736,4.7245,[ 86 191] ; [23 26],[ 92.61656442 184.38343558] ; [16.38343558 32.61656442],0
a3,1,0.035813,4.405966,[349 138] ; [53 10],[355.95272727 131.04727273] ; [46.04727273 16.95272727],0
n4,1,0.042594,4.111437,[372 118] ; [55  8],[378.35443038 111.64556962] ; [48.64556962 14.35443038],0
n6,1,0.075703,3.154815,[406  82] ; [57  5],[410.80727273  77.19272727] ; [52.19272727  9.80727273],0
p11,1,0.095002,2.787504,[375 116] ; [54  9],[380.21480144 110.78519856] ; [48.78519856 14.21480144],0
s2,1,0.189112,1.724525,[246 238] ; [37 25],[250.86446886 233.13553114] ; [32.13553114 29.86446886],0
a5,1,0.199159,1.64853,[378 113] ; [53 10],[381.98736462 109.01263538] ; [49.01263538 13.98736462],0
n1,1,0.199816,1.643719,[37 67] ; [7 6],[39.11111111 64.88888889] ; [4.88888889 8.11111111],0
s3,1,0.217473,1.520972,[267 213] ; [39 22],[271.49722736 208.50277264] ; [34.50277264 26.49722736],0
n2,1,0.224445,1.475722,[73 31] ; [12  2],[74.91525424 29.08474576] ; [10.08474576  3.91525424],0
d5,1,0.270911,1.21213,[414  76] ; [49 13],[410.99637681  79.00362319] ; [52.00362319  9.99637681],0
a8,1,0.288437,1.126903,[ 63 370] ; [11 44],[ 65.65983607 367.34016393] ; [ 8.34016393 46.65983607],0
u1,1,0.306188,1.047047,[119 372] ; [19 44],[122.30685921 368.69314079] ; [15.69314079 47.30685921],0
d2,1,0.346146,0.887534,[245 244] ; [35 27],[248.49364791 240.50635209] ; [31.50635209 30.49364791],0
b1,1,0.347196,0.88368,[173 318] ; [26 37],[176.3700361 314.6299639] ; [22.6299639 40.3700361],0
