Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.703624,[176  59] ; [33 42],[158.43548387  76.56451613] ; [50.56451613 24.43548387],1
n5,1,7e-06,20.316339,[202  32] ; [47 28],[188.5631068  45.4368932] ; [60.4368932 14.5631068],1
s3,1,3.2e-05,17.308439,[182  51] ; [40 35],[167.94155844  65.05844156] ; [54.05844156 20.94155844],1
a3,1,0.000209,13.749575,[198  37] ; [49 27],[186.63987138  48.36012862] ; [60.36012862 15.63987138],1
s6,1,0.000236,13.519125,[202  31] ; [51 24],[191.39285714  41.60714286] ; [61.60714286 13.39285714],1
p5,1,0.00032,12.948008,[ 46 185] ; [ 2 74],[ 36.11726384 194.88273616] ; [11.88273616 64.11726384],1
n6,1,0.00208,9.4776,[212  21] ; [59 17],[204.34627832  28.65372168] ; [66.65372168  9.34627832],0
u1,1,0.013174,6.14555,[ 56 180] ; [ 8 68],[ 48.41025641 187.58974359] ; [15.58974359 60.41025641],0
s5,1,0.02047,5.371385,[ 97 128] ; [20 52],[ 88.63636364 136.36363636] ; [28.36363636 43.63636364],0
n4,1,0.030247,4.695173,[203  31] ; [58 18],[197.01290323  36.98709677] ; [63.98709677 12.01290323],0
v1,1,0.035128,4.438925,[151  76] ; [38 34],[143.48829431  83.51170569] ; [45.51170569 26.48829431],0
p9,1,0.036901,4.354964,[217  18] ; [64 12],[212.33118971  22.66881029] ; [68.66881029  7.33118971],0
p11,1,0.037912,4.308987,[190  46] ; [69  7],[195.91025641  40.08974359] ; [63.08974359 12.91025641],0
v2,1,0.044468,4.038696,[152  76] ; [38 33],[144.88294314  83.11705686] ; [45.11705686 25.88294314],0
a2,1,0.058264,3.586112,[ 66 170] ; [13 63],[ 59.75641026 176.24358974] ; [19.24358974 56.75641026],0
v3,1,0.061629,3.492992,[120 104] ; [29 42],[113.13898305 110.86101695] ; [35.86101695 35.13898305],0
p1,1,0.090139,2.87189,[ 24 210] ; [ 3 73],[ 20.38064516 213.61935484] ; [ 6.61935484 69.38064516],0
v4,1,0.10023,2.701872,[228   6] ; [71  5],[225.69677419   8.30322581] ; [73.30322581  2.69677419],0
u4,1,0.10181,2.676961,[ 14 222] ; [ 1 75],[ 11.34615385 224.65384615] ; [ 3.65384615 72.34615385],0
p4,1,0.104043,2.642456,[160  75] ; [44 32],[154.14790997  80.85209003] ; [49.85209003 26.14790997],0
p10,1,0.127302,2.325097,[206  27] ; [62 14],[202.08414239  30.91585761] ; [65.91585761 10.08414239],0
b4,1,0.150016,2.072089,[130 106] ; [49 27],[135.3974359 100.6025641] ; [43.6025641 32.3974359],0
r2,1,0.150136,2.070872,[223   9] ; [69  6],[220.66449511  11.33550489] ; [71.33550489  3.66449511],0
p7,1,0.213895,1.544868,[163  66] ; [47 27],[158.71287129  70.28712871] ; [51.28712871 22.71287129],0
