Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,6e-06,20.521429,[24  4] ; [12 28],[14.82352941 13.17647059] ; [21.17647059 18.82352941],1
p7,1,0.000387,12.592695,[25  3] ; [19 21],[18.11764706  9.88235294] ; [25.88235294 14.11764706],1
p3,1,0.000396,12.550992,[22  6] ; [14 26],[14.82352941 13.17647059] ; [21.17647059 18.82352941],1
n5,1,0.009735,6.682675,[25  3] ; [25 16],[20.28985507  7.71014493] ; [29.71014493 11.28985507],0
s8,1,0.013693,6.077258,[18 10] ; [14 27],[12.98550725 15.01449275] ; [19.01449275 21.98550725],0
r4,1,0.016253,5.775338,[25  3] ; [26 15],[20.69565217  7.30434783] ; [30.30434783 10.69565217],0
r1,1,0.02614,4.946725,[24  4] ; [25 16],[19.88405797  8.11594203] ; [29.11594203 11.88405797],0
s4,1,0.0332,4.535447,[ 1 27] ; [ 9 32],[ 4.05797101 23.94202899] ; [ 5.94202899 35.05797101],0
n4,1,0.040023,4.216894,[26  2] ; [30 11],[22.72463768  5.27536232] ; [33.27536232  7.72463768],0
p11,1,0.042463,4.116664,[25  3] ; [28 13],[21.50724638  6.49275362] ; [31.49275362  9.50724638],0
v1,1,0.044496,4.03763,[17 11] ; [14 25],[12.95522388 15.04477612] ; [18.04477612 20.95522388],0
p1,1,0.062339,3.474042,[ 4 24] ; [ 1 40],[ 2.02898551 25.97101449] ; [ 2.97101449 38.02898551],0
a7,1,0.082996,3.005226,[22  6] ; [24 17],[18.66666667  9.33333333] ; [27.33333333 13.66666667],0
p9,1,0.087798,2.914286,[24  4] ; [27 13],[21.  7.] ; [30. 10.],0
b3,1,0.09659,2.760968,[15  7] ; [12 15],[12.12244898  9.87755102] ; [14.87755102 12.12244898],0
b2,1,0.09659,2.760968,[15  7] ; [12 15],[12.12244898  9.87755102] ; [14.87755102 12.12244898],0
p6,1,0.101903,2.675499,[16 11] ; [16 25],[12.70588235 14.29411765] ; [19.29411765 21.70588235],0
v4,1,0.126934,2.329609,[27  1] ; [34  6],[25.11764706  2.88235294] ; [35.88235294  4.11764706],0
b5,1,0.138347,2.196252,[12 16] ; [25 16],[15.01449275 12.98550725] ; [21.98550725 19.01449275],0
n6,1,0.140377,2.173826,[25  3] ; [30 10],[22.64705882  5.35294118] ; [32.35294118  7.64705882],0
p10,1,0.153709,2.03505,[25  3] ; [31 10],[22.72463768  5.27536232] ; [33.27536232  7.72463768],0
p2,1,0.153709,2.03505,[25  3] ; [31 10],[22.72463768  5.27536232] ; [33.27536232  7.72463768],0
a8,1,0.173314,1.854045,[ 6 16] ; [ 5 33],[ 4.03333333 17.96666667] ; [ 6.96666667 31.03333333],0
p5,1,0.183967,1.765284,[ 4 24] ; [ 2 38],[ 2.47058824 25.52941176] ; [ 3.52941176 36.47058824],0
r3,1,0.229088,1.446516,[26  2] ; [34  7],[24.34782609  3.65217391] ; [35.65217391  5.34782609],0
d1,1,0.240545,1.377395,[17 11] ; [19 22],[14.60869565 13.39130435] ; [21.39130435 19.60869565],0
n1,1,0.254524,1.298302,[2 3] ; [9 4],[3.05555556 1.94444444] ; [7.94444444 5.05555556],0
a2,1,0.305427,1.050346,[ 4 24] ; [10 31],[ 5.68115942 22.31884058] ; [ 8.31884058 32.68115942],0
