Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.00228,9.309091,[ 7 15] ; [9 1],[11. 11.] ; [5. 5.],0
v1,1,0.003156,8.71504,[14 44] ; [13  9],[19.575 38.425] ; [ 7.425 14.575],0
s6,1,0.008862,6.850515,[16 42] ; [13  9],[21.025 36.975] ; [ 7.975 14.025],0
s2,1,0.009264,6.77116,[10 48] ; [10 12],[14.5 43.5] ; [ 5.5 16.5],0
s8,1,0.01387,6.054635,[ 4 54] ; [ 6 16],[ 7.25 50.75] ; [ 2.75 19.25],0
r4,1,0.014154,6.018809,[30 28] ; [18  4],[34.8 23.2] ; [13.2  8.8],0
n5,1,0.014154,6.018809,[28 30] ; [ 4 18],[23.2 34.8] ; [ 8.8 13.2],0
p4,1,0.01621,5.779967,[13 45] ; [11 11],[17.4 40.6] ; [ 6.6 15.4],0
p2,1,0.025663,4.978591,[26 32] ; [16  6],[30.45 27.55] ; [11.55 10.45],0
d4,1,0.028937,4.77136,[34 22] ; [19  3],[38.05128205 17.94871795] ; [14.94871795  7.05128205],0
s4,1,0.058313,3.584732,[ 6 52] ; [ 6 16],[ 8.7 49.3] ; [ 3.3 18.7],0
r3,1,0.065842,3.383763,[38 20] ; [19  3],[41.325 16.675] ; [15.675  6.325],0
s3,1,0.073407,3.205137,[21 36] ; [13  9],[24.53164557 32.46835443] ; [ 9.46835443 12.53164557],0
b1,1,0.08973,2.879202,[30 28] ; [16  6],[33.35 24.65] ; [12.65  9.35],0
n2,1,0.131834,2.270775,[16 16] ; [5 1],[17.68421053 14.31578947] ; [3.31578947 2.68421053],0
p7,1,0.154934,2.022989,[19 39] ; [11 11],[21.75 36.25] ; [ 8.25 13.75],0
r2,1,0.163517,1.941401,[44 13] ; [20  2],[46.17721519 10.82278481] ; [17.82278481  4.17721519],0
v4,1,0.182528,1.776923,[35 22] ; [17  5],[37.51898734 19.48101266] ; [14.48101266  7.51898734],0
p1,1,0.207935,1.585748,[ 3 54] ; [ 3 19],[ 4.32911392 52.67088608] ; [ 1.67088608 20.32911392],0
s7,1,0.209239,1.576686,[ 8 43] ; [ 6 15],[ 9.91666667 41.08333333] ; [ 4.08333333 16.91666667],0
v3,1,0.221345,1.495628,[10 45] ; [ 6 13],[11.89189189 43.10810811] ; [ 4.10810811 14.89189189],0
b4,1,0.233926,1.416832,[31 27] ; [15  7],[33.35 24.65] ; [12.65  9.35],0
n3,1,0.27737,1.179933,[18 12] ; [5 1],[19.16666667 10.83333333] ; [3.83333333 2.16666667],0
u2,1,0.283391,1.150758,[10 12] ; [6 3],[11.35483871 10.64516129] ; [4.64516129 4.35483871],0
a5,1,0.291237,1.113894,[32 26] ; [15  7],[34.075 23.925] ; [12.925  9.075],0
r1,1,0.303616,1.058243,[35 23] ; [16  6],[36.975 21.025] ; [14.025  7.975],0
a4,1,0.357574,0.846395,[25 33] ; [ 7 15],[23.2 34.8] ; [ 8.8 13.2],0
p6,1,0.393832,0.727078,[ 9 49] ; [ 5 16],[10.27848101 47.72151899] ; [ 3.72151899 17.27848101],0
s5,1,0.39599,0.720468,[ 7 50] ; [ 4 16],[ 8.14285714 48.85714286] ; [ 2.85714286 17.14285714],0
b3,1,0.427263,0.630252,[10 25] ; [6 9],[11.2 23.8] ; [ 4.8 10.2],0
b2,1,0.427263,0.630252,[10 25] ; [6 9],[11.2 23.8] ; [ 4.8 10.2],0
p8,1,0.439454,0.597708,[11 46] ; [ 6 16],[12.26582278 44.73417722] ; [ 4.73417722 17.26582278],0
a3,1,0.482225,0.493826,[36 21] ; [12 10],[34.63291139 22.36708861] ; [13.36708861  8.63291139],0
s1,1,0.525018,0.404024,[ 5 52] ; [ 1 21],[ 4.32911392 52.67088608] ; [ 1.67088608 20.32911392],0
p9,1,0.543366,0.369336,[17 41] ; [ 8 14],[18.125 39.875] ; [ 6.875 15.125],0
a2,1,0.575387,0.313751,[11 47] ; [ 3 19],[10.15 47.85] ; [ 3.85 18.15],0
p11,1,0.611563,0.257905,[22 36] ; [ 7 15],[21.025 36.975] ; [ 7.975 14.025],0
v2,1,0.622797,0.241956,[18 38] ; [ 8 13],[18.90909091 37.09090909] ; [ 7.09090909 13.90909091],0
d3,1,0.665649,0.186734,[29 28] ; [10 12],[28.13924051 28.86075949] ; [10.86075949 11.13924051],0
u1,1,0.698086,0.15047,[ 4 54] ; [ 1 21],[ 3.625 54.375] ; [ 1.375 20.625],0
d2,1,0.705906,0.142401,[26 31] ; [ 9 13],[25.25316456 31.74683544] ; [ 9.74683544 12.25316456],0
n1,1,0.715128,0.133209,[13 18] ; [3 3],[13.40540541 17.59459459] ; [2.59459459 3.40540541],0
a6,1,0.744926,0.105844,[34 23] ; [14  8],[34.63291139 22.36708861] ; [13.36708861  8.63291139],0
a7,1,0.849875,0.035826,[33 25] ; [12 10],[32.625 25.375] ; [12.375  9.625],0
d1,1,0.874859,0.024803,[20 38] ; [ 8 14],[20.3 37.7] ; [ 7.7 14.3],0
d5,1,0.915366,0.011294,[37 20] ; [14  8],[36.79746835 20.20253165] ; [14.20253165  7.79746835],0
n4,1,0.929968,0.007724,[31 27] ; [12 10],[31.175 26.825] ; [11.825 10.175],0
b5,1,0.959859,0.002533,[32 26] ; [12 10],[31.9 26.1] ; [12.1  9.9],0
a8,1,0.981702,0.000526,[ 6 50] ; [ 2 17],[ 5.97333333 50.02666667] ; [ 2.02666667 16.97333333],0
