Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.0,26.640987,[37 44] ; [332 115],[56.60795455 24.39204545] ; [312.39204545 134.60795455],1
v2,1,8.3e-05,15.486099,[28 52] ; [249 174],[44.055666 35.944334] ; [232.944334 190.055666],1
d1,1,0.000106,15.018731,[29 52] ; [264 183],[44.94886364 36.05113636] ; [248.05113636 198.94886364],1
u1,1,0.000129,14.659376,[ 1 80] ; [ 80 367],[12.42613636 68.57386364] ; [ 68.57386364 378.42613636],1
d4,1,0.000216,13.682605,[52 29] ; [366  79],[64.36882129 16.63117871] ; [353.63117871  91.36882129],1
d3,1,0.000274,13.239746,[41 39] ; [320 126],[54.90494297 25.09505703] ; [306.09505703 139.90494297],1
u3,1,0.002719,8.986783,[13 23] ; [85 48],[20.87573964 15.12426036] ; [77.12426036 55.87573964],0
a4,1,0.004852,7.933837,[22 59] ; [195 249],[33.48 47.52] ; [183.52 260.48],0
a2,1,0.005984,7.554965,[ 8 73] ; [105 342],[17.33522727 63.66477273] ; [ 95.66477273 351.33522727],0
a3,1,0.009866,6.658983,[45 36] ; [312 133],[54.97528517 26.02471483] ; [302.02471483 142.97528517],0
v1,1,0.012661,6.215894,[29 50] ; [226 209],[39.192607 39.807393] ; [215.807393 219.192607],0
b5,1,0.015985,5.804556,[61 20] ; [274 173],[51.39204545 29.60795455] ; [283.60795455 163.39204545],0
r2,1,0.018546,5.543809,[75  5] ; [436   8],[78.01526718  1.98473282] ; [432.98473282  11.01526718],0
d5,1,0.019784,5.430884,[56 24] ; [363  83],[63.72623574 16.27376426] ; [355.27376426  90.72623574],0
s7,1,0.024205,5.079904,[22 55] ; [180 246],[30.92246521 46.07753479] ; [171.07753479 254.92246521],0
n4,1,0.024655,5.04796,[53 28] ; [344 102],[61.01897533 19.98102467] ; [335.98102467 110.01897533],0
s2,1,0.024715,5.043727,[23 58] ; [185 259],[32.09142857 48.90857143] ; [175.90857143 268.09142857],0
a7,1,0.051794,3.78242,[54 26] ; [346 100],[60.8365019 19.1634981] ; [339.1634981 106.8365019],0
d2,1,0.060595,3.521022,[29 52] ; [210 236],[36.73434535 44.26565465] ; [202.26565465 243.73434535],0
s6,1,0.062476,3.470417,[39 41] ; [266 178],[46.5648855 33.4351145] ; [258.4351145 185.5648855],0
