Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,24.030887,[52  1] ; [2 3],[49.34482759  3.65517241] ; [4.65517241 0.34482759],1
n6,1,0.000271,13.262888,[46  7] ; [1 4],[42.94827586 10.05172414] ; [4.05172414 0.94827586],1
p11,1,0.006085,7.524888,[41 12] ; [1 4],[38.37931034 14.62068966] ; [3.62068966 1.37931034],0
p2,1,0.01474,5.947337,[38 14] ; [1 4],[35.57894737 16.42105263] ; [3.42105263 1.57894737],0
d2,1,0.035002,4.445077,[10 43] ; [3 2],[11.87931034 41.12068966] ; [1.12068966 3.87931034],0
a4,1,0.049955,3.84298,[11 42] ; [3 2],[12.79310345 40.20689655] ; [1.20689655 3.79310345],0
p7,1,0.050779,3.815539,[33 18] ; [1 4],[30.96428571 20.03571429] ; [3.03571429 1.96428571],0
p10,1,0.053929,3.714905,[41 11] ; [2 3],[39.22807018 12.77192982] ; [3.77192982 1.22807018],0
s6,1,0.055511,3.666667,[32 18] ; [1 4],[30. 20.] ; [3. 2.],0
b3,1,0.062034,3.482143,[10 25] ; [3 1],[11.66666667 23.33333333] ; [1.33333333 2.66666667],0
b2,1,0.062034,3.482143,[10 25] ; [3 1],[11.66666667 23.33333333] ; [1.33333333 2.66666667],0
p4,1,0.072359,3.228671,[32 20] ; [1 4],[30.10526316 21.89473684] ; [2.89473684 2.10526316],0
b5,1,0.081368,3.037356,[32 21] ; [1 4],[30.15517241 22.84482759] ; [2.84482759 2.15517241],0
s3,1,0.085507,2.956989,[30 20] ; [1 4],[28.18181818 21.81818182] ; [2.81818182 2.18181818],0
p8,1,0.126017,2.340897,[29 23] ; [1 4],[27.36842105 24.63157895] ; [2.63157895 2.36842105],0
s7,1,0.217227,1.522594,[23 24] ; [1 4],[21.69230769 25.30769231] ; [2.30769231 2.69230769],0
s1,1,0.234114,1.415693,[ 3 49] ; [1 4],[ 3.64912281 48.35087719] ; [0.35087719 4.64912281],0
p1,1,0.276574,1.183846,[10 42] ; [2 3],[10.94736842 41.05263158] ; [1.05263158 3.94736842],0
a3,1,0.347284,0.883356,[31 22] ; [4 1],[31.98275862 21.01724138] ; [3.01724138 1.98275862],0
s2,1,0.354827,0.856118,[21 30] ; [1 4],[20.03571429 30.96428571] ; [1.96428571 3.03571429],0
v1,1,0.396153,0.719974,[31 21] ; [2 3],[30.10526316 21.89473684] ; [2.89473684 2.10526316],0
p6,1,0.413704,0.668132,[20 32] ; [1 4],[19.15789474 32.84210526] ; [1.84210526 3.15789474],0
b4,1,0.424809,0.636972,[31 22] ; [2 3],[30.15517241 22.84482759] ; [2.84482759 2.15517241],0
a2,1,0.458328,0.549976,[ 5 48] ; [1 4],[ 5.48275862 47.51724138] ; [0.51724138 4.48275862],0
s8,1,0.459226,0.547781,[19 33] ; [1 4],[18.24561404 33.75438596] ; [1.75438596 3.24561404],0
d5,1,0.475447,0.509289,[23 30] ; [3 2],[23.75862069 29.24137931] ; [2.24137931 2.75862069],0
n4,1,0.673719,0.177283,[46  7] ; [4 1],[45.68965517  7.31034483] ; [4.31034483 0.68965517],0
a7,1,0.718165,0.130257,[36 17] ; [3 2],[35.63793103 17.36206897] ; [3.36206897 1.63793103],0
d3,1,0.853529,0.034084,[19 34] ; [2 3],[19.18965517 33.81034483] ; [1.81034483 3.18965517],0
a5,1,0.853529,0.034084,[34 19] ; [3 2],[33.81034483 19.18965517] ; [3.18965517 1.81034483],0
n5,1,0.864359,0.029182,[44  9] ; [4 1],[43.86206897  9.13793103] ; [4.13793103 0.86206897],0
p9,1,0.875546,0.024529,[40 12] ; [4 1],[40.14035088 11.85964912] ; [3.85964912 1.14035088],0
b1,1,0.883455,0.021489,[23 30] ; [2 3],[22.84482759 30.15517241] ; [2.15517241 2.84482759],0
a6,1,0.920549,0.009949,[33 20] ; [3 2],[32.89655172 20.10344828] ; [3.10344828 1.89655172],0
