Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,8.9e-05,15.353001,[14 11] ; [96 12],[20.67669173  4.32330827] ; [89.32330827 18.67669173],1
b1,1,0.006558,7.390302,[19  6] ; [50 59],[12.87313433 12.12686567] ; [56.12686567 52.87313433],0
b4,1,0.007141,7.237229,[18  7] ; [46 63],[11.94029851 13.05970149] ; [52.05970149 56.94029851],0
a5,1,0.008894,6.843967,[14 11] ; [88 21],[19.02985075  5.97014925] ; [82.97014925 26.02985075],0
p9,1,0.018955,5.505638,[18  7] ; [97 11],[21.61654135  3.38345865] ; [93.38345865 14.61654135],0
d5,1,0.021351,5.29792,[16  9] ; [91 17],[20.11278195  4.88721805] ; [86.88721805 21.11278195],0
s8,1,0.042139,4.129615,[14 11] ; [83 26],[18.09701493  6.90298507] ; [78.90298507 30.09701493],0
r3,1,0.043752,4.066101,[22  3] ; [106   3],[23.88059701  1.11940299] ; [104.11940299   4.88059701],0
s1,1,0.043752,4.066101,[ 3 22] ; [  3 106],[ 1.11940299 23.88059701] ; [  4.88059701 104.11940299],0
s3,1,0.047912,3.913068,[15 10] ; [86 23],[18.84328358  6.15671642] ; [82.15671642 26.84328358],0
p7,1,0.053682,3.722553,[13 12] ; [77 30],[17.04545455  7.95454545] ; [72.95454545 34.04545455],0
v3,1,0.058671,3.574564,[ 7 17] ; [54 53],[11.17557252 12.82442748] ; [49.82442748 57.17557252],0
a3,1,0.060101,3.534603,[18  7] ; [95 14],[21.08208955  3.91791045] ; [91.91791045 17.08208955],0
v4,1,0.077056,3.125935,[21  4] ; [101   6],[23.10606061  1.89393939] ; [98.89393939  8.10606061],0
r2,1,0.077056,3.125935,[21  4] ; [101   6],[23.10606061  1.89393939] ; [98.89393939  8.10606061],0
n6,1,0.078745,3.09061,[17  6] ; [96 13],[19.68939394  3.31060606] ; [93.31060606 15.68939394],0
r4,1,0.111132,2.538053,[18  7] ; [93 16],[20.70895522  4.29104478] ; [90.29104478 18.70895522],0
p6,1,0.133458,2.251813,[ 8 17] ; [52 55],[11.36363636 13.63636364] ; [48.63636364 58.36363636],0
a6,1,0.198243,1.655271,[ 6 19] ; [41 68],[ 8.76865672 16.23134328] ; [38.23134328 70.76865672],0
b5,1,0.210821,1.565781,[14 11] ; [46 63],[11.19402985 13.80597015] ; [48.80597015 60.19402985],0
p3,1,0.216965,1.524336,[12 13] ; [67 42],[14.73880597 10.26119403] ; [64.26119403 44.73880597],0
p1,1,0.244751,1.353019,[ 4 21] ; [ 9 99],[ 2.44360902 22.55639098] ; [10.55639098 97.44360902],0
n3,1,0.249745,1.324728,[9 7] ; [17  6],[10.66666667  5.33333333] ; [15.33333333  7.66666667],0
n2,1,0.279227,1.170848,[11  5] ; [20  4],[12.4  3.6] ; [18.6  5.4],0
d4,1,0.288208,1.127972,[18  7] ; [88 20],[19.92481203  5.07518797] ; [86.07518797 21.92481203],0
r1,1,0.29108,1.114618,[17  8] ; [85 24],[19.02985075  5.97014925] ; [82.97014925 26.02985075],0
a8,1,0.321554,0.982615,[ 5 20] ; [13 92],[ 3.46153846 21.53846154] ; [14.53846154 90.46153846],0
p8,1,0.334341,0.932012,[11 14] ; [58 48],[13.16793893 11.83206107] ; [55.83206107 50.16793893],0
u1,1,0.336014,0.925579,[ 1 24] ; [11 98],[ 2.23880597 22.76119403] ; [ 9.76119403 99.23880597],0
s2,1,0.347269,0.883412,[16  9] ; [80 29],[17.91044776  7.08955224] ; [78.08955224 30.91044776],0
u3,1,0.349575,0.875,[3 4] ; [9 5],[4. 3.] ; [8. 6.],0
p2,1,0.459944,0.54603,[19  6] ; [89 19],[20.30075188  4.69924812] ; [87.69924812 20.30075188],0
s4,1,0.479122,0.500861,[ 5 20] ; [29 79],[ 6.39097744 18.60902256] ; [27.60902256 80.39097744],0
u2,1,0.512691,0.428571,[4 3] ; [10  4],[4.66666667 2.33333333] ; [9.33333333 4.66666667],0
p4,1,0.542481,0.370962,[17  8] ; [67 42],[15.67164179  9.32835821] ; [68.32835821 40.67164179],0
a4,1,0.560176,0.339399,[11 14] ; [55 54],[12.31343284 12.68656716] ; [53.68656716 55.31343284],0
v1,1,0.580183,0.305939,[13 12] ; [61 44],[14.23076923 10.76923077] ; [59.76923077 45.23076923],0
p5,1,0.625459,0.23827,[ 3 22] ; [17 90],[ 3.78787879 21.21212121] ; [16.21212121 90.78787879],0
d1,1,0.698451,0.150089,[12 13] ; [57 52],[12.87313433 12.12686567] ; [56.12686567 52.87313433],0
s6,1,0.724762,0.123975,[19  5] ; [88 19],[19.60305344  4.39694656] ; [87.39694656 19.60305344],0
s5,1,0.733731,0.115713,[12 13] ; [46 58],[11.24031008 13.75968992] ; [46.75968992 57.24031008],0
a1,1,0.776188,0.080821,[ 2 23] ; [  7 102],[ 1.67910448 23.32089552] ; [  7.32089552 101.67910448],0
b3,1,0.844549,0.038447,[8 7] ; [43 42],[7.65 7.35] ; [43.35 41.65],0
b2,1,0.844549,0.038447,[8 7] ; [43 42],[7.65 7.35] ; [43.35 41.65],0
a2,1,0.887306,0.020083,[ 3 22] ; [12 97],[ 2.79850746 22.20149254] ; [12.20149254 96.79850746],0
v2,1,0.89106,0.018759,[12 13] ; [52 53],[12.30769231 12.69230769] ; [51.69230769 53.30769231],0
n5,1,0.896424,0.016947,[20  4] ; [92 17],[20.21052632  3.78947368] ; [91.78947368 17.21052632],0
n1,1,0.918006,0.010598,[10  6] ; [14  9],[9.84615385 6.15384615] ; [14.15384615  8.84615385],0
u4,1,0.937364,0.006175,[ 1 24] ; [  4 105],[ 0.93283582 24.06716418] ; [  4.06716418 104.93283582],0
n4,1,0.937692,0.006111,[21  3] ; [96 13],[21.11278195  2.88721805] ; [95.88721805 13.11278195],0
d2,1,0.95511,0.003169,[13 12] ; [56 53],[12.87313433 12.12686567] ; [56.12686567 52.87313433],0
d3,1,0.978855,0.000702,[12 13] ; [52 57],[11.94029851 13.05970149] ; [52.05970149 56.94029851],0
