Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1.5e-05,18.798685,[12  1] ; [ 7 25],[5.48888889 7.51111111] ; [13.51111111 18.48888889],1
a5,1,0.000426,12.416602,[12  1] ; [11 21],[6.64444444 6.35555556] ; [16.35555556 15.64444444],1
d4,1,0.000426,12.416602,[12  1] ; [11 21],[6.64444444 6.35555556] ; [16.35555556 15.64444444],1
d5,1,0.000837,11.15728,[12  1] ; [12 20],[6.93333333 6.06666667] ; [17.06666667 14.93333333],1
a4,1,0.005246,7.79272,[8 4] ; [ 7 25],[4.09090909 7.90909091] ; [10.90909091 21.09090909],0
a2,1,0.033036,4.543929,[ 3 10] ; [ 1 31],[ 1.15555556 11.84444444] ; [ 2.84444444 29.15555556],0
a7,1,0.060135,3.533654,[8 5] ; [10 22],[5.2 7.8] ; [12.8 19.2],0
n4,1,0.071593,3.246125,[11  2] ; [18 14],[8.37777778 4.62222222] ; [20.62222222 11.37777778],0
d2,1,0.083551,2.994444,[8 4] ; [12 20],[5.45454545 6.54545455] ; [14.54545455 17.45454545],0
a3,1,0.121177,2.402041,[9 4] ; [14 18],[6.64444444 6.35555556] ; [16.35555556 15.64444444],0
n3,1,0.12707,2.327943,[1 5] ; [7 6],[2.52631579 3.47368421] ; [5.47368421 7.52631579],0
r4,1,0.135091,2.233001,[ 2 11] ; [ 1 31],[ 0.86666667 12.13333333] ; [ 2.13333333 29.86666667],0
v2,1,0.160952,1.965261,[4 9] ; [ 4 27],[ 2.36363636 10.63636364] ; [ 5.63636364 25.36363636],0
p6,1,0.160952,1.965261,[4 9] ; [ 4 27],[ 2.36363636 10.63636364] ; [ 5.63636364 25.36363636],0
n6,1,0.214044,1.54386,[7 5] ; [12 20],[5.18181818 6.81818182] ; [13.81818182 18.18181818],0
n2,1,0.215508,1.534035,[1 5] ; [6 7],[2.21052632 3.78947368] ; [4.78947368 8.21052632],0
p7,1,0.235446,1.407657,[ 3 10] ; [13 18],[4.72727273 8.27272727] ; [11.27272727 19.72727273],0
p2,1,0.239317,1.384615,[4 9] ; [16 16],[5.77777778 7.22222222] ; [14.22222222 17.77777778],0
p4,1,0.2449,1.352163,[6 7] ; [ 9 23],[4.33333333 8.66666667] ; [10.66666667 21.33333333],0
v3,1,0.259367,1.27213,[ 1 12] ; [ 7 25],[ 2.31111111 10.68888889] ; [ 5.68888889 26.31111111],0
s1,1,0.329096,0.952451,[ 2 11] ; [ 2 30],[ 1.15555556 11.84444444] ; [ 2.84444444 29.15555556],0
a1,1,0.353598,0.860505,[ 1 12] ; [ 6 26],[ 2.02222222 10.97777778] ; [ 4.97777778 27.02222222],0
u2,1,0.363722,0.825,[1 3] ; [9 9],[1.81818182 2.18181818] ; [8.18181818 9.81818182],0
a6,1,0.372449,0.795478,[8 5] ; [15 17],[6.64444444 6.35555556] ; [16.35555556 15.64444444],0
p3,1,0.379394,0.772665,[4 9] ; [ 6 26],[ 2.88888889 10.11111111] ; [ 7.11111111 24.88888889],0
s4,1,0.379394,0.772665,[4 9] ; [ 6 26],[ 2.88888889 10.11111111] ; [ 7.11111111 24.88888889],0
r2,1,0.429324,0.624651,[8 3] ; [19 13],[6.90697674 4.09302326] ; [20.09302326 11.90697674],0
s5,1,0.472714,0.515625,[3 9] ; [ 5 27],[2.18181818 9.81818182] ; [ 5.81818182 26.18181818],0
p5,1,0.516375,0.421127,[ 1 12] ; [ 1 30],[ 0.59090909 12.40909091] ; [ 1.40909091 29.59090909],0
s2,1,0.529183,0.39596,[4 9] ; [ 7 25],[3.17777778 9.82222222] ; [ 7.82222222 24.17777778],0
s8,1,0.560962,0.338041,[ 2 11] ; [ 3 29],[ 1.44444444 11.55555556] ; [ 3.55555556 28.44444444],0
p8,1,0.567109,0.327543,[4 9] ; [ 7 24],[3.25 9.75] ; [ 7.75 23.25],0
n5,1,0.583509,0.300596,[10  3] ; [22 10],[9.24444444 3.75555556] ; [22.75555556  9.24444444],0
s3,1,0.642053,0.216067,[ 3 10] ; [ 9 21],[3.62790698 9.37209302] ; [ 8.37209302 21.62790698],0
b5,1,0.671554,0.17979,[7 6] ; [15 17],[6.35555556 6.64444444] ; [15.64444444 16.35555556],0
b4,1,0.671554,0.17979,[7 6] ; [15 17],[6.35555556 6.64444444] ; [15.64444444 16.35555556],0
s7,1,0.683162,0.166588,[3 9] ; [ 6 25],[2.51162791 9.48837209] ; [ 6.48837209 24.51162791],0
u3,1,0.746188,0.104762,[1 3] ; [ 6 12],[1.27272727 2.72727273] ; [ 5.72727273 12.27272727],0
