Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3e-06,21.987347,[27  6] ; [32 61],[15.45238095 17.54761905] ; [43.54761905 49.45238095],1
s2,1,0.000319,12.95461,[21 12] ; [26 66],[12.408 20.592] ; [34.592 57.408],1
s3,1,0.001295,10.349462,[22 11] ; [32 61],[14.14285714 18.85714286] ; [39.85714286 53.14285714],0
p1,1,0.003385,8.587377,[ 6 26] ; [ 3 90],[ 2.304 29.696] ; [ 6.696 86.304],0
s4,1,0.003393,8.583053,[15 18] ; [18 75],[ 8.64285714 24.35714286] ; [24.35714286 68.64285714],0
b5,1,0.010374,6.569448,[14 19] ; [63 30],[20.16666667 12.83333333] ; [56.83333333 36.16666667],0
p3,1,0.011218,6.430502,[16 17] ; [23 70],[10.21428571 22.78571429] ; [28.78571429 64.21428571],0
d4,1,0.011352,6.409442,[29  4] ; [60 33],[23.30952381  9.69047619] ; [65.69047619 27.30952381],0
s7,1,0.018841,5.516234,[13 17] ; [19 70],[ 8.06722689 21.93277311] ; [23.93277311 65.06722689],0
p4,1,0.026225,4.941112,[18 15] ; [30 62],[12.672 20.328] ; [35.328 56.672],0
d1,1,0.027456,4.861909,[17 16] ; [28 65],[11.78571429 21.21428571] ; [33.21428571 59.78571429],0
v4,1,0.035192,4.43582,[31  1] ; [76 17],[27.392  4.608] ; [79.608 13.392],0
a4,1,0.044645,4.032009,[13 20] ; [20 73],[ 8.64285714 24.35714286] ; [24.35714286 68.64285714],0
r3,1,0.044656,4.031571,[31  2] ; [73 20],[27.23809524  5.76190476] ; [76.76190476 16.23809524],0
v1,1,0.0502,3.834778,[13 18] ; [22 71],[ 8.75 22.25] ; [26.25 66.75],0
r4,1,0.064733,3.411763,[27  6] ; [60 33],[22.78571429 10.21428571] ; [64.21428571 28.78571429],0
p10,1,0.08069,3.050951,[24  8] ; [53 39],[19.87096774 12.12903226] ; [57.12903226 34.87096774],0
d5,1,0.08193,3.026186,[24  9] ; [51 41],[19.8 13.2] ; [55.2 36.8],0
b1,1,0.089835,2.877322,[10 23] ; [44 49],[14.14285714 18.85714286] ; [39.85714286 53.14285714],0
d2,1,0.096236,2.766843,[16 17] ; [30 63],[12.04761905 20.95238095] ; [33.95238095 59.04761905],0
p5,1,0.101565,2.6808,[ 2 30] ; [ 1 91],[ 0.77419355 31.22580645] ; [ 2.22580645 89.77419355],0
s8,1,0.12183,2.393633,[12 21] ; [21 72],[ 8.64285714 24.35714286] ; [24.35714286 68.64285714],0
n5,1,0.124467,2.360192,[ 8 25] ; [36 56],[11.616 21.384] ; [32.384 59.616],0
p6,1,0.131589,2.273652,[10 22] ; [17 75],[ 6.96774194 25.03225806] ; [20.03225806 71.96774194],0
p9,1,0.164644,1.931042,[25  7] ; [59 32],[21.85365854 10.14634146] ; [62.14634146 28.85365854],0
a5,1,0.174074,1.847507,[18 15] ; [38 55],[14.66666667 18.33333333] ; [41.33333333 51.66666667],0
a1,1,0.174074,1.847507,[ 3 30] ; [ 3 90],[ 1.57142857 31.42857143] ; [ 4.42857143 88.57142857],0
v3,1,0.179823,1.799084,[ 5 27] ; [ 7 86],[ 3.072 28.928] ; [ 8.928 84.072],0
r2,1,0.195535,1.675415,[29  4] ; [72 21],[26.45238095  6.54761905] ; [74.54761905 18.45238095],0
p8,1,0.246159,1.344971,[16 17] ; [34 58],[13.2 19.8] ; [36.8 55.2],0
n1,1,0.263696,1.249249,[5 7] ; [10 30],[3.46153846 8.53846154] ; [11.53846154 28.46153846],0
