Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,5.7e-05,16.213107,[16  9] ; [23 79],[ 7.67716535 17.32283465] ; [31.32283465 70.67716535],1
s8,1,0.001014,10.801022,[13 15] ; [18 88],[ 6.47761194 21.52238806] ; [24.52238806 81.47761194],0
v2,1,0.001416,10.185031,[16 10] ; [29 74],[ 9.06976744 16.93023256] ; [35.93023256 67.06976744],0
p4,1,0.008152,6.999728,[16 12] ; [32 74],[10.02985075 17.97014925] ; [37.97014925 68.02985075],0
d5,1,0.01038,6.568497,[24  3] ; [67 39],[18.47368421  8.52631579] ; [72.52631579 33.47368421],0
s2,1,0.01103,6.460416,[16 12] ; [33 73],[10.23880597 17.76119403] ; [38.76119403 67.23880597],0
u2,1,0.021846,5.258015,[5 1] ; [14 27],[2.42553191 3.57446809] ; [16.57446809 24.42553191],0
r2,1,0.022995,5.168864,[25  2] ; [73 29],[20.51162791  6.48837209] ; [77.48837209 24.51162791],0
s5,1,0.028972,4.769254,[ 9 14] ; [19 85],[ 5.07086614 17.92913386] ; [22.92913386 81.07086614],0
a4,1,0.03018,4.699007,[15 13] ; [33 72],[10.10526316 17.89473684] ; [37.89473684 67.10526316],0
p2,1,0.033873,4.501102,[22  6] ; [60 46],[17.13432836 10.86567164] ; [64.86567164 41.13432836],0
v3,1,0.037373,4.333333,[10 16] ; [20 84],[ 6. 20.] ; [24. 80.],0
r3,1,0.06297,3.457369,[25  3] ; [76 29],[21.26315789  6.73684211] ; [79.73684211 25.26315789],0
p3,1,0.067631,3.339609,[13 15] ; [30 76],[ 8.98507463 19.01492537] ; [34.01492537 71.98507463],0
n1,1,0.070008,3.282828,[7 4] ; [13 26],[4.4 6.6] ; [15.6 23.4],0
u1,1,0.071998,3.236869,[ 4 24] ; [  5 101],[ 1.88059701 26.11940299] ; [ 7.11940299 98.88059701],0
a3,1,0.083106,3.003084,[22  6] ; [64 41],[18.10526316  9.89473684] ; [67.89473684 37.10526316],0
p7,1,0.091177,2.853477,[13 15] ; [31 74],[ 9.26315789 18.73684211] ; [34.73684211 70.26315789],0
a6,1,0.092837,2.824476,[20  8] ; [57 49],[16.08955224 11.91044776] ; [60.91044776 45.08955224],0
b2,1,0.133755,2.248372,[10  8] ; [23 41],[ 7.24390244 10.75609756] ; [25.75609756 38.24390244],0
b3,1,0.133755,2.248372,[10  8] ; [23 41],[ 7.24390244 10.75609756] ; [25.75609756 38.24390244],0
p9,1,0.144524,2.129115,[23  5] ; [68 32],[19.90625  8.09375] ; [71.09375 28.90625],0
v4,1,0.153286,2.039243,[24  4] ; [77 29],[21.10447761  6.89552239] ; [79.89552239 26.10447761],0
p1,1,0.187818,1.734654,[ 4 24] ; [ 7 99],[ 2.29850746 25.70149254] ; [ 8.70149254 97.29850746],0
p11,1,0.210992,1.564604,[19  9] ; [58 48],[16.08955224 11.91044776] ; [60.91044776 45.08955224],0
r4,1,0.235535,1.40712,[17 11] ; [51 55],[14.20895522 13.79104478] ; [53.79104478 52.20895522],0
d2,1,0.247296,1.338514,[15 13] ; [43 61],[12.3030303 15.6969697] ; [45.6969697 58.3030303],0
n4,1,0.282196,1.156483,[20  8] ; [64 42],[17.55223881 10.44776119] ; [66.44776119 39.55223881],0
s6,1,0.290096,1.119177,[14 13] ; [43 63],[11.57142857 15.42857143] ; [45.42857143 60.57142857],0
s1,1,0.292742,1.106968,[ 1 26] ; [  1 105],[ 0.40601504 26.59398496] ; [  1.59398496 104.40601504],0
s4,1,0.332667,0.938487,[ 7 21] ; [18 88],[ 5.2238806 22.7761194] ; [19.7761194 86.2238806],0
s3,1,0.34096,0.906818,[14 14] ; [42 63],[11.78947368 16.21052632] ; [44.21052632 60.78947368],0
n3,1,0.343939,0.895694,[9 3] ; [24 16],[7.61538462 4.38461538] ; [25.38461538 14.61538462],0
b1,1,0.347819,0.881397,[16 12] ; [50 56],[13.79104478 14.20895522] ; [52.20895522 53.79104478],0
d1,1,0.402772,0.700034,[13 15] ; [40 66],[11.07462687 16.92537313] ; [41.92537313 64.07462687],0
u3,1,0.424592,0.637571,[3 3] ; [14 28],[2.125 3.875] ; [14.875 27.125],0
v1,1,0.433037,0.614665,[11 16] ; [33 68],[ 9.28125 17.71875] ; [34.71875 66.28125],0
