Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,78.404615,[106   2] ; [17 31],[85.15384615 22.84615385] ; [37.84615385 10.15384615],1
v4,1,0.0,54.984535,[105   2] ; [24 24],[89.0516129 17.9483871] ; [39.9483871  8.0516129],1
r2,1,0.0,46.577923,[104   4] ; [24 23],[89.18709677 18.81290323] ; [38.81290323  8.18709677],1
r1,1,0.0,39.108333,[84 24] ; [12 36],[66.46153846 41.53846154] ; [29.53846154 18.46153846],1
p11,1,1e-06,23.327103,[87 21] ; [20 28],[74.07692308 33.92307692] ; [32.92307692 15.07692308],1
s6,1,4e-06,21.042758,[71 32] ; [14 34],[57.98013245 45.01986755] ; [27.01986755 20.98013245],1
s8,1,0.000184,13.987835,[49 58] ; [ 7 41],[38.65806452 68.34193548] ; [17.34193548 30.65806452],1
p6,1,0.000686,11.527069,[41 66] ; [ 5 41],[32.16993464 74.83006536] ; [13.83006536 32.16993464],1
p9,1,0.00157,9.995062,[82 26] ; [23 23],[73.63636364 34.36363636] ; [31.36363636 14.63636364],0
d5,1,0.001805,9.737799,[73 34] ; [20 28],[64.2 42.8] ; [28.8 19.2],0
s5,1,0.002726,8.982674,[40 63] ; [ 7 41],[32.05960265 70.94039735] ; [14.94039735 33.05960265],0
n6,1,0.003865,8.346359,[88 20] ; [28 19],[80.82580645 27.17419355] ; [35.17419355 11.82580645],0
p10,1,0.003904,8.328045,[75 32] ; [22 26],[66.96129032 40.03870968] ; [30.03870968 17.96129032],0
u3,1,0.006101,7.520283,[21 19] ; [ 4 19],[15.87301587 24.12698413] ; [ 9.12698413 13.87301587],0
n2,1,0.007441,7.163244,[27  7] ; [12 14],[22.1 11.9] ; [16.9  9.1],0
s3,1,0.008187,6.992048,[65 43] ; [17 29],[57.50649351 50.49350649] ; [24.49350649 21.50649351],0
d1,1,0.010495,6.548838,[48 60] ; [11 37],[40.84615385 67.15384615] ; [18.15384615 29.84615385],0
p7,1,0.012797,6.196964,[62 45] ; [17 30],[54.88961039 52.11038961] ; [24.11038961 22.88961039],0
p8,1,0.013995,6.038764,[47 61] ; [11 37],[40.15384615 67.84615385] ; [17.84615385 30.15384615],0
a5,1,0.035762,4.408431,[71 37] ; [23 25],[65.07692308 42.92307692] ; [28.92307692 19.07692308],0
a4,1,0.038606,4.278141,[51 56] ; [14 33],[45.16233766 61.83766234] ; [19.83766234 27.16233766],0
p2,1,0.042613,4.110682,[79 29] ; [26 20],[73.63636364 34.36363636] ; [31.36363636 14.63636364],0
p5,1,0.057065,3.620697,[16 91] ; [ 2 45],[12.50649351 94.49350649] ; [ 5.49350649 41.50649351],0
a1,1,0.076363,3.140648,[  5 103] ; [ 6 42],[  7.61538462 100.38461538] ; [ 3.38461538 44.61538462],0
u2,1,0.089713,2.879511,[21 19] ; [ 7 16],[17.77777778 22.22222222] ; [10.22222222 12.77777778],0
n3,1,0.093601,2.811324,[20 11] ; [11 15],[16.85964912 14.14035088] ; [14.14035088 11.85964912],0
p3,1,0.107736,2.587128,[47 61] ; [14 33],[42.50322581 65.49677419] ; [18.49677419 28.50322581],0
a8,1,0.113421,2.505898,[13 88] ; [ 2 44],[10.30612245 90.69387755] ; [ 4.69387755 41.30612245],0
d3,1,0.130397,2.287767,[50 58] ; [16 32],[45.69230769 62.30769231] ; [20.30769231 27.69230769],0
s2,1,0.155005,2.022291,[44 63] ; [14 34],[40.03870968 66.96129032] ; [17.96129032 30.03870968],0
b1,1,0.156918,2.003676,[52 56] ; [29 19],[56.07692308 51.92307692] ; [24.92307692 23.07692308],0
s7,1,0.157737,1.995784,[50 54] ; [16 29],[46.06711409 57.93288591] ; [19.93288591 25.06711409],0
v1,1,0.172857,1.857989,[39 67] ; [12 35],[35.33333333 70.66666667] ; [15.66666667 31.33333333],0
d4,1,0.185871,1.750046,[72 35] ; [27 21],[68.34193548 38.65806452] ; [30.65806452 17.34193548],0
u1,1,0.188069,1.732678,[  8 100] ; [ 1 47],[  6.23076923 101.76923077] ; [ 2.76923077 45.23076923],0
p4,1,0.199241,1.647933,[52 55] ; [18 30],[48.32258065 58.67741935] ; [21.67741935 26.32258065],0
a2,1,0.209373,1.575758,[11 97] ; [ 2 46],[ 9. 99.] ; [ 4. 44.],0
v3,1,0.237434,1.395762,[24 81] ; [ 7 41],[21.2745098 83.7254902] ; [ 9.7254902 38.2745098],0
p12,1,0.246019,1.345768,[  7 100] ; [ 1 47],[  5.52258065 101.47741935] ; [ 2.47741935 45.52258065],0
a3,1,0.253691,1.302863,[68 40] ; [25 22],[64.8 43.2] ; [28.2 18.8],0
d2,1,0.387533,0.746668,[49 58] ; [18 29],[46.55194805 60.44805195] ; [20.44805195 26.55194805],0
n4,1,0.401779,0.702996,[77 31] ; [31 17],[74.76923077 33.23076923] ; [33.23076923 14.76923077],0
b5,1,0.55708,0.344786,[55 53] ; [22 26],[53.30769231 54.69230769] ; [23.69230769 24.30769231],0
b4,1,0.592746,0.286076,[59 49] ; [24 24],[57.46153846 50.53846154] ; [25.53846154 22.46153846],0
n5,1,0.607751,0.263464,[80 27] ; [34 14],[78.69677419 28.30322581] ; [35.30322581 12.69677419],0
p1,1,0.668482,0.183383,[11 97] ; [ 6 42],[11.76923077 96.23076923] ; [ 5.23076923 42.76923077],0
a6,1,0.724939,0.12381,[46 62] ; [19 29],[45. 63.] ; [20. 28.],0
n1,1,0.773091,0.083137,[13 21] ; [ 9 17],[12.46666667 21.53333333] ; [ 9.53333333 16.46666667],0
b2,1,0.77426,0.082258,[26 42] ; [14 20],[26.66666667 41.33333333] ; [13.33333333 20.66666667],0
b3,1,0.77426,0.082258,[26 42] ; [14 20],[26.66666667 41.33333333] ; [13.33333333 20.66666667],0
s1,1,0.945442,0.004683,[  7 100] ; [ 3 45],[  6.90322581 100.09677419] ; [ 3.09677419 44.90322581],0
s4,1,0.94657,0.004491,[24 83] ; [11 37],[24.16129032 82.83870968] ; [10.83870968 37.16129032],0
