Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-05,17.422365,[48 54] ; [27  3],[57.95454545 44.04545455] ; [17.04545455 12.95454545],1
s2,1,0.006361,7.445107,[33 73] ; [18 13],[39.45985401 66.54014599] ; [11.54014599 19.45985401],0
p8,1,0.009606,6.706588,[37 68] ; [19 12],[43.23529412 61.76470588] ; [12.76470588 18.23529412],0
p12,1,0.011063,6.455133,[  1 105] ; [ 3 28],[  3.09489051 102.90510949] ; [ 0.90510949 30.09489051],0
b1,1,0.011477,6.389998,[38 68] ; [19 12],[44.10218978 61.89781022] ; [12.89781022 18.10218978],0
v3,1,0.021283,5.303499,[27 75] ; [ 2 28],[22.40909091 79.59090909] ; [ 6.59090909 23.40909091],0
p5,1,0.027238,4.875686,[  3 101] ; [ 4 27],[ 5.39259259 98.60740741] ; [ 1.60740741 29.39259259],0
a8,1,0.031447,4.6284,[ 5 94] ; [ 5 24],[ 7.734375 91.265625] ; [ 2.265625 26.734375],0
b5,1,0.039104,4.256361,[53 53] ; [22  9],[58.02919708 47.97080292] ; [16.97080292 14.02919708],0
p3,1,0.058865,3.569064,[26 80] ; [13 18],[30.17518248 75.82481752] ; [ 8.82481752 22.17518248],0
a5,1,0.072828,3.218095,[50 56] ; [ 9 22],[45.64963504 60.35036496] ; [13.35036496 17.64963504],0
p4,1,0.07857,3.094246,[39 66] ; [17 14],[43.23529412 61.76470588] ; [12.76470588 18.23529412],0
u2,1,0.086042,2.946911,[22 29] ; [12  6],[25.13043478 25.86956522] ; [8.86956522 9.13043478],0
n1,1,0.100235,2.701793,[ 7 31] ; [5 7],[ 9.12 28.88] ; [2.88 9.12],0
a1,1,0.101277,2.685317,[  3 103] ; [ 3 28],[  4.64233577 101.35766423] ; [ 1.35766423 29.64233577],0
a7,1,0.117525,2.449995,[61 45] ; [22  8],[64.69117647 41.30882353] ; [18.30882353 11.69117647],0
s4,1,0.145157,2.122424,[21 85] ; [10 21],[23.98540146 82.01459854] ; [ 7.01459854 23.98540146],0
p2,1,0.218127,1.516654,[69 36] ; [24  7],[71.80147059 33.19852941] ; [21.19852941  9.80147059],0
b4,1,0.222961,1.485213,[61 45] ; [14 17],[58.02919708 47.97080292] ; [16.97080292 14.02919708],0
s7,1,0.263488,1.250339,[26 77] ; [11 20],[28.44029851 74.55970149] ; [ 8.55970149 22.44029851],0
b2,1,0.295332,1.095156,[ 8 38] ; [ 5 12],[ 9.49206349 36.50793651] ; [ 3.50793651 13.49206349],0
b3,1,0.295332,1.095156,[ 8 38] ; [ 5 12],[ 9.49206349 36.50793651] ; [ 3.50793651 13.49206349],0
p9,1,0.300792,1.070681,[77 27] ; [20 11],[74.72592593 29.27407407] ; [22.27407407  8.72592593],0
r3,1,0.320766,0.985821,[88 18] ; [28  3],[89.75182482 16.24817518] ; [26.24817518  4.75182482],0
a4,1,0.33185,0.941664,[19 87] ; [ 8 23],[20.89051095 85.10948905] ; [ 6.10948905 24.89051095],0
p11,1,0.373837,0.790872,[66 40] ; [22  9],[68.08759124 37.91240876] ; [19.91240876 11.08759124],0
r1,1,0.383843,0.758356,[64 42] ; [16 15],[61.89781022 44.10218978] ; [18.10218978 12.89781022],0
a3,1,0.403142,0.698933,[53 52] ; [13 18],[50.95588235 54.04411765] ; [15.04411765 15.95588235],0
v1,1,0.416096,0.661316,[40 65] ; [ 9 21],[38.11111111 66.88888889] ; [10.88888889 19.11111111],0
p1,1,0.474349,0.511828,[ 7 98] ; [ 1 30],[ 6.17647059 98.82352941] ; [ 1.82352941 29.17647059],0
d3,1,0.514235,0.42544,[44 62] ; [14 15],[45.54074074 60.45925926] ; [12.45925926 16.54074074],0
