Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2.9e-05,17.50926,[2 9] ; [32  6],[7.63265306 3.36734694] ; [26.36734694 11.63265306],1
s7,1,0.004966,7.891835,[2 8] ; [25 11],[5.86956522 4.13043478] ; [21.13043478 14.86956522],0
n6,1,0.005588,7.678684,[7 4] ; [36  2],[9.65306122 1.34693878] ; [33.34693878  4.65306122],0
d4,1,0.043081,4.092214,[9 2] ; [18 20],[6.06122449 4.93877551] ; [20.93877551 17.06122449],0
a1,1,0.058165,3.58895,[2 9] ; [ 1 37],[ 0.67346939 10.32653061] ; [ 2.32653061 35.67346939],0
b1,1,0.060395,3.526515,[2 9] ; [19 19],[4.71428571 6.28571429] ; [16.28571429 21.71428571],0
p8,1,0.063166,3.452253,[4 7] ; [25 12],[6.64583333 4.35416667] ; [22.35416667 14.64583333],0
p6,1,0.154664,2.025638,[2 8] ; [17 21],[3.95833333 6.04166667] ; [15.04166667 22.95833333],0
r2,1,0.168185,1.899043,[9 2] ; [36  2],[10.10204082  0.89795918] ; [34.89795918  3.10204082],0
b5,1,0.182018,1.781068,[8 3] ; [19 19],[6.06122449 4.93877551] ; [20.93877551 17.06122449],0
p3,1,0.269491,1.219334,[7 4] ; [17 21],[5.3877551 5.6122449] ; [18.6122449 19.3877551],0
p1,1,0.290253,1.118446,[ 1 10] ; [ 9 29],[2.24489796 8.75510204] ; [ 7.75510204 30.24489796],0
a6,1,0.292786,1.106765,[5 6] ; [24 14],[6.51020408 4.48979592] ; [22.48979592 15.51020408],0
d2,1,0.309734,1.031809,[2 9] ; [13 25],[3.36734694 7.63265306] ; [11.63265306 26.36734694],0
p11,1,0.366922,0.814062,[10  1] ; [30  8],[8.97959184 2.02040816] ; [31.02040816  6.97959184],0
a4,1,0.366922,0.814062,[ 1 10] ; [ 8 30],[2.02040816 8.97959184] ; [ 6.97959184 31.02040816],0
s2,1,0.394542,0.724898,[6 5] ; [26 12],[7.18367347 3.81632653] ; [24.81632653 13.18367347],0
v3,1,0.459785,0.546419,[3 8] ; [15 23],[4.04081633 6.95918367] ; [13.95918367 24.04081633],0
u2,1,0.472607,0.515873,[4 2] ; [10 10],[3.23076923 2.76923077] ; [10.76923077  9.23076923],0
s4,1,0.476343,0.507223,[2 9] ; [11 27],[2.91836735 8.08163265] ; [10.08163265 27.91836735],0
v1,1,0.486126,0.485089,[3 7] ; [16 22],[3.95833333 6.04166667] ; [15.04166667 22.95833333],0
a5,1,0.495729,0.464068,[6 5] ; [25 13],[6.95918367 4.04081633] ; [24.04081633 13.95918367],0
p10,1,0.549188,0.358774,[8 3] ; [30  7],[8.70833333 2.29166667] ; [29.29166667  7.70833333],0
p9,1,0.55662,0.34559,[10  1] ; [31  6],[9.39583333 1.60416667] ; [31.60416667  5.39583333],0
b4,1,0.557084,0.344779,[8 3] ; [24 14],[7.18367347 3.81632653] ; [24.81632653 13.18367347],0
v2,1,0.573798,0.316368,[4 7] ; [17 20],[4.8125 6.1875] ; [16.1875 20.8125],0
p5,1,0.580636,0.305207,[2 9] ; [10 28],[2.69387755 8.30612245] ; [ 9.30612245 28.69387755],0
d3,1,0.605667,0.266532,[5 6] ; [14 24],[4.26530612 6.73469388] ; [14.73469388 23.26530612],0
u3,1,0.663674,0.189091,[3 3] ; [12  8],[3.46153846 2.53846154] ; [11.53846154  8.46153846],0
b2,1,0.675422,0.175325,[2 4] ; [ 9 12],[2.44444444 3.55555556] ; [ 8.55555556 12.44444444],0
b3,1,0.675422,0.175325,[2 4] ; [ 9 12],[2.44444444 3.55555556] ; [ 8.55555556 12.44444444],0
s8,1,0.684494,0.165111,[4 7] ; [16 21],[4.58333333 6.41666667] ; [15.41666667 21.58333333],0
s6,1,0.700122,0.148345,[9 2] ; [32  5],[9.39583333 1.60416667] ; [31.60416667  5.39583333],0
p4,1,0.731284,0.117936,[6 5] ; [18 19],[5.5 5.5] ; [18.5 18.5],0
p7,1,0.7657,0.088807,[7 4] ; [26 12],[7.40816327 3.59183673] ; [25.59183673 12.40816327],0
p2,1,0.80744,0.059405,[8 3] ; [29  9],[8.30612245 2.69387755] ; [28.69387755  9.30612245],0
r1,1,0.80744,0.059405,[8 3] ; [29  9],[8.30612245 2.69387755] ; [28.69387755  9.30612245],0
p12,1,0.850055,0.035739,[2 9] ; [ 6 32],[1.79591837 9.20408163] ; [ 6.20408163 31.79591837],0
a3,1,0.882172,0.021968,[5 5] ; [18 20],[4.79166667 5.20833333] ; [18.20833333 19.79166667],0
a7,1,0.894893,0.017454,[7 4] ; [25 13],[7.18367347 3.81632653] ; [24.81632653 13.18367347],0
d1,1,0.898467,0.016281,[ 1 10] ; [ 3 35],[ 0.89795918 10.10204082] ; [ 3.10204082 34.89795918],0
r4,1,0.898467,0.016281,[10  1] ; [35  3],[10.10204082  0.89795918] ; [34.89795918  3.10204082],0
a2,1,0.898467,0.016281,[ 1 10] ; [ 3 35],[ 0.89795918 10.10204082] ; [ 3.10204082 34.89795918],0
s3,1,0.940376,0.005595,[7 4] ; [24 13],[7.10416667 3.89583333] ; [23.89583333 13.10416667],0
