Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.001002,10.823933,[43 17] ; [ 3 10],[37.80821918 22.19178082] ; [8.19178082 4.80821918],0
a6,1,0.002086,9.47238,[45 15] ; [4 9],[40.2739726 19.7260274] ; [8.7260274 4.2739726],0
v4,1,0.00466,8.006785,[56  3] ; [9 4],[53.26388889  5.73611111] ; [11.73611111  1.26388889],0
d3,1,0.005243,7.793605,[43 17] ; [4 9],[38.63013699 21.36986301] ; [8.36986301 4.63013699],0
n4,1,0.006953,7.285104,[34 26] ; [ 2 11],[29.5890411 30.4109589] ; [6.4109589 6.5890411],0
p11,1,0.010139,6.610284,[45 15] ; [5 8],[41.09589041 18.90410959] ; [8.90410959 4.09589041],0
p10,1,0.015245,5.887877,[44 16] ; [5 8],[40.2739726 19.7260274] ; [8.7260274 4.2739726],0
p9,1,0.018349,5.562498,[47 13] ; [6 7],[43.56164384 16.43835616] ; [9.43835616 3.56164384],0
s1,1,0.069014,3.306329,[ 2 57] ; [ 2 10],[ 3.32394366 55.67605634] ; [ 0.67605634 11.32394366],0
r1,1,0.07407,3.190444,[46 13] ; [7 6],[43.43055556 15.56944444] ; [9.56944444 3.43055556],0
p3,1,0.090172,2.871305,[34 26] ; [4 9],[31.23287671 28.76712329] ; [6.76712329 6.23287671],0
v1,1,0.108037,2.582705,[28 31] ; [ 3 10],[25.40277778 33.59722222] ; [5.59722222 7.40277778],0
s7,1,0.111577,2.531739,[23 33] ; [ 2 10],[20.58823529 35.41176471] ; [4.41176471 7.58823529],0
d1,1,0.113137,2.509849,[33 27] ; [4 9],[30.4109589 29.5890411] ; [6.5890411 6.4109589],0
b5,1,0.124889,2.354911,[37 23] ; [5 8],[34.52054795 25.47945205] ; [7.47945205 5.52054795],0
u3,1,0.12706,2.328061,[17  3] ; [4 3],[15.55555556  4.44444444] ; [5.44444444 1.55555556],0
s8,1,0.176008,1.831014,[26 34] ; [ 3 10],[23.83561644 36.16438356] ; [5.16438356 7.83561644],0
r4,1,0.177876,1.815281,[51  9] ; [9 4],[49.31506849 10.68493151] ; [10.68493151  2.31506849],0
d4,1,0.202769,1.622317,[47 13] ; [8 5],[45.20547945 14.79452055] ; [9.79452055 3.20547945],0
a3,1,0.205187,1.605064,[39 21] ; [6 7],[36.98630137 23.01369863] ; [8.01369863 4.98630137],0
n2,1,0.205903,1.6,[16  4] ; [2 2],[15.  5.] ; [3. 1.],0
r2,1,0.28996,1.119805,[52  7] ; [10  3],[50.80555556  8.19444444] ; [11.19444444  1.80555556],0
p7,1,0.296676,1.089076,[44 16] ; [7 5],[42.5 17.5] ; [8.5 3.5],0
d5,1,0.314384,1.012168,[49 11] ; [9 4],[47.67123288 12.32876712] ; [10.32876712  2.67123288],0
s6,1,0.318311,0.995873,[41 19] ; [7 6],[39.45205479 20.54794521] ; [8.54794521 4.45205479],0
n5,1,0.323,0.976759,[27 32] ; [4 9],[25.40277778 33.59722222] ; [5.59722222 7.40277778],0
p8,1,0.3411,0.906294,[34 26] ; [5 7],[32.5 27.5] ; [6.5 5.5],0
s4,1,0.347985,0.880792,[11 49] ; [ 1 12],[ 9.8630137 50.1369863] ; [ 2.1369863 10.8630137],0
a5,1,0.394376,0.725406,[44 16] ; [8 5],[42.73972603 17.26027397] ; [9.26027397 3.73972603],0
p6,1,0.438383,0.600511,[22 38] ; [3 9],[20.83333333 39.16666667] ; [4.16666667 7.83333333],0
d2,1,0.466638,0.529926,[25 35] ; [4 9],[23.83561644 36.16438356] ; [5.16438356 7.83561644],0
a4,1,0.466638,0.529926,[25 35] ; [4 9],[23.83561644 36.16438356] ; [5.16438356 7.83561644],0
a1,1,0.472901,0.515189,[ 2 58] ; [ 1 12],[ 2.46575342 57.53424658] ; [ 0.53424658 12.46575342],0
n1,1,0.483578,0.490783,[ 9 11] ; [2 1],[ 9.56521739 10.43478261] ; [1.43478261 1.56521739],0
b4,1,0.489902,0.47674,[34 26] ; [6 7],[32.87671233 27.12328767] ; [7.12328767 5.87671233],0
s2,1,0.555667,0.347262,[28 31] ; [5 8],[27.04166667 31.95833333] ; [5.95833333 7.04166667],0
s3,1,0.55569,0.347222,[32 26] ; [6 7],[31.04225352 26.95774648] ; [6.95774648 6.04225352],0
u2,1,0.594853,0.282828,[17  4] ; [5 2],[16.5  4.5] ; [5.5 1.5],0
s5,1,0.607087,0.264438,[15 44] ; [2 9],[14.32857143 44.67142857] ; [2.67142857 8.32857143],0
b3,1,0.613505,0.255102,[12 30] ; [3 5],[12.6 29.4] ; [2.4 5.6],0
b2,1,0.613505,0.255102,[12 30] ; [3 5],[12.6 29.4] ; [2.4 5.6],0
r3,1,0.698975,0.14954,[57  3] ; [12  1],[56.71232877  3.28767123] ; [12.28767123  0.71232877],0
v2,1,0.763746,0.090339,[30 26] ; [7 5],[30.47058824 25.52941176] ; [6.52941176 5.47058824],0
b1,1,0.918145,0.010562,[36 24] ; [8 5],[36.16438356 23.83561644] ; [7.83561644 5.16438356],0
v3,1,0.930381,0.007633,[16 40] ; [3 8],[15.88059701 40.11940299] ; [3.11940299 7.88059701],0
p1,1,0.939188,0.00582,[ 5 55] ; [ 1 12],[ 4.93150685 55.06849315] ; [ 1.06849315 11.93150685],0
a8,1,1.0,0.0,[ 4 48] ; [ 1 12],[ 4. 48.] ; [ 1. 12.],0
n3,1,1.0,0.0,[15  5] ; [3 1],[15.  5.] ; [3. 1.],0
