Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.2e-05,19.118544,[1 6] ; [50  8],[5.49230769 1.50769231] ; [45.50769231 12.49230769],1
s4,1,0.001188,10.508285,[4 3] ; [ 6 52],[1.07692308 5.92307692] ; [ 8.92307692 49.07692308],0
r2,1,0.003991,8.288123,[4 2] ; [56  2],[5.625 0.375] ; [54.375  3.625],0
p10,1,0.00648,7.411765,[3 4] ; [48  8],[5.66666667 1.33333333] ; [45.33333333 10.66666667],0
r1,1,0.013609,6.088191,[2 5] ; [43 15],[4.84615385 2.15384615] ; [40.15384615 17.84615385],0
p11,1,0.034435,4.472957,[3 4] ; [46 12],[5.27692308 1.72307692] ; [43.72307692 14.27692308],0
v4,1,0.064842,3.408982,[5 2] ; [53  4],[6.34375 0.65625] ; [51.65625  5.34375],0
d4,1,0.109489,2.561576,[4 3] ; [48 10],[5.6 1.4] ; [46.4 11.6],0
p6,1,0.146298,2.110437,[4 3] ; [17 40],[2.296875 4.703125] ; [18.703125 38.296875],0
d5,1,0.146298,2.110437,[3 4] ; [40 17],[4.703125 2.296875] ; [38.296875 18.703125],0
n1,1,0.170904,1.875,[2 1] ; [3 9],[1. 2.] ; [4. 8.],0
v2,1,0.180954,1.789773,[2 5] ; [31 25],[3.66666667 3.33333333] ; [29.33333333 26.66666667],0
p9,1,0.198714,1.651803,[4 3] ; [45 12],[5.359375 1.640625] ; [43.640625 13.359375],0
a3,1,0.202486,1.624354,[3 4] ; [39 19],[4.52307692 2.47692308] ; [37.47692308 20.52307692],0
d3,1,0.205841,1.600438,[6 1] ; [35 22],[4.484375 2.515625] ; [36.515625 20.484375],0
u2,1,0.231289,1.432915,[1 3] ; [11  8],[2.08695652 1.91304348] ; [9.91304348 9.08695652],0
b5,1,0.247102,1.339612,[5 2] ; [28 30],[3.55384615 3.44615385] ; [29.44615385 28.55384615],0
s1,1,0.343249,0.898258,[1 6] ; [ 3 55],[0.43076923 6.56923077] ; [ 3.56923077 54.43076923],0
s3,1,0.357397,0.84702,[6 1] ; [40 18],[4.95384615 2.04615385] ; [41.04615385 16.95384615],0
a7,1,0.358298,0.843849,[4 3] ; [42 15],[5.03125 1.96875] ; [40.96875 16.03125],0
n6,1,0.358298,0.843849,[4 3] ; [42 15],[5.03125 1.96875] ; [40.96875 16.03125],0
b1,1,0.426266,0.632976,[4 3] ; [24 34],[3.01538462 3.98461538] ; [24.98461538 33.01538462],0
d2,1,0.461118,0.54318,[2 5] ; [25 33],[2.90769231 4.09230769] ; [24.09230769 33.90769231],0
n5,1,0.463218,0.538109,[4 3] ; [41 17],[4.84615385 2.15384615] ; [40.15384615 17.84615385],0
p3,1,0.473289,0.514286,[4 3] ; [24 32],[3.11111111 3.88888889] ; [24.88888889 31.11111111],0
p7,1,0.491171,0.473961,[3 3] ; [36 20],[3.77419355 2.22580645] ; [35.22580645 20.77419355],0
p4,1,0.505242,0.443908,[4 3] ; [25 32],[3.171875 3.828125] ; [25.828125 31.171875],0
v3,1,0.511368,0.431267,[2 5] ; [22 31],[2.8 4.2] ; [21.2 31.8],0
b4,1,0.536969,0.381187,[3 4] ; [32 26],[3.76923077 3.23076923] ; [31.23076923 26.76923077],0
p2,1,0.659735,0.193846,[6 1] ; [44 12],[5.55555556 1.44444444] ; [44.44444444 11.55555556],0
s8,1,0.661598,0.191588,[3 4] ; [20 38],[2.47692308 4.52307692] ; [20.52307692 37.47692308],0
a4,1,0.661598,0.191588,[3 4] ; [20 38],[2.47692308 4.52307692] ; [20.52307692 37.47692308],0
n2,1,0.711531,0.136752,[2 1] ; [10  3],[2.25 0.75] ; [9.75 3.25],0
d1,1,0.721036,0.127503,[3 4] ; [29 29],[3.44615385 3.55384615] ; [28.55384615 29.44615385],0
v1,1,0.721546,0.127016,[4 3] ; [28 28],[3.55555556 3.44444444] ; [28.44444444 27.55555556],0
a5,1,0.730547,0.11861,[4 3] ; [37 21],[4.41538462 2.58461538] ; [36.58461538 21.41538462],0
s7,1,0.737348,0.112472,[3 3] ; [24 32],[2.61290323 3.38709677] ; [24.38709677 31.61290323],0
u3,1,0.772205,0.083806,[2 2] ; [11  8],[2.26086957 1.73913043] ; [10.73913043  8.26086957],0
a6,1,0.800222,0.064039,[4 3] ; [36 22],[4.30769231 2.69230769] ; [35.69230769 22.30769231],0
u1,1,0.843822,0.038812,[1 6] ; [10 48],[1.18461538 5.81538462] ; [ 9.81538462 48.18461538],0
b3,1,0.86322,0.029679,[2 2] ; [15 18],[1.83783784 2.16216216] ; [15.16216216 17.83783784],0
b2,1,0.86322,0.029679,[2 2] ; [15 18],[1.83783784 2.16216216] ; [15.16216216 17.83783784],0
p8,1,0.898611,0.016235,[3 4] ; [23 34],[2.84375 4.15625] ; [23.15625 33.84375],0
n4,1,0.956118,0.003028,[5 2] ; [42 16],[5.06153846 1.93846154] ; [41.93846154 16.06153846],0
a2,1,0.971565,0.001271,[1 6] ; [ 8 50],[0.96923077 6.03076923] ; [ 8.03076923 49.96923077],0
