Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,33.91376,[3 5] ; [86  3],[7.34020619 0.65979381] ; [81.65979381  7.34020619],1
r4,1,0.001409,10.193704,[3 5] ; [75 14],[6.43298969 1.56701031] ; [71.56701031 17.43298969],0
p11,1,0.008331,6.960871,[2 6] ; [63 26],[5.36082474 2.63917526] ; [59.63917526 29.36082474],0
r2,1,0.008814,6.860042,[5 3] ; [81  7],[7.16666667 0.83333333] ; [78.83333333  9.16666667],0
p9,1,0.019863,5.423935,[3 5] ; [66 21],[5.81052632 2.18947368] ; [63.18947368 23.81052632],0
s3,1,0.033645,4.512657,[1 7] ; [46 43],[3.87628866 4.12371134] ; [43.12371134 45.87628866],0
n6,1,0.053789,3.71925,[2 6] ; [53 35],[4.58333333 3.41666667] ; [50.41666667 37.58333333],0
s1,1,0.072138,3.233691,[2 6] ; [ 6 83],[0.65979381 7.34020619] ; [ 7.34020619 81.65979381],0
p2,1,0.106798,2.600973,[4 4] ; [67 21],[5.91666667 2.08333333] ; [65.08333333 22.91666667],0
v2,1,0.128892,2.305799,[3 5] ; [55 30],[4.98924731 3.01075269] ; [53.01075269 31.98924731],0
p10,1,0.161366,1.961378,[3 5] ; [54 32],[4.85106383 3.14893617] ; [52.14893617 33.85106383],0
a3,1,0.179834,1.798998,[7 1] ; [57 32],[5.27835052 2.72164948] ; [58.72164948 30.27835052],0
b1,1,0.202151,1.626765,[5 3] ; [35 54],[3.29896907 4.70103093] ; [36.70103093 52.29896907],0
s2,1,0.216752,1.525747,[2 6] ; [42 46],[3.66666667 4.33333333] ; [40.33333333 47.66666667],0
p6,1,0.241076,1.374289,[1 7] ; [27 56],[2.46153846 5.53846154] ; [25.53846154 57.46153846],0
d5,1,0.255786,1.291425,[5 3] ; [71 18],[6.26804124 1.73195876] ; [69.73195876 19.26804124],0
b5,1,0.319293,0.991839,[4 4] ; [60 29],[5.27835052 2.72164948] ; [58.72164948 30.27835052],0
n4,1,0.330068,0.948632,[2 6] ; [38 51],[3.29896907 4.70103093] ; [36.70103093 52.29896907],0
r1,1,0.338414,0.916431,[5 3] ; [69 20],[6.10309278 1.89690722] ; [67.89690722 21.10309278],0
d4,1,0.436098,0.606527,[6 2] ; [76 13],[6.7628866 1.2371134] ; [75.2371134 13.7628866],0
d1,1,0.44208,0.590877,[3 5] ; [46 43],[4.04123711 3.95876289] ; [44.95876289 44.04123711],0
s7,1,0.476586,0.506665,[2 5] ; [36 49],[2.89130435 4.10869565] ; [35.10869565 49.89130435],0
s6,1,0.492859,0.470279,[4 4] ; [53 32],[4.90322581 3.09677419] ; [52.09677419 32.90322581],0
s4,1,0.498605,0.457904,[2 6] ; [14 75],[1.31958763 6.68041237] ; [14.68041237 74.31958763],0
a6,1,0.512598,0.42876,[4 4] ; [55 34],[4.86597938 3.13402062] ; [54.13402062 34.86597938],0
v3,1,0.554819,0.348754,[4 4] ; [33 51],[3.2173913 4.7826087] ; [33.7826087 50.2173913],0
p7,1,0.559117,0.341236,[3 5] ; [42 45],[3.78947368 4.21052632] ; [41.21052632 45.78947368],0
b3,1,0.567708,0.326532,[2 4] ; [21 25],[2.65384615 3.34615385] ; [20.34615385 25.65384615],0
b2,1,0.567708,0.326532,[2 4] ; [21 25],[2.65384615 3.34615385] ; [20.34615385 25.65384615],0
a7,1,0.573692,0.316544,[5 3] ; [64 25],[5.69072165 2.30927835] ; [63.30927835 25.69072165],0
a2,1,0.624557,0.239515,[2 6] ; [16 73],[1.48453608 6.51546392] ; [16.51546392 72.48453608],0
p3,1,0.636496,0.223354,[4 4] ; [36 51],[3.36842105 4.63157895] ; [36.63157895 50.36842105],0
p8,1,0.663217,0.189639,[4 4] ; [37 51],[3.41666667 4.58333333] ; [37.58333333 50.41666667],0
a5,1,0.704904,0.143421,[6 2] ; [61 28],[5.5257732 2.4742268] ; [61.4742268 27.5257732],0
p4,1,0.709749,0.138528,[3 5] ; [39 49],[3.5 4.5] ; [38.5 49.5],0
d3,1,0.752119,0.099759,[6 2] ; [62 27],[5.60824742 2.39175258] ; [62.39175258 26.60824742],0
n2,1,0.846788,0.037333,[2 1] ; [18  7],[2.14285714 0.85714286] ; [17.85714286  7.14285714],0
b4,1,0.870539,0.026561,[5 3] ; [53 36],[4.78350515 3.21649485] ; [53.21649485 35.78350515],0
a4,1,0.878864,0.023229,[4 4] ; [42 47],[3.79381443 4.20618557] ; [42.20618557 46.79381443],0
d2,1,0.919282,0.010269,[3 5] ; [35 54],[3.13402062 4.86597938] ; [34.86597938 54.13402062],0
p1,1,0.923034,0.009334,[1 7] ; [10 78],[0.91666667 7.08333333] ; [10.08333333 77.91666667],0
n1,1,0.927426,0.008296,[1 2] ; [ 9 16],[1.07142857 1.92857143] ; [ 8.92857143 16.07142857],0
