Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,47.590435,[105  50] ; [ 4 40],[84.89949749 70.10050251] ; [24.10050251 19.89949749],1
v4,1,0.0,25.405681,[137  18] ; [24 20],[125.40201005  29.59798995] ; [35.59798995  8.40201005],1
p10,1,0.000365,12.703023,[109  44] ; [18 25],[99.1377551 53.8622449] ; [27.8622449 15.1377551],1
r3,1,0.006726,7.344597,[130  25] ; [28 15],[123.68686869  31.31313131] ; [34.31313131  8.68686869],0
p9,1,0.010682,6.517504,[117  35] ; [24 18],[110.4742268  41.5257732] ; [30.5257732 11.4742268],0
a3,1,0.011199,6.433405,[96 58] ; [18 26],[88.66666667 65.33333333] ; [25.33333333 18.66666667],0
n6,1,0.01521,5.891963,[120  35] ; [26 18],[113.71859296  41.28140704] ; [32.28140704 11.71859296],0
d5,1,0.017016,5.69477,[110  44] ; [23 21],[103.44444444  50.55555556] ; [29.55555556 14.44444444],0
v3,1,0.017895,5.606434,[ 48 103] ; [ 6 38],[ 41.81538462 109.18461538] ; [12.18461538 31.81538462],0
s7,1,0.01991,5.419731,[54 95] ; [ 7 34],[ 47.83684211 101.16315789] ; [13.16315789 27.83684211],0
d1,1,0.020319,5.384289,[65 90] ; [10 34],[58.41708543 96.58291457] ; [16.58291457 27.41708543],0
u3,1,0.028378,4.804941,[26 33] ; [ 5 21],[21.51764706 37.48235294] ; [ 9.48235294 16.51764706],0
p6,1,0.038778,4.270571,[ 50 101] ; [ 7 35],[ 44.59585492 106.40414508] ; [12.40414508 29.59585492],0
b1,1,0.039041,4.259075,[61 94] ; [25 19],[66.98492462 88.01507538] ; [19.01507538 24.98492462],0
p2,1,0.066501,3.367347,[110  44] ; [25 19],[105.  49.] ; [30. 14.],0
a4,1,0.066501,3.367347,[ 54 100] ; [ 9 35],[ 49. 105.] ; [14. 30.],0
s2,1,0.077999,3.106119,[65 90] ; [12 32],[59.97487437 95.02512563] ; [17.02512563 26.97487437],0
s5,1,0.086043,2.946891,[ 34 112] ; [ 5 39],[ 29.96842105 116.03157895] ; [ 9.03157895 34.96842105],0
p12,1,0.096511,2.762277,[  3 151] ; [ 3 41],[  4.66666667 149.33333333] ; [ 1.33333333 42.66666667],0
s3,1,0.105488,2.620541,[71 82] ; [14 29],[66.35204082 86.64795918] ; [18.64795918 24.35204082],0
a5,1,0.119736,2.420768,[84 71] ; [18 26],[79.44723618 75.55276382] ; [22.55276382 21.44723618],0
a7,1,0.126279,2.337662,[90 64] ; [20 24],[85.55555556 68.44444444] ; [24.44444444 19.55555556],0
s8,1,0.130164,2.290546,[ 46 109] ; [ 8 36],[ 42.06030151 112.93969849] ; [11.93969849 32.06030151],0
p3,1,0.139181,2.18699,[62 92] ; [12 31],[57.84771574 96.15228426] ; [16.15228426 26.84771574],0
d2,1,0.141092,2.166014,[64 89] ; [13 31],[59.80203046 93.19796954] ; [17.19796954 26.80203046],0
a2,1,0.141669,2.159737,[ 19 136] ; [ 2 42],[ 16.35678392 138.64321608] ; [ 4.64321608 39.35678392],0
a8,1,0.16524,1.925605,[ 11 138] ; [ 6 36],[ 13.2617801 135.7382199] ; [ 3.7382199 38.2617801],0
p7,1,0.183739,1.767123,[76 76] ; [17 27],[72.12244898 79.87755102] ; [20.87755102 23.12244898],0
s6,1,0.211211,1.563107,[74 76] ; [17 27],[70.36082474 79.63917526] ; [20.63917526 23.36082474],0
b5,1,0.26116,1.262595,[99 56] ; [24 20],[95.8040201 59.1959799] ; [27.1959799 16.8040201],0
v1,1,0.261311,1.261796,[59 93] ; [13 31],[55.83673469 96.16326531] ; [16.16326531 27.83673469],0
b4,1,0.268244,1.225706,[92 63] ; [22 22],[88.79396985 66.20603015] ; [25.20603015 18.79396985],0
u2,1,0.299625,1.075862,[22 36] ; [13 13],[24.16666667 33.83333333] ; [10.83333333 15.16666667],0
d3,1,0.303385,1.059255,[83 70] ; [20 24],[79.99492386 73.00507614] ; [23.00507614 20.99492386],0
p11,1,0.324742,0.969754,[104  51] ; [26 18],[101.25628141  53.74371859] ; [28.74371859 15.25628141],0
u1,1,0.343672,0.896687,[  9 146] ; [ 1 43],[  7.78894472 147.21105528] ; [ 2.21105528 41.78894472],0
n2,1,0.349824,0.874097,[38 13] ; [12  7],[36.42857143 14.57142857] ; [13.57142857  5.42857143],0
p8,1,0.357304,0.847346,[56 95] ; [13 31],[53.43076923 97.56923077] ; [15.56923077 28.43076923],0
v2,1,0.376258,0.782891,[60 90] ; [14 29],[57.51295337 92.48704663] ; [16.48704663 26.51295337],0
b3,1,0.409972,0.678882,[31 58] ; [ 8 22],[29.16806723 59.83193277] ; [ 9.83193277 20.16806723],0
b2,1,0.409972,0.678882,[31 58] ; [ 8 22],[29.16806723 59.83193277] ; [ 9.83193277 20.16806723],0
p1,1,0.419125,0.652768,[ 17 138] ; [ 3 41],[ 15.57788945 139.42211055] ; [ 4.42211055 39.57788945],0
d4,1,0.429451,0.624307,[105  50] ; [27 17],[102.81407035  52.18592965] ; [29.18592965 14.81407035],0
a6,1,0.47097,0.519699,[87 68] ; [22 22],[84.89949749 70.10050251] ; [24.10050251 19.89949749],0
n4,1,0.539448,0.376565,[96 59] ; [25 19],[94.24623116 60.75376884] ; [26.75376884 17.24623116],0
n1,1,0.580764,0.305,[19 30] ; [ 6 13],[18.01470588 30.98529412] ; [ 6.98529412 12.01470588],0
n5,1,0.585981,0.296665,[102  53] ; [27 17],[100.47738693  54.52261307] ; [28.52261307 15.47738693],0
s1,1,0.68078,0.169249,[  5 149] ; [ 2 42],[  5.44444444 148.55555556] ; [ 1.55555556 42.44444444],0
n3,1,0.783292,0.075642,[34 17] ; [12  7],[33.51428571 17.48571429] ; [12.48571429  6.51428571],0
s4,1,0.838047,0.041776,[ 33 122] ; [10 34],[ 33.49246231 121.50753769] ; [ 9.50753769 34.49246231],0
p4,1,0.852121,0.03475,[65 88] ; [18 26],[64.46192893 88.53807107] ; [18.53807107 25.46192893],0
a1,1,0.949151,0.004067,[ 11 144] ; [ 3 41],[ 10.90452261 144.09547739] ; [ 3.09547739 40.90452261],0
