Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.325583,[20  3] ; [ 8 29],[10.73333333 12.26666667] ; [17.26666667 19.73333333],1
p6,1,0.000497,12.125825,[16  6] ; [ 9 26],[ 9.64912281 12.35087719] ; [15.35087719 19.64912281],1
s2,1,0.00102,10.790711,[16  8] ; [ 9 28],[ 9.83606557 14.16393443] ; [15.16393443 21.83606557],0
s3,1,0.002186,9.386161,[17  7] ; [11 25],[11.2 12.8] ; [16.8 19.2],0
p11,1,0.006129,7.511857,[22  2] ; [22 15],[17.31147541  6.68852459] ; [26.68852459 10.31147541],0
p2,1,0.01492,5.925926,[22  2] ; [23 13],[18.  6.] ; [27.  9.],0
p9,1,0.020583,5.361781,[23  1] ; [26 10],[19.6  4.4] ; [29.4  6.6],0
a5,1,0.034647,4.462488,[17  7] ; [16 21],[12.98360656 11.01639344] ; [20.01639344 16.98360656],0
p10,1,0.042754,4.105114,[21  3] ; [23 13],[17.6  6.4] ; [26.4  9.6],0
p3,1,0.044724,4.029018,[15  9] ; [13 23],[11.2 12.8] ; [16.8 19.2],0
p7,1,0.053613,3.724694,[17  6] ; [18 19],[13.41666667  9.58333333] ; [21.58333333 15.41666667],0
a8,1,0.053705,3.721842,[ 4 19] ; [ 1 34],[ 1.98275862 21.01724138] ; [ 3.01724138 31.98275862],0
s5,1,0.065063,3.403367,[ 7 13] ; [ 5 31],[ 4.28571429 15.71428571] ; [ 7.71428571 28.28571429],0
s6,1,0.066234,3.373975,[17  5] ; [18 16],[13.75  8.25] ; [21.25 12.75],0
d1,1,0.073524,3.202547,[16  8] ; [16 21],[12.59016393 11.40983607] ; [19.40983607 17.59016393],0
p4,1,0.108515,2.575722,[14 10] ; [13 22],[10.98305085 13.01694915] ; [16.01694915 18.98305085],0
n5,1,0.116035,2.470034,[20  4] ; [24 13],[17.31147541  6.68852459] ; [26.68852459 10.31147541],0
d3,1,0.130992,2.280712,[13 11] ; [27 10],[15.73770492  8.26229508] ; [24.26229508 12.73770492],0
u3,1,0.168843,1.893182,[3 2] ; [3 9],[1.76470588 3.23529412] ; [4.23529412 7.76470588],0
d4,1,0.17085,1.875473,[22  2] ; [29  8],[20.06557377  3.93442623] ; [30.93442623  6.06557377],0
d5,1,0.175898,1.831942,[21  3] ; [27 10],[18.8852459  5.1147541] ; [29.1147541  7.8852459],0
b4,1,0.20071,1.6372,[13 11] ; [26 11],[15.3442623  8.6557377] ; [23.6557377 13.3442623],0
n6,1,0.254769,1.29696,[22  2] ; [30  7],[20.45901639  3.54098361] ; [31.54098361  5.45901639],0
n4,1,0.256416,1.288007,[21  3] ; [28  9],[19.27868852  4.72131148] ; [29.72131148  7.27868852],0
n1,1,0.310596,1.028139,[4 4] ; [3 8],[2.94736842 5.05263158] ; [4.05263158 6.94736842],0
a3,1,0.323612,0.974293,[19  5] ; [25 12],[17.31147541  6.68852459] ; [26.68852459 10.31147541],0
a2,1,0.372934,0.793866,[ 2 22] ; [ 6 31],[ 3.14754098 20.85245902] ; [ 4.85245902 32.14754098],0
r3,1,0.372934,0.793866,[22  2] ; [31  6],[20.85245902  3.14754098] ; [32.14754098  4.85245902],0
r4,1,0.403704,0.697267,[18  6] ; [24 13],[16.52459016  7.47540984] ; [25.47540984 11.52459016],0
a7,1,0.463121,0.538341,[14 10] ; [25 12],[15.3442623  8.6557377] ; [23.6557377 13.3442623],0
p1,1,0.508049,0.438084,[ 4 20] ; [ 4 33],[ 3.14754098 20.85245902] ; [ 4.85245902 32.14754098],0
r2,1,0.508049,0.438084,[20  4] ; [33  4],[20.85245902  3.14754098] ; [32.14754098  4.85245902],0
a1,1,0.573649,0.316615,[ 3 21] ; [ 3 34],[ 2.36065574 21.63934426] ; [ 3.63934426 33.36065574],0
u2,1,0.589639,0.290909,[3 2] ; [5 6],[2.5 2.5] ; [5.5 5.5],0
d2,1,0.592939,0.285778,[10 14] ; [18 19],[11.01639344 12.98360656] ; [16.98360656 20.01639344],0
a6,1,0.604921,0.267638,[12 12] ; [21 16],[12.98360656 11.01639344] ; [20.01639344 16.98360656],0
b1,1,0.72041,0.1281,[ 8 16] ; [14 23],[ 8.6557377 15.3442623] ; [13.3442623 23.6557377],0
s4,1,0.734437,0.115077,[ 4 20] ; [ 5 32],[ 3.54098361 20.45901639] ; [ 5.45901639 31.54098361],0
u1,1,0.753778,0.098383,[ 1 23] ; [ 1 36],[ 0.78688525 23.21311475] ; [ 1.21311475 35.78688525],0
b5,1,0.764909,0.089426,[14 10] ; [23 14],[14.55737705  9.44262295] ; [22.44262295 14.55737705],0
n3,1,0.768571,0.08658,[6 3] ; [8 3],[6.3 2.7] ; [7.7 3.3],0
p12,1,0.808915,0.05848,[ 1 23] ; [ 2 34],[ 1.2 22.8] ; [ 1.8 34.2],0
p5,1,0.839752,0.040889,[ 3 21] ; [ 4 33],[ 2.75409836 21.24590164] ; [ 4.24590164 32.75409836],0
b2,1,0.872824,0.025623,[9 9] ; [ 9 10],[8.75675676 9.24324324] ; [9.24324324 9.75675676],0
b3,1,0.872824,0.025623,[9 9] ; [ 9 10],[8.75675676 9.24324324] ; [9.24324324 9.75675676],0
a4,1,0.884956,0.020935,[ 8 16] ; [13 24],[ 8.26229508 15.73770492] ; [12.73770492 24.26229508],0
n2,1,0.887593,0.01998,[6 3] ; [7 4],[5.85 3.15] ; [7.15 3.85],0
v1,1,0.920246,0.010025,[14  9] ; [23 14],[14.18333333  8.81666667] ; [22.81666667 14.18333333],0
p8,1,0.955686,0.003088,[11 12] ; [17 18],[11.10344828 11.89655172] ; [16.89655172 18.10344828],0
v4,1,0.962973,0.002155,[20  4] ; [31  6],[20.06557377  3.93442623] ; [30.93442623  6.06557377],0
