Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.031972,4.6,[26 20] ; [19  4],[30. 16.] ; [15.  8.],0
s7,1,0.041167,4.169118,[ 5 37] ; [ 7 14],[ 8. 34.] ; [ 4. 17.],0
s1,1,0.062713,3.464139,[ 3 43] ; [ 5 18],[ 5.33333333 40.66666667] ; [ 2.66666667 20.33333333],0
a3,1,0.092047,2.83821,[23 22] ; [16  6],[26.19402985 18.80597015] ; [12.80597015  9.19402985],0
b3,1,0.096442,2.763413,[14 12] ; [3 9],[11.63157895 14.36842105] ; [5.36842105 6.63157895],0
b2,1,0.096442,2.763413,[14 12] ; [3 9],[11.63157895 14.36842105] ; [5.36842105 6.63157895],0
b4,1,0.173149,1.855462,[20 26] ; [14  9],[22.66666667 23.33333333] ; [11.33333333 11.66666667],0
p9,1,0.20433,1.611151,[18 25] ; [ 6 17],[15.63636364 27.36363636] ; [ 8.36363636 14.63636364],0
d1,1,0.218823,1.512075,[15 31] ; [11 12],[17.33333333 28.66666667] ; [ 8.66666667 14.33333333],0
p10,1,0.228949,1.447378,[13 32] ; [10 13],[15.22058824 29.77941176] ; [ 7.77941176 15.22058824],0
u2,1,0.299328,1.077188,[ 5 17] ; [3 4],[ 6.06896552 15.93103448] ; [1.93103448 5.06896552],0
a6,1,0.306556,1.045455,[24 22] ; [ 9 14],[22. 24.] ; [11. 12.],0
p3,1,0.306836,1.044247,[11 34] ; [ 3 19],[ 9.40298507 35.59701493] ; [ 4.59701493 17.40298507],0
s8,1,0.364763,0.821429,[ 3 43] ; [ 3 20],[ 4. 42.] ; [ 2. 21.],0
p1,1,0.364763,0.821429,[ 5 41] ; [ 1 22],[ 4. 42.] ; [ 2. 21.],0
d5,1,0.388531,0.743534,[25 21] ; [15  8],[26.66666667 19.33333333] ; [13.33333333  9.66666667],0
v2,1,0.396614,0.718568,[10 35] ; [ 7 15],[11.41791045 33.58208955] ; [ 5.58208955 16.41791045],0
v3,1,0.535825,0.383333,[ 9 37] ; [ 6 17],[10. 36.] ; [ 5. 18.],0
n2,1,0.535899,0.383193,[ 8 12] ; [9 9],[ 8.94736842 11.05263158] ; [8.05263158 9.94736842],0
n3,1,0.552033,0.353688,[ 7 13] ; [ 8 10],[ 7.89473684 12.10526316] ; [ 7.10526316 10.89473684],0
