Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.7e-05,18.489052,[ 1 28] ; [20 18],[ 9.08955224 19.91044776] ; [11.91044776 26.08955224],1
d5,1,2.2e-05,18.012115,[ 7 22] ; [29  9],[15.58208955 13.41791045] ; [20.41791045 17.58208955],1
d3,1,0.001504,10.073164,[ 7 22] ; [24 14],[13.41791045 15.58208955] ; [17.58208955 20.41791045],0
u3,1,0.010173,6.604288,[ 2 14] ; [7 5],[ 5.14285714 10.85714286] ; [3.85714286 8.14285714],0
n4,1,0.024033,5.092232,[23  6] ; [20 18],[18.6119403 10.3880597] ; [24.3880597 13.6119403],0
n5,1,0.029724,4.725167,[24  5] ; [22 16],[19.91044776  9.08955224] ; [26.08955224 11.91044776],0
p3,1,0.034957,4.447255,[ 4 25] ; [14 24],[ 7.79104478 21.20895522] ; [10.20895522 27.79104478],0
s5,1,0.035339,4.428705,[ 2 27] ; [10 27],[ 5.27272727 23.72727273] ; [ 6.72727273 30.27272727],0
a7,1,0.039454,4.2412,[ 8 21] ; [20 18],[12.11940299 16.88059701] ; [15.88059701 22.11940299],0
a5,1,0.066811,3.359689,[11 18] ; [23 15],[14.71641791 14.28358209] ; [19.28358209 18.71641791],0
b1,1,0.086198,2.943985,[13 16] ; [25 13],[16.44776119 12.55223881] ; [21.55223881 16.44776119],0
a3,1,0.100156,2.703054,[13 14] ; [26 12],[16.2 10.8] ; [22.8 15.2],0
a4,1,0.10277,2.662024,[ 6 22] ; [15 22],[ 9.04615385 18.95384615] ; [11.95384615 25.04615385],0
b5,1,0.105346,2.622682,[11 18] ; [22 16],[14.28358209 14.71641791] ; [18.71641791 19.28358209],0
v2,1,0.130993,2.280702,[ 3 24] ; [10 28],[ 5.4 21.6] ; [ 7.6 30.4],0
p4,1,0.132449,2.26356,[ 6 23] ; [14 23],[ 8.78787879 20.21212121] ; [11.21212121 25.78787879],0
p10,1,0.146858,2.104592,[ 9 19] ; [19 19],[11.87878788 16.12121212] ; [16.12121212 21.87878788],0
p1,1,0.242405,1.36655,[ 5 24] ; [ 3 35],[ 3.46268657 25.53731343] ; [ 4.53731343 33.46268657],0
p9,1,0.255922,1.290686,[10 17] ; [19 18],[12.234375 14.765625] ; [16.765625 20.234375],0
s3,1,0.264147,1.246889,[ 6 21] ; [13 24],[ 8.015625 18.984375] ; [10.984375 26.015625],0
r4,1,0.310397,1.028985,[ 4 25] ; [ 9 29],[ 5.62686567 23.37313433] ; [ 7.37313433 30.62686567],0
u2,1,0.314736,1.010695,[ 5 11] ; [6 6],[6.28571429 9.71428571] ; [4.71428571 7.28571429],0
r1,1,0.353226,0.861834,[ 9 20] ; [16 22],[10.82089552 18.17910448] ; [14.17910448 23.82089552],0
s6,1,0.372018,0.796914,[ 7 22] ; [13 25],[ 8.65671642 20.34328358] ; [11.34328358 26.65671642],0
v4,1,0.376914,0.780742,[16 13] ; [25 13],[17.74626866 11.25373134] ; [23.25373134 14.74626866],0
s4,1,0.377304,0.779469,[ 5 24] ; [10 28],[ 6.49253731 22.50746269] ; [ 8.50746269 29.49253731],0
n1,1,0.409,0.681704,[10 10] ; [5 9],[ 8.82352941 11.17647059] ; [6.17647059 7.82352941],0
r2,1,0.417619,0.657006,[21  8] ; [22 13],[19.484375  9.515625] ; [23.515625 11.484375],0
a1,1,0.424508,0.637802,[ 5 24] ; [ 4 34],[ 3.89552239 25.10447761] ; [ 5.10447761 32.89552239],0
s2,1,0.441523,0.592321,[ 6 23] ; [11 27],[ 7.35820896 21.64179104] ; [ 9.64179104 28.35820896],0
s8,1,0.442589,0.589562,[ 4 25] ; [ 8 30],[ 5.19402985 23.80597015] ; [ 6.80597015 31.19402985],0
