Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.020223,5.392575,[18 22] ; [14  4],[22.06896552 17.93103448] ; [9.93103448 8.06896552],0
p11,1,0.039382,4.244325,[15 25] ; [12  6],[18.62068966 21.37931034] ; [8.37931034 9.62068966],0
n3,1,0.040424,4.2,[7 7] ; [9 1],[9.33333333 4.66666667] ; [6.66666667 3.33333333],0
d5,1,0.046905,3.948802,[20 20] ; [14  4],[23.44827586 16.55172414] ; [10.55172414  7.44827586],0
r3,1,0.046905,3.948802,[20 20] ; [14  4],[23.44827586 16.55172414] ; [10.55172414  7.44827586],0
v4,1,0.072069,3.235248,[23 17] ; [14  3],[25.96491228 14.03508772] ; [11.03508772  5.96491228],0
s7,1,0.072711,3.220737,[ 9 30] ; [8 9],[11.83928571 27.16071429] ; [ 5.16071429 11.83928571],0
p7,1,0.129448,2.299115,[15 23] ; [11  7],[17.64285714 20.35714286] ; [8.35714286 9.64285714],0
n2,1,0.134481,2.24,[7 7] ; [8 2],[8.75 5.25] ; [6.25 3.75],0
a5,1,0.135916,2.223603,[16 24] ; [11  7],[18.62068966 21.37931034] ; [8.37931034 9.62068966],0
s6,1,0.142588,2.149807,[12 28] ; [9 9],[14.48275862 25.51724138] ; [ 6.51724138 11.48275862],0
v1,1,0.170639,1.877324,[11 28] ; [8 9],[13.23214286 25.76785714] ; [ 5.76785714 11.23214286],0
p6,1,0.189005,1.725353,[ 8 31] ; [ 6 10],[ 9.92727273 29.07272727] ; [ 4.07272727 11.92727273],0
d1,1,0.203361,1.618069,[11 29] ; [ 8 10],[13.10344828 26.89655172] ; [ 5.89655172 12.10344828],0
a1,1,0.222298,1.489472,[ 7 33] ; [ 1 17],[ 5.51724138 34.48275862] ; [ 2.48275862 15.51724138],0
p3,1,0.229723,1.442576,[11 29] ; [ 2 14],[ 9.28571429 30.71428571] ; [ 3.71428571 12.28571429],0
u3,1,0.276986,1.181818,[10 12] ; [3 1],[11. 11.] ; [2. 2.],0
a4,1,0.33049,0.946975,[14 26] ; [ 4 14],[12.4137931 27.5862069] ; [ 5.5862069 12.4137931],0
u2,1,0.356216,0.85119,[11 11] ; [3 1],[11.84615385 10.15384615] ; [2.15384615 1.84615385],0
b1,1,0.37024,0.80286,[24 16] ; [13  5],[25.51724138 14.48275862] ; [11.48275862  6.51724138],0
s8,1,0.371352,0.799134,[ 7 33] ; [ 5 13],[ 8.27586207 31.72413793] ; [ 3.72413793 14.27586207],0
s5,1,0.377407,0.77913,[ 6 34] ; [ 4 12],[ 7.14285714 32.85714286] ; [ 2.85714286 13.14285714],0
s2,1,0.385749,0.752299,[11 29] ; [ 7 11],[12.4137931 27.5862069] ; [ 5.5862069 12.4137931],0
