Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.004482,8.07744,[54 19] ; [40  2],[59.66956522 13.33043478] ; [34.33043478  7.66956522],0
n4,1,0.007284,7.201675,[34 39] ; [ 9 33],[27.29565217 45.70434783] ; [15.70434783 26.29565217],0
b2,1,0.033457,4.522256,[ 8 31] ; [11 13],[11.76190476 27.23809524] ; [ 7.23809524 16.76190476],0
b3,1,0.033457,4.522256,[ 8 31] ; [11 13],[11.76190476 27.23809524] ; [ 7.23809524 16.76190476],0
p3,1,0.04554,3.998539,[24 48] ; [22 20],[29.05263158 42.94736842] ; [16.94736842 25.05263158],0
d5,1,0.059262,3.557931,[49 24] ; [35  7],[53.32173913 19.67826087] ; [30.67826087 11.32173913],0
s2,1,0.082751,3.010022,[48 25] ; [34  8],[52.05217391 20.94782609] ; [29.94782609 12.05217391],0
s6,1,0.109235,2.565248,[51 22] ; [35  7],[54.59130435 18.40869565] ; [31.40869565 10.59130435],0
p10,1,0.117531,2.449921,[46 26] ; [32  9],[49.69911504 22.30088496] ; [28.30088496 12.69911504],0
n1,1,0.126645,2.333159,[ 7 18] ; [6 5],[ 9.02777778 15.97222222] ; [3.97222222 7.02777778],0
a6,1,0.140883,2.168292,[50 23] ; [23 19],[46.33913043 26.66086957] ; [26.66086957 15.33913043],0
p6,1,0.141616,2.160315,[14 58] ; [13 28],[17.20353982 54.79646018] ; [ 9.79646018 31.20353982],0
b4,1,0.142266,2.153281,[44 29] ; [31 11],[47.60869565 25.39130435] ; [27.39130435 14.60869565],0
s7,1,0.148379,2.08884,[28 39] ; [23 18],[31.63888889 35.36111111] ; [19.36111111 21.63888889],0
s4,1,0.152209,2.04997,[17 56] ; [15 27],[20.31304348 52.68695652] ; [11.68695652 30.31304348],0
p9,1,0.1544,2.028237,[49 23] ; [33  8],[52.24778761 19.75221239] ; [29.75221239 11.24778761],0
u2,1,0.199101,1.648955,[19  7] ; [8 7],[17.12195122  8.87804878] ; [9.87804878 5.12195122],0
d1,1,0.217651,1.519795,[33 40] ; [24 18],[36.1826087 36.8173913] ; [20.8173913 21.1826087],0
p8,1,0.260896,1.263999,[26 47] ; [19 22],[28.81578947 44.18421053] ; [16.18421053 24.81578947],0
b5,1,0.284566,1.145153,[44 29] ; [21 21],[41.26086957 31.73913043] ; [23.73913043 18.26086957],0
p11,1,0.288792,1.125245,[45 28] ; [30 12],[47.60869565 25.39130435] ; [27.39130435 14.60869565],0
p1,1,0.311836,1.022884,[ 5 68] ; [ 5 35],[ 6.46017699 66.53982301] ; [ 3.53982301 36.46017699],0
v1,1,0.315604,1.007079,[26 43] ; [19 21],[28.48623853 40.51376147] ; [16.51376147 23.48623853],0
n2,1,0.393841,0.727049,[17  8] ; [9 2],[18.05555556  6.94444444] ; [7.94444444 3.05555556],0
s1,1,0.411749,0.673745,[ 4 69] ; [ 4 38],[ 5.07826087 67.92173913] ; [ 2.92173913 39.07826087],0
b1,1,0.439312,0.598079,[26 47] ; [12 30],[24.12173913 48.87826087] ; [13.87826087 28.12173913],0
