Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,28.926282,[42  7] ; [ 6 20],[31.36 17.64] ; [16.64  9.36],1
s6,1,0.001551,10.017391,[39  7] ; [13 13],[33.22222222 12.77777778] ; [18.77777778  7.22222222],0
s8,1,0.007925,7.050452,[36 13] ; [11 15],[30.70666667 18.29333333] ; [16.29333333  9.70666667],0
b1,1,0.043436,4.078338,[23 26] ; [ 6 20],[18.94666667 30.05333333] ; [10.05333333 15.94666667],0
s5,1,0.043559,4.073572,[21 22] ; [ 6 19],[17.07352941 25.92647059] ; [ 9.92647059 15.07352941],0
p7,1,0.066694,3.362564,[32 15] ; [12 14],[28.32876712 18.67123288] ; [15.67123288 10.32876712],0
s4,1,0.084195,2.98201,[19 30] ; [ 5 21],[15.68 33.32] ; [ 8.32 17.68],0
v4,1,0.170934,1.874732,[44  4] ; [21  5],[42.16216216  5.83783784] ; [22.83783784  3.16216216],0
a5,1,0.18205,1.780808,[34 15] ; [14 12],[31.36 17.64] ; [16.64  9.36],0
v2,1,0.227683,1.455275,[25 22] ; [10 16],[22.53424658 24.46575342] ; [12.46575342 13.53424658],0
a8,1,0.288844,1.125,[ 4 44] ; [ 4 20],[ 5.33333333 42.66666667] ; [ 2.66666667 21.33333333],0
a2,1,0.295172,1.095882,[ 8 41] ; [ 2 24],[ 6.53333333 42.46666667] ; [ 3.46666667 22.53333333],0
d1,1,0.299488,1.076475,[25 24] ; [10 16],[22.86666667 26.13333333] ; [12.13333333 13.86666667],0
u3,1,0.314854,1.010204,[10  4] ; [4 4],[8.90909091 5.09090909] ; [5.09090909 2.90909091],0
u1,1,0.410621,0.677002,[ 3 46] ; [ 3 23],[ 3.92 45.08] ; [ 2.08 23.92],0
b5,1,0.428111,0.627943,[31 18] ; [14 12],[29.4 19.6] ; [15.6 10.4],0
p3,1,0.445751,0.581434,[29 20] ; [13 13],[27.44 21.56] ; [14.56 11.44],0
n4,1,0.464248,0.535634,[36 13] ; [17  9],[34.62666667 14.37333333] ; [18.37333333  7.62666667],0
n5,1,0.464248,0.535634,[36 13] ; [17  9],[34.62666667 14.37333333] ; [18.37333333  7.62666667],0
a1,1,0.475658,0.508802,[ 4 45] ; [ 1 25],[ 3.26666667 45.73333333] ; [ 1.73333333 24.26666667],0
r3,1,0.511151,0.431711,[44  5] ; [22  4],[43.12  5.88] ; [22.88  3.12],0
u2,1,0.512091,0.429792,[9 5] ; [4 4],[8.27272727 5.72727273] ; [4.72727273 3.27272727],0
b2,1,0.546062,0.36442,[14 24] ; [ 9 11],[15.06896552 22.93103448] ; [ 7.93103448 12.06896552],0
b3,1,0.546062,0.36442,[14 24] ; [ 9 11],[15.06896552 22.93103448] ; [ 7.93103448 12.06896552],0
d3,1,0.554276,0.349713,[28 21] ; [13 13],[26.78666667 22.21333333] ; [14.21333333 11.78666667],0
n2,1,0.57615,0.3125,[15  3] ; [9 3],[14.4  3.6] ; [9.6 2.4],0
a7,1,0.591715,0.287674,[27 22] ; [16 10],[28.09333333 20.90666667] ; [14.90666667 11.09333333],0
