Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,174.267866,[185  78] ; [ 27 206],[112.41129032 150.58870968] ; [ 99.58870968 133.41129032],1
d4,1,0.0,132.581003,[258   4] ; [130 103],[205.36565657  56.63434343] ; [182.63434343  50.36565657],1
d3,1,0.0,125.553842,[239  24] ; [102 129],[181.54453441  81.45546559] ; [159.45546559  71.54453441],1
d5,1,0.0,118.601457,[257   6] ; [134  98],[207.74343434  55.25656566] ; [183.25656566  48.74343434],1
a2,1,0.0,51.413976,[ 85 178] ; [ 15 218],[ 53.02419355 209.97580645] ; [ 46.97580645 186.02419355],1
u1,1,0.0,46.051039,[ 62 201] ; [  6 227],[ 36.05645161 226.94354839] ; [ 31.94354839 201.05645161],1
a4,1,0.0,45.514333,[140 122] ; [ 55 177],[103.42105263 158.57894737] ; [ 91.57894737 140.42105263],1
a5,1,0.0,41.640166,[215  48] ; [128 105],[181.87298387  81.12701613] ; [161.12701613  71.87298387],1
r1,1,0.0,25.782338,[228  34] ; [158  74],[204.72064777  57.27935223] ; [181.27935223  50.72064777],1
a3,1,1e-06,23.417751,[200  62] ; [130 103],[174.66666667  87.33333333] ; [155.33333333  77.66666667],1
r4,1,1.6e-05,18.650025,[246  17] ; [188  45],[230.125  32.875] ; [203.875  29.125],1
v2,1,5.5e-05,16.256781,[159  95] ; [ 97 123],[137.1814346 116.8185654] ; [118.8185654 101.1814346],1
r3,1,7.6e-05,15.6557,[260   3] ; [211  20],[250.75506073  12.24493927] ; [220.24493927  10.75506073],1
a6,1,0.000128,14.665042,[204  59] ; [144  89],[184.52419355  78.47580645] ; [163.47580645  69.52419355],1
a7,1,0.000273,13.248321,[214  49] ; [155  76],[196.451417  66.548583] ; [172.548583  58.451417],1
p4,1,0.000451,12.309797,[174  88] ; [118 114],[154.86639676 107.13360324] ; [137.13360324  94.86639676],1
v3,1,0.000957,10.909569,[106 143] ; [ 64 164],[ 88.74213836 160.25786164] ; [ 81.25786164 146.74213836],1
n4,1,0.000962,10.900137,[213  50] ; [158  74],[197.11717172  65.88282828] ; [173.88282828  58.11717172],1
s2,1,0.00141,10.193154,[118 143] ; [ 72 159],[100.79268293 160.20731707] ; [ 89.20731707 141.79268293],0
s8,1,0.001741,9.804503,[112 150] ; [ 68 165],[ 95.27272727 166.72727273] ; [ 84.72727273 148.27272727],0
v4,1,0.001994,9.555467,[257   5] ; [213  18],[249.77687627  12.22312373] ; [220.22312373  10.77687627],0
r2,1,0.005991,7.55309,[248  12] ; [205  26],[239.87780041  20.12219959] ; [213.12219959  17.87780041],0
p6,1,0.006898,7.299329,[100 160] ; [ 62 168],[ 85.95918367 174.04081633] ; [ 76.04081633 153.95918367],0
p8,1,0.010568,6.53649,[151 107] ; [108 122],[136.93032787 121.06967213] ; [122.06967213 107.93032787],0
n6,1,0.010776,6.501823,[226  37] ; [178  53],[215.08502024  47.91497976] ; [188.91497976  42.08502024],0
p11,1,0.042366,4.120533,[222  41] ; [180  53],[213.15725806  49.84274194] ; [188.84274194  44.15725806],0
u4,1,0.048864,3.880006,[  7 256] ; [  1 232],[  4.24193548 258.75806452] ; [  3.75806452 229.24193548],0
p3,1,0.049894,3.845011,[131 131] ; [ 96 137],[120.14949495 141.85050505] ; [106.85050505 126.14949495],0
s6,1,0.056295,3.643307,[159 102] ; [121 110],[148.53658537 112.46341463] ; [131.46341463  99.53658537],0
p12,1,0.066685,3.362793,[ 19 243] ; [  8 222],[ 14.37804878 247.62195122] ; [ 12.62195122 217.37804878],0
s7,1,0.084636,2.973541,[110 141] ; [ 80 142],[100.82452431 150.17547569] ; [ 89.17547569 132.82452431],0
a8,1,0.096105,2.769013,[ 37 194] ; [ 23 193],[ 31.00671141 199.99328859] ; [ 28.99328859 187.00671141],0
p9,1,0.096879,2.756188,[223  36] ; [186  45],[216.18571429  42.81428571] ; [192.81428571  38.18571429],0
p10,1,0.107187,2.59522,[214  46] ; [175  54],[206.83026585  53.16973415] ; [182.16973415  46.83026585],0
n1,1,0.120601,2.409501,[11 42] ; [20 39],[14.66964286 38.33035714] ; [16.33035714 42.66964286],0
u2,1,0.137139,2.209774,[39 24] ; [50 50],[34.39877301 28.60122699] ; [54.60122699 45.39877301],0
b1,1,0.158883,1.98483,[ 90 173] ; [ 94 139],[ 97.56451613 165.43548387] ; [ 86.43548387 146.56451613],0
