Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000143,14.467593,[42 38] ; [ 8 37],[32. 48.] ; [18. 27.],1
v4,1,0.000294,13.109506,[68 12] ; [25 20],[59.52 20.48] ; [33.48 11.52],1
s8,1,0.000305,13.041288,[26 54] ; [ 2 43],[17.92 62.08] ; [10.08 34.92],1
r4,1,0.00046,12.272303,[62 18] ; [21 24],[53.12 26.88] ; [29.88 15.12],1
p11,1,0.000598,11.780979,[45 35] ; [11 34],[35.84 44.16] ; [20.16 24.84],1
n4,1,0.006457,7.418252,[57 23] ; [21 24],[49.92 30.08] ; [28.08 16.92],0
r3,1,0.006828,7.317556,[67 13] ; [28 17],[60.8 19.2] ; [34.2 10.8],0
s7,1,0.010039,6.627908,[26 50] ; [ 5 36],[20.13675214 55.86324786] ; [10.86324786 30.13675214],0
s5,1,0.011238,6.427229,[20 57] ; [ 3 40],[14.75833333 62.24166667] ; [ 8.24166667 34.75833333],0
p10,1,0.012283,6.269597,[45 33] ; [15 29],[38.36065574 39.63934426] ; [21.63934426 22.36065574],0
n5,1,0.014444,5.983049,[56 24] ; [21 23],[49.67741935 30.32258065] ; [27.32258065 16.67741935],0
s4,1,0.016066,5.795592,[19 61] ; [ 3 42],[14.08 65.92] ; [ 7.92 37.08],0
u1,1,0.072458,3.226441,[12 68] ; [ 2 43],[ 8.96 71.04] ; [ 5.04 39.96],0
r2,1,0.087036,2.92836,[68 10] ; [33 11],[64.57377049 13.42622951] ; [36.42622951  7.57377049],0
p9,1,0.105792,2.615985,[41 35] ; [17 27],[36.73333333 39.26666667] ; [21.26666667 22.73333333],0
v2,1,0.127989,2.316732,[34 41] ; [13 29],[30.12820513 44.87179487] ; [16.87179487 25.12820513],0
v3,1,0.135436,2.229057,[25 52] ; [ 8 33],[21.53389831 55.46610169] ; [11.46610169 29.53389831],0
d4,1,0.162292,1.952738,[62 18] ; [29 15],[58.70967742 21.29032258] ; [32.29032258 11.70967742],0
p3,1,0.172724,1.85914,[23 57] ; [ 8 37],[19.84 60.16] ; [11.16 33.84],0
b4,1,0.180513,1.793393,[49 31] ; [22 23],[45.44 34.56] ; [25.56 19.44],0
n3,1,0.184218,1.763265,[18  9] ; [10 11],[15.75 11.25] ; [12.25  8.75],0
n2,1,0.216407,1.528036,[20  9] ; [12 11],[17.84615385 11.15384615] ; [14.15384615  8.84615385],0
d1,1,0.226519,1.462587,[41 39] ; [18 27],[37.76 42.24] ; [21.24 23.76],0
a1,1,0.287937,1.12924,[ 6 74] ; [ 6 39],[ 7.68 72.32] ; [ 4.32 40.68],0
p8,1,0.319254,0.992,[14 66] ; [11 33],[16.12903226 63.87096774] ; [ 8.87096774 35.12903226],0
s1,1,0.34704,0.88425,[ 5 74] ; [ 5 40],[ 6.37096774 72.62903226] ; [ 3.62903226 41.37096774],0
a2,1,0.347487,0.882613,[16 64] ; [ 6 39],[14.08 65.92] ; [ 7.92 37.08],0
p7,1,0.351356,0.868553,[19 60] ; [14 30],[21.19512195 57.80487805] ; [11.80487805 32.19512195],0
b5,1,0.37071,0.801282,[44 36] ; [21 24],[41.6 38.4] ; [23.4 21.6],0
u2,1,0.406405,0.689292,[12 16] ; [11  9],[13.41666667 14.58333333] ; [ 9.58333333 10.41666667],0
a3,1,0.448312,0.574915,[51 29] ; [25 19],[49.03225806 30.96774194] ; [26.96774194 17.03225806],0
s2,1,0.49119,0.473919,[22 57] ; [10 35],[20.38709677 58.61290323] ; [11.61290323 33.38709677],0
r1,1,0.509905,0.434263,[51 29] ; [26 19],[49.28 30.72] ; [27.72 17.28],0
p1,1,0.527749,0.398724,[ 8 72] ; [ 3 42],[ 7.04 72.96] ; [ 3.96 41.04],0
a8,1,0.551969,0.353801,[ 6 70] ; [ 5 40],[ 6.90909091 69.09090909] ; [ 4.09090909 40.90909091],0
d5,1,0.562497,0.335399,[55 25] ; [28 16],[53.5483871 26.4516129] ; [29.4516129 14.5483871],0
s3,1,0.594687,0.283084,[25 54] ; [16 28],[26.33333333 52.66666667] ; [14.66666667 29.33333333],0
d3,1,0.611002,0.258718,[42 38] ; [21 23],[40.64516129 39.35483871] ; [22.35483871 21.64516129],0
u3,1,0.620722,0.244854,[11 18] ; [ 9 11],[11.83673469 17.16326531] ; [ 8.16326531 11.83673469],0
a6,1,0.650672,0.205054,[47 33] ; [24 20],[45.80645161 34.19354839] ; [25.19354839 18.80645161],0
