Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.000103,15.076684,[6 1] ; [ 4 26],[1.89189189 5.10810811] ; [ 8.10810811 21.89189189],1
b2,1,0.000103,15.076684,[6 1] ; [ 4 26],[1.89189189 5.10810811] ; [ 8.10810811 21.89189189],1
d2,1,0.012414,6.250749,[7 3] ; [12 31],[3.58490566 6.41509434] ; [15.41509434 27.58490566],0
a3,1,0.017998,5.59635,[9 1] ; [21 22],[5.66037736 4.33962264] ; [24.33962264 18.66037736],0
p12,1,0.029364,4.746171,[2 8] ; [ 1 42],[0.56603774 9.43396226] ; [ 2.43396226 40.56603774],0
a2,1,0.038477,4.283795,[3 7] ; [ 3 40],[1.13207547 8.86792453] ; [ 4.86792453 38.13207547],0
s8,1,0.039008,4.260524,[6 3] ; [13 30],[3.28846154 5.71153846] ; [15.71153846 27.28846154],0
b5,1,0.059496,3.551375,[3 7] ; [27 16],[5.66037736 4.33962264] ; [24.33962264 18.66037736],0
s7,1,0.069724,3.28951,[6 2] ; [16 24],[3.66666667 4.33333333] ; [18.33333333 21.66666667],0
d4,1,0.122606,2.383709,[9 1] ; [28 15],[6.98113208 3.01886792] ; [30.01886792 12.98113208],0
r1,1,0.13849,2.19466,[4 5] ; [ 9 34],[2.25 6.75] ; [10.75 32.25],0
v1,1,0.143561,2.139369,[6 4] ; [15 28],[3.96226415 6.03773585] ; [17.03773585 25.96226415],0
d5,1,0.153756,2.034586,[9 1] ; [29 14],[7.16981132 2.83018868] ; [30.83018868 12.16981132],0
p5,1,0.154058,2.031602,[3 7] ; [ 5 37],[1.53846154 8.46153846] ; [ 6.46153846 35.53846154],0
a4,1,0.187684,1.735702,[6 4] ; [16 27],[4.1509434 5.8490566] ; [17.8490566 25.1509434],0
u1,1,0.204416,1.610543,[2 8] ; [ 3 40],[0.94339623 9.05660377] ; [ 4.05660377 38.94339623],0
n6,1,0.226118,1.465113,[8 1] ; [29 13],[6.52941176 2.47058824] ; [30.47058824 11.52941176],0
p9,1,0.239579,1.38307,[8 1] ; [30 13],[6.57692308 2.42307692] ; [31.42307692 11.57692308],0
a5,1,0.300641,1.071347,[8 2] ; [27 16],[6.60377358 3.39622642] ; [28.39622642 14.60377358],0
s2,1,0.340628,0.908067,[5 3] ; [19 24],[3.76470588 4.23529412] ; [20.23529412 22.76470588],0
n4,1,0.342653,0.900482,[7 3] ; [23 20],[5.66037736 4.33962264] ; [24.33962264 18.66037736],0
s5,1,0.364731,0.821536,[3 6] ; [ 8 33],[1.98 7.02] ; [ 9.02 31.98],0
p10,1,0.365853,0.817701,[7 2] ; [26 16],[5.82352941 3.17647059] ; [27.17647059 14.82352941],0
n5,1,0.365853,0.817701,[7 2] ; [26 16],[5.82352941 3.17647059] ; [27.17647059 14.82352941],0
v2,1,0.376352,0.782586,[5 4] ; [17 26],[3.80769231 5.19230769] ; [18.19230769 24.80769231],0
r2,1,0.395766,0.721154,[4 6] ; [22 18],[5.2 4.8] ; [20.8 19.2],0
p6,1,0.403986,0.696429,[5 5] ; [15 27],[3.84615385 6.15384615] ; [16.15384615 25.84615385],0
s6,1,0.406178,0.68996,[5 3] ; [20 23],[3.92156863 4.07843137] ; [21.07843137 21.92156863],0
n2,1,0.445009,0.583333,[5 1] ; [10  5],[4.28571429 1.71428571] ; [10.71428571  4.28571429],0
b1,1,0.456349,0.554835,[5 5] ; [27 16],[6.03773585 3.96226415] ; [25.96226415 17.03773585],0
r3,1,0.495493,0.464576,[5 4] ; [29 14],[5.88461538 3.11538462] ; [28.11538462 14.88461538],0
p1,1,0.5097,0.434682,[1 9] ; [ 2 41],[0.56603774 9.43396226] ; [ 2.43396226 40.56603774],0
p11,1,0.517618,0.418637,[8 2] ; [30 13],[7.16981132 2.83018868] ; [30.83018868 12.16981132],0
d1,1,0.545208,0.365972,[5 5] ; [17 26],[4.1509434 5.8490566] ; [17.8490566 25.1509434],0
a6,1,0.614092,0.254259,[6 4] ; [22 21],[5.28301887 4.71698113] ; [22.71698113 20.28301887],0
b4,1,0.614092,0.254259,[4 6] ; [21 22],[4.71698113 5.28301887] ; [20.28301887 22.71698113],0
p7,1,0.632811,0.228268,[7 3] ; [26 16],[6.34615385 3.65384615] ; [26.65384615 15.34615385],0
p8,1,0.664032,0.188662,[6 4] ; [22 20],[5.38461538 4.61538462] ; [22.61538462 19.38461538],0
v4,1,0.71596,0.132397,[5 3] ; [29 13],[5.44 2.56] ; [28.56 13.44],0
p3,1,0.842229,0.039618,[5 5] ; [23 20],[5.28301887 4.71698113] ; [22.71698113 20.28301887],0
a7,1,0.842229,0.039618,[5 5] ; [20 23],[4.71698113 5.28301887] ; [20.28301887 22.71698113],0
n3,1,0.890106,0.019091,[3 3] ; [8 7],[3.14285714 2.85714286] ; [7.85714286 7.14285714],0
n1,1,0.890106,0.019091,[3 3] ; [7 8],[2.85714286 3.14285714] ; [7.14285714 7.85714286],0
s3,1,0.905544,0.01408,[3 4] ; [17 25],[2.85714286 4.14285714] ; [17.14285714 24.85714286],0
p2,1,0.945247,0.004717,[8 2] ; [34  8],[8.07692308 1.92307692] ; [33.92307692  8.07692308],0
d3,1,0.978391,0.000734,[6 4] ; [26 17],[6.03773585 3.96226415] ; [25.96226415 17.03773585],0
