Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.001392,10.21668,[70 22] ; [80 64],[58.47457627 33.52542373] ; [91.52542373 52.47457627],0
a4,1,0.005271,7.78413,[44 48] ; [ 43 101],[33.91525424 58.08474576] ; [53.08474576 90.91525424],0
p11,1,0.007102,7.24706,[70 22] ; [85 59],[60.42372881 31.57627119] ; [94.57627119 49.42372881],0
s5,1,0.007361,7.182608,[15 69] ; [48 91],[23.7309417 60.2690583] ; [39.2690583 99.7309417],0
s7,1,0.010995,6.466091,[39 48] ; [39 99],[30.16 56.84] ; [47.84 90.16],0
a3,1,0.016171,5.784174,[67 25] ; [82 61],[58.33191489 33.66808511] ; [90.66808511 52.33191489],0
a2,1,0.02678,4.904949,[20 72] ; [ 16 128],[14.03389831 77.96610169] ; [ 21.96610169 122.03389831],0
a8,1,0.040676,4.189472,[ 9 75] ; [  5 129],[ 5.39449541 78.60550459] ; [  8.60550459 125.39449541],0
r4,1,0.042484,4.115819,[86  6] ; [122  22],[81.08474576 10.91525424] ; [126.91525424  17.08474576],0
p6,1,0.060622,3.520294,[30 60] ; [ 31 109],[23.86956522 66.13043478] ; [ 37.13043478 102.86956522],0
r1,1,0.063142,3.452879,[76 16] ; [103  40],[70.07659574 21.92340426] ; [108.92340426  34.07659574],0
b1,1,0.063293,3.448929,[39 53] ; [ 44 100],[32.3559322 59.6440678] ; [50.6440678 93.3559322],0
n3,1,0.103948,2.643895,[15  2] ; [34 16],[12.43283582  4.56716418] ; [36.56716418 13.43283582],0
s4,1,0.142362,2.152239,[15 77] ; [ 35 109],[19.49152542 72.50847458] ; [ 30.50847458 113.49152542],0
a6,1,0.162348,1.95222,[62 30] ; [84 60],[56.91525424 35.08474576] ; [89.08474576 54.91525424],0
p3,1,0.172417,1.861804,[41 51] ; [51 92],[36.01702128 55.98297872] ; [55.98297872 87.01702128],0
v1,1,0.180177,1.796161,[39 51] ; [48 91],[34.19213974 55.80786026] ; [52.80786026 86.19213974],0
p8,1,0.197098,1.663751,[32 59] ; [62 80],[36.71244635 54.28755365] ; [57.28755365 84.71244635],0
s8,1,0.201625,1.630562,[33 59] ; [ 40 103],[28.5787234 63.4212766] ; [44.4212766 98.5787234],0
p2,1,0.212907,1.551546,[72 20] ; [100  41],[67.91416309 24.08583691] ; [104.08583691  36.91416309],0
p5,1,0.279905,1.16755,[ 2 90] ; [  7 134],[ 3.55364807 88.44635193] ; [  5.44635193 135.55364807],0
d2,1,0.30379,1.057481,[42 50] ; [56 88],[38.20338983 53.79661017] ; [59.79661017 84.20338983],0
r3,1,0.307994,1.039257,[89  3] ; [135   9],[87.3220339  4.6779661] ; [136.6779661   7.3220339],0
v4,1,0.315518,1.007436,[87  4] ; [132  11],[85.16666667  5.83333333] ; [133.83333333   9.16666667],0
b5,1,0.340704,0.907779,[60 32] ; [85 59],[56.52542373 35.47457627] ; [88.47457627 55.52542373],0
s6,1,0.35557,0.853477,[46 45] ; [80 61],[49.42241379 41.57758621] ; [76.57758621 64.42241379],0
s2,1,0.365562,0.818695,[35 56] ; [64 80],[38.33617021 52.66382979] ; [60.66382979 83.33617021],0
n6,1,0.397074,0.717168,[61 31] ; [87 56],[57.94042553 34.05957447] ; [90.05957447 52.94042553],0
v2,1,0.414446,0.66601,[50 40] ; [67 67],[47.00892857 42.99107143] ; [69.99107143 64.00892857],0
u1,1,0.426752,0.631647,[12 80] ; [ 14 130],[10.13559322 81.86440678] ; [ 15.86440678 128.13559322],0
v3,1,0.445946,0.580936,[28 60] ; [36 97],[25.4841629 62.5158371] ; [38.5158371 94.4841629],0
d4,1,0.460709,0.544171,[77 15] ; [115  29],[74.84745763 17.15254237] ; [117.15254237  26.84745763],0
n1,1,0.461946,0.541176,[ 4 14] ; [16 35],[ 5.2173913 12.7826087] ; [14.7826087 36.2173913],0
p4,1,0.497414,0.460449,[41 50] ; [58 85],[38.5 52.5] ; [60.5 82.5],0
d3,1,0.525999,0.402115,[66 26] ; [97 46],[63.81276596 28.18723404] ; [99.18723404 43.81276596],0
b3,1,0.586653,0.295602,[20 41] ; [19 48],[18.5859375 42.4140625] ; [20.4140625 46.5859375],0
b2,1,0.586653,0.295602,[20 41] ; [19 48],[18.5859375 42.4140625] ; [20.4140625 46.5859375],0
b4,1,0.609897,0.260326,[58 34] ; [86 58],[56.13559322 35.86440678] ; [87.86440678 56.13559322],0
p7,1,0.626288,0.237129,[50 42] ; [71 68],[48.19047619 43.80952381] ; [72.80952381 66.19047619],0
p1,1,0.636706,0.223077,[ 8 83] ; [ 10 131],[ 7.06034483 83.93965517] ; [ 10.93965517 130.06034483],0
u3,1,0.662574,0.190412,[15 10] ; [39 21],[15.88235294  9.11764706] ; [38.11764706 21.88235294],0
n2,1,0.709758,0.138519,[11  7] ; [33 17],[11.64705882  6.35294118] ; [32.35294118 17.64705882],0
d5,1,0.717126,0.131263,[72 20] ; [109  34],[70.85957447 21.14042553] ; [110.14042553  32.85957447],0
a1,1,0.723079,0.125561,[ 3 89] ; [  6 138],[ 3.50847458 88.49152542] ; [  5.49152542 138.50847458],0
u2,1,0.776878,0.08031,[15 10] ; [34 26],[14.41176471 10.58823529] ; [34.58823529 25.41176471],0
s3,1,0.7807,0.07751,[43 47] ; [71 72],[44.03433476 45.96566524] ; [69.96566524 73.03433476],0
p10,1,0.834836,0.043474,[59 33] ; [91 48],[59.74025974 32.25974026] ; [90.25974026 48.74025974],0
s1,1,0.855243,0.033282,[ 4 88] ; [  7 137],[ 4.28813559 87.71186441] ; [  6.71186441 137.28813559],0
a7,1,0.919209,0.010288,[67 25] ; [105  38],[67.33617021 24.66382979] ; [104.66382979  38.33617021],0
p12,1,0.926868,0.008425,[ 3 88] ; [  5 137],[ 3.12446352 87.87553648] ; [  4.87553648 137.12446352],0
d1,1,0.94219,0.005259,[49 43] ; [76 68],[48.72881356 43.27118644] ; [76.27118644 67.72881356],0
p9,1,0.973164,0.001132,[66 26] ; [100  39],[66.11255411 25.88744589] ; [99.88744589 39.11255411],0
