Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.1e-05,18.08808,[55 24] ; [ 2 14],[47.4 31.6] ; [9.6 6.4],1
s3,1,3.8e-05,16.97237,[57 21] ; [ 3 13],[49.78723404 28.21276596] ; [10.21276596  5.78723404],1
r4,1,6.1e-05,16.07715,[77  2] ; [11  5],[73.17894737  5.82105263] ; [14.82105263  1.17894737],1
n4,1,0.001025,10.782036,[73  6] ; [10  6],[69.02105263  9.97894737] ; [13.97894737  2.02105263],0
s7,1,0.001907,9.636797,[60 14] ; [7 9],[55.08888889 18.91111111] ; [11.91111111  4.08888889],0
p6,1,0.009283,6.767637,[51 26] ; [ 5 11],[46.3655914 30.6344086] ; [9.6344086 6.3655914],0
r3,1,0.024947,5.027579,[76  3] ; [13  3],[74.01052632  4.98947368] ; [14.98947368  1.01052632],0
n5,1,0.06579,3.385048,[72  7] ; [12  4],[69.85263158  9.14736842] ; [14.14736842  1.85263158],0
p8,1,0.076789,3.131593,[65 14] ; [10  6],[62.36842105 16.63157895] ; [12.63157895  3.36842105],0
s8,1,0.084117,2.983495,[52 26] ; [7 9],[48.95744681 29.04255319] ; [10.04255319  5.95744681],0
v2,1,0.087363,2.922305,[44 34] ; [12  3],[46.96774194 31.03225806] ; [9.03225806 5.96774194],0
v1,1,0.143565,2.139329,[53 25] ; [13  2],[55.35483871 22.64516129] ; [10.64516129  4.35483871],0
p4,1,0.162349,1.95221,[68  9] ; [12  4],[66.23655914 10.76344086] ; [13.76344086  2.23655914],0
s5,1,0.17102,1.873983,[51 24] ; [8 8],[48.62637363 26.37362637] ; [10.37362637  5.62637363],0
u1,1,0.182673,1.775741,[16 63] ; [ 1 15],[14.13684211 64.86315789] ; [ 2.86315789 13.13684211],0
b5,1,0.185074,1.756405,[39 40] ; [ 5 11],[36.58947368 42.41052632] ; [7.41052632 8.58947368],0
p11,1,0.293627,1.102917,[66 13] ; [15  1],[67.35789474 11.64210526] ; [13.64210526  2.35789474],0
a8,1,0.323011,0.976715,[12 60] ; [ 1 14],[10.75862069 61.24137931] ; [ 2.24137931 12.75862069],0
p2,1,0.342707,0.900277,[67 12] ; [15  1],[68.18947368 10.81052632] ; [13.81052632  2.18947368],0
p3,1,0.347592,0.882228,[62 16] ; [11  5],[60.57446809 17.42553191] ; [12.42553191  3.57446809],0
p7,1,0.377072,0.780225,[60 16] ; [11  5],[58.65217391 17.34782609] ; [12.34782609  3.65217391],0
b2,1,0.386666,0.749401,[27 29] ; [8 5],[28.4057971 27.5942029] ; [6.5942029 6.4057971],0
b3,1,0.386666,0.749401,[27 29] ; [8 5],[28.4057971 27.5942029] ; [6.5942029 6.4057971],0
r2,1,0.397997,0.71437,[73  5] ; [14  2],[72.19148936  5.80851064] ; [14.80851064  1.19148936],0
n6,1,0.397997,0.71437,[73  5] ; [14  2],[72.19148936  5.80851064] ; [14.80851064  1.19148936],0
n3,1,0.422489,0.643382,[9 8] ; [3 1],[9.71428571 7.28571429] ; [2.28571429 1.71428571],0
u3,1,0.432738,0.615463,[11  7] ; [4 1],[11.73913043  6.26086957] ; [3.26086957 1.73913043],0
p12,1,0.469425,0.523329,[23 56] ; [ 3 12],[21.85106383 57.14893617] ; [ 4.14893617 10.85106383],0
a3,1,0.471005,0.519617,[61 18] ; [11  5],[59.87368421 19.12631579] ; [12.12631579  3.87368421],0
a5,1,0.510866,0.432292,[58 21] ; [13  3],[59.04210526 19.95789474] ; [11.95789474  4.04210526],0
d3,1,0.527307,0.399578,[55 23] ; [10  6],[53.93617021 24.06382979] ; [11.06382979  4.93617021],0
b4,1,0.544552,0.367169,[46 33] ; [8 8],[44.90526316 34.09473684] ; [9.09473684 6.90526316],0
v3,1,0.577229,0.310737,[46 32] ; [10  5],[46.96774194 31.03225806] ; [9.03225806 5.96774194],0
r1,1,0.583486,0.300633,[64 15] ; [12  4],[63.2 15.8] ; [12.8  3.2],0
u2,1,0.599275,0.276091,[13  5] ; [3 2],[12.52173913  5.47826087] ; [3.47826087 1.52173913],0
a2,1,0.610801,0.25901,[14 65] ; [ 2 14],[13.30526316 65.69473684] ; [ 2.69473684 13.30526316],0
a7,1,0.702549,0.145834,[58 21] ; [11  5],[57.37894737 21.62105263] ; [11.62105263  4.37894737],0
d5,1,0.786324,0.073488,[61 17] ; [13  3],[61.40425532 16.59574468] ; [12.59574468  3.40425532],0
p1,1,0.815752,0.054295,[22 57] ; [ 4 12],[21.62105263 57.37894737] ; [ 4.37894737 11.62105263],0
n1,1,0.822187,0.050505,[9 7] ; [2 2],[8.8 7.2] ; [2.2 1.8],0
d4,1,0.839927,0.040799,[65 13] ; [13  3],[64.72340426 13.27659574] ; [13.27659574  2.72340426],0
d2,1,0.85164,0.034979,[37 41] ; [8 8],[37.34042553 40.65957447] ; [7.65957447 8.34042553],0
a4,1,0.883825,0.021352,[33 46] ; [7 9],[33.26315789 45.73684211] ; [6.73684211 9.26315789],0
b1,1,0.883825,0.021352,[33 46] ; [7 9],[33.26315789 45.73684211] ; [6.73684211 9.26315789],0
a6,1,0.942544,0.005195,[48 30] ; [10  6],[48.12765957 29.87234043] ; [9.87234043 6.12765957],0
d1,1,0.971529,0.001274,[49 30] ; [10  6],[49.06315789 29.93684211] ; [9.93684211 6.06315789],0
