Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,8e-06,19.953659,[77 11] ; [1 5],[73.0212766 14.9787234] ; [4.9787234 1.0212766],1
r2,1,5.1e-05,16.407895,[82  4] ; [3 3],[79.45652174  6.54347826] ; [5.54347826 0.45652174],1
p11,1,0.001628,9.92821,[67 21] ; [1 5],[63.65957447 24.34042553] ; [4.34042553 1.65957447],0
v4,1,0.001695,9.853918,[84  3] ; [4 2],[82.32258065  4.67741935] ; [5.67741935 0.32258065],0
d5,1,0.027269,4.87368,[66 22] ; [2 4],[63.65957447 24.34042553] ; [4.34042553 1.65957447],0
n6,1,0.060409,3.526124,[72 16] ; [3 3],[70.21276596 17.78723404] ; [4.78723404 1.21276596],0
s6,1,0.116429,2.464711,[68 19] ; [3 3],[66.41935484 20.58064516] ; [4.58064516 1.41935484],0
b1,1,0.123237,2.375692,[31 57] ; [4 2],[32.76595745 55.23404255] ; [2.23404255 3.76595745],0
p3,1,0.139502,2.183449,[42 46] ; [1 5],[40.25531915 47.74468085] ; [2.74468085 3.25531915],0
s3,1,0.155433,2.018101,[67 21] ; [3 3],[65.53191489 22.46808511] ; [4.46808511 1.53191489],0
b4,1,0.157094,2.001976,[55 33] ; [2 4],[53.36170213 34.63829787] ; [3.63829787 2.36170213],0
v2,1,0.163469,1.941841,[39 46] ; [1 5],[37.36263736 47.63736264] ; [2.63736264 3.36263736],0
v3,1,0.189563,1.721009,[37 47] ; [1 5],[35.46666667 48.53333333] ; [2.53333333 3.46666667],0
p1,1,0.189788,1.719264,[12 76] ; [2 4],[13.10638298 74.89361702] ; [0.89361702 5.10638298],0
p4,1,0.195781,1.673568,[53 35] ; [2 4],[51.4893617 36.5106383] ; [3.5106383 2.4893617],0
p8,1,0.22625,1.464281,[51 36] ; [2 4],[49.58064516 37.41935484] ; [3.41935484 2.58064516],0
p2,1,0.229675,1.442872,[75 13] ; [4 2],[73.95744681 14.04255319] ; [5.04255319 0.95744681],0
r1,1,0.233872,1.417157,[64 24] ; [3 3],[62.72340426 25.27659574] ; [4.27659574 1.72340426],0
n4,1,0.233872,1.417157,[64 24] ; [3 3],[62.72340426 25.27659574] ; [4.27659574 1.72340426],0
d1,1,0.281448,1.160085,[34 54] ; [1 5],[32.76595745 55.23404255] ; [2.23404255 3.76595745],0
s2,1,0.326005,0.964702,[61 27] ; [3 3],[59.91489362 28.08510638] ; [4.08510638 1.91489362],0
s1,1,0.380291,0.769762,[ 6 81] ; [1 5],[ 6.5483871 80.4516129] ; [0.4516129 5.5483871],0
a7,1,0.39391,0.726837,[59 29] ; [3 3],[58.04255319 29.95744681] ; [3.95744681 2.04255319],0
v1,1,0.445532,0.581992,[43 44] ; [2 4],[42.09677419 44.90322581] ; [2.90322581 3.09677419],0
b5,1,0.461237,0.542892,[45 43] ; [4 2],[45.87234043 42.12765957] ; [3.12765957 2.87234043],0
n2,1,0.463238,0.538059,[16  5] ; [3 2],[15.34615385  5.65384615] ; [3.65384615 1.34615385],0
p9,1,0.465954,0.531554,[69 18] ; [4 2],[68.29032258 18.70967742] ; [4.70967742 1.29032258],0
p10,1,0.465954,0.531554,[69 18] ; [4 2],[68.29032258 18.70967742] ; [4.70967742 1.29032258],0
n3,1,0.489534,0.477551,[12  9] ; [2 3],[11.30769231  9.69230769] ; [2.69230769 2.30769231],0
a6,1,0.494181,0.46741,[42 46] ; [2 4],[41.19148936 46.80851064] ; [2.80851064 3.19148936],0
d4,1,0.504044,0.446411,[69 19] ; [4 2],[68.34042553 19.65957447] ; [4.65957447 1.34042553],0
d3,1,0.542238,0.371408,[55 33] ; [3 3],[54.29787234 33.70212766] ; [3.70212766 2.29787234],0
p6,1,0.608888,0.261797,[37 47] ; [2 4],[36.4 47.6] ; [2.6 3.4],0
a3,1,0.678951,0.171309,[51 36] ; [3 3],[50.51612903 36.48387097] ; [3.48387097 2.51612903],0
n5,1,0.699465,0.149029,[65 23] ; [4 2],[64.59574468 23.40425532] ; [4.40425532 1.59574468],0
b3,1,0.73145,0.117785,[19 38] ; [1 3],[18.68852459 38.31147541] ; [1.31147541 2.68852459],0
b2,1,0.73145,0.117785,[19 38] ; [1 3],[18.68852459 38.31147541] ; [1.31147541 2.68852459],0
s4,1,0.748126,0.103113,[24 64] ; [2 4],[24.34042553 63.65957447] ; [1.65957447 4.34042553],0
n1,1,0.758742,0.094331,[10 11] ; [2 3],[ 9.69230769 11.30769231] ; [2.30769231 2.69230769],0
s5,1,0.772625,0.083488,[33 51] ; [2 4],[32.66666667 51.33333333] ; [2.33333333 3.66666667],0
d2,1,0.775521,0.081317,[19 69] ; [1 5],[18.72340426 69.27659574] ; [1.27659574 4.72340426],0
s8,1,0.795985,0.066847,[54 34] ; [4 2],[54.29787234 33.70212766] ; [3.70212766 2.29787234],0
u2,1,0.849286,0.036111,[22 14] ; [2 1],[22.15384615 13.84615385] ; [1.84615385 1.15384615],0
u3,1,0.876824,0.024024,[23 14] ; [2 1],[23.125 13.875] ; [1.875 1.125],0
