Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.001464,10.123669,[50  6] ; [18 12],[44.27906977 11.72093023] ; [23.72093023  6.27906977],0
b5,1,0.004405,8.108697,[39 18] ; [11 19],[32.75862069 24.24137931] ; [17.24137931 12.75862069],0
v4,1,0.009839,6.663788,[54  3] ; [22  7],[50.37209302  6.62790698] ; [25.62790698  3.37209302],0
r3,1,0.01413,6.021862,[51  4] ; [22  8],[47.23529412  7.76470588] ; [25.76470588  4.23529412],0
d3,1,0.01712,5.684012,[46 11] ; [17 13],[41.27586207 15.72413793] ; [21.72413793  8.27586207],0
p9,1,0.02818,4.817001,[45 10] ; [18 12],[40.76470588 14.23529412] ; [22.23529412  7.76470588],0
a6,1,0.035695,4.411601,[38 19] ; [13 17],[33.4137931 23.5862069] ; [17.5862069 12.4137931],0
d4,1,0.037417,4.331336,[46 11] ; [18 12],[41.93103448 15.06896552] ; [22.06896552  7.93103448],0
d2,1,0.055628,3.663158,[15 42] ; [14 16],[19. 38.] ; [10. 20.],0
s1,1,0.077281,3.12117,[ 1 55] ; [ 3 26],[ 2.63529412 53.36470588] ; [ 1.36470588 27.63529412],0
v2,1,0.094517,2.795705,[28 28] ; [ 9 20],[24.37647059 31.62352941] ; [12.62352941 16.37647059],0
r4,1,0.096174,2.767871,[47 10] ; [20 10],[43.89655172 13.10344828] ; [23.10344828  6.89655172],0
a2,1,0.119253,2.427103,[ 8 49] ; [ 1 29],[ 5.89655172 51.10344828] ; [ 3.10344828 26.89655172],0
p10,1,0.184983,1.757127,[43 13] ; [19 11],[40.37209302 15.62790698] ; [21.62790698  8.37209302],0
s2,1,0.216118,1.529965,[33 23] ; [13 16],[30.30588235 25.69411765] ; [15.69411765 13.30588235],0
n2,1,0.23099,1.434756,[12  2] ; [10  5],[10.62068966  3.37931034] ; [11.37931034  3.62068966],0
a1,1,0.232654,1.424561,[ 1 56] ; [ 2 28],[ 1.96551724 55.03448276] ; [ 1.03448276 28.96551724],0
r2,1,0.246728,1.341739,[52  5] ; [24  5],[50.37209302  6.62790698] ; [25.62790698  3.37209302],0
r1,1,0.25759,1.281662,[41 16] ; [18 12],[38.65517241 18.34482759] ; [20.34482759  9.65517241],0
s5,1,0.288327,1.127417,[19 34] ; [13 14],[21.2 31.8] ; [10.8 16.2],0
a3,1,0.292762,1.106875,[37 20] ; [16 14],[34.72413793 22.27586207] ; [18.27586207 11.72413793],0
b4,1,0.292762,1.106875,[37 20] ; [16 14],[34.72413793 22.27586207] ; [18.27586207 11.72413793],0
v1,1,0.311365,1.024876,[23 33] ; [ 9 21],[20.8372093 35.1627907] ; [11.1627907 18.8372093],0
p3,1,0.317886,0.997626,[24 33] ; [16 14],[26.20689655 30.79310345] ; [13.79310345 16.20689655],0
p7,1,0.335573,0.927273,[27 28] ; [18 12],[29.11764706 25.88235294] ; [15.88235294 14.11764706],0
a5,1,0.35789,0.845284,[38 19] ; [17 13],[36.03448276 20.96551724] ; [18.96551724 11.03448276],0
u2,1,0.381768,0.765,[ 7 13] ; [7 7],[ 8.23529412 11.76470588] ; [5.76470588 8.23529412],0
s6,1,0.406435,0.689203,[42 13] ; [19  9],[40.42168675 14.57831325] ; [20.57831325  7.42168675],0
b1,1,0.410054,0.678645,[16 41] ; [11 19],[17.68965517 39.31034483] ; [ 9.31034483 20.68965517],0
s7,1,0.431923,0.617647,[21 35] ; [13 15],[22.66666667 33.33333333] ; [11.33333333 16.66666667],0
n3,1,0.517613,0.418647,[10  4] ; [9 6],[9.17241379 4.82758621] ; [9.82758621 5.17241379],0
d1,1,0.622925,0.241778,[24 33] ; [11 19],[22.93103448 34.06896552] ; [12.06896552 17.93103448],0
p5,1,0.640435,0.218173,[ 1 56] ; [ 1 29],[ 1.31034483 55.68965517] ; [ 0.68965517 29.31034483],0
p6,1,0.646758,0.210012,[16 40] ; [10 20],[16.93023256 39.06976744] ; [ 9.06976744 20.93023256],0
a4,1,0.651534,0.203971,[20 37] ; [12 18],[20.96551724 36.03448276] ; [11.03448276 18.96551724],0
p4,1,0.708877,0.139401,[29 28] ; [14 16],[28.17241379 28.82758621] ; [14.82758621 15.17241379],0
s3,1,0.70951,0.138767,[33 24] ; [18 11],[33.80232558 23.19767442] ; [17.19767442 11.80232558],0
n4,1,0.729257,0.119795,[32 25] ; [18 12],[32.75862069 24.24137931] ; [17.24137931 12.75862069],0
b3,1,0.76553,0.088939,[ 5 21] ; [ 3 16],[ 4.62222222 21.37777778] ; [ 3.37777778 15.62222222],0
b2,1,0.76553,0.088939,[ 5 21] ; [ 3 16],[ 4.62222222 21.37777778] ; [ 3.37777778 15.62222222],0
u3,1,0.773753,0.082639,[11  9] ; [7 7],[10.58823529  9.41176471] ; [7.41176471 6.58823529],0
n1,1,0.781793,0.07672,[ 4 10] ; [ 5 10],[4.34482759 9.65517241] ; [ 4.65517241 10.34482759],0
