Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.02106,5.321826,[5 9] ; [85 42],[8.93617021 5.06382979] ; [81.06382979 45.93617021],0
s2,1,0.048994,3.875543,[8 6] ; [39 87],[4.7 9.3] ; [42.3 83.7],0
a7,1,0.063761,3.43675,[6 8] ; [86 41],[9.13475177 4.86524823] ; [82.86524823 44.13475177],0
s3,1,0.075641,3.156151,[10  4] ; [58 67],[6.84892086 7.15107914] ; [61.15107914 63.84892086],0
p8,1,0.07778,3.110682,[ 1 12] ; [39 87],[3.74100719 9.25899281] ; [36.25899281 89.74100719],0
p9,1,0.088858,2.894942,[5 8] ; [79 47],[7.85611511 5.14388489] ; [76.14388489 49.85611511],0
r1,1,0.099174,2.718772,[7 7] ; [90 36],[9.7 4.3] ; [87.3 38.7],0
p4,1,0.107244,2.594372,[ 2 12] ; [45 81],[4.7 9.3] ; [42.3 83.7],0
s5,1,0.128885,2.305885,[4 9] ; [ 18 106],[ 2.08759124 10.91240876] ; [ 19.91240876 104.08759124],0
r4,1,0.163353,1.942913,[7 7] ; [87 40],[9.33333333 4.66666667] ; [84.66666667 42.33333333],0
s6,1,0.170156,1.881566,[8 5] ; [53 74],[5.66428571 7.33571429] ; [55.33571429 71.66428571],0
a4,1,0.247507,1.33732,[ 3 11] ; [47 80],[4.96453901 9.03546099] ; [45.03546099 81.96453901],0
a3,1,0.266015,1.237179,[7 7] ; [82 44],[8.9 5.1] ; [80.1 45.9],0
a6,1,0.266015,1.237179,[7 7] ; [82 44],[8.9 5.1] ; [80.1 45.9],0
s7,1,0.296361,1.090499,[5 7] ; [32 85],[3.44186047 8.55813953] ; [33.55813953 83.44186047],0
n5,1,0.30328,1.059714,[ 4 10] ; [54 72],[5.8 8.2] ; [52.2 73.8],0
s8,1,0.320213,0.988076,[5 9] ; [30 97],[ 3.4751773 10.5248227] ; [31.5248227 95.4751773],0
b5,1,0.323036,0.976613,[6 8] ; [72 55],[7.74468085 6.25531915] ; [70.25531915 56.74468085],0
v2,1,0.355463,0.853859,[ 4 10] ; [48 68],[5.6 8.4] ; [46.4 69.6],0
v4,1,0.364372,0.822768,[9 4] ; [100  25],[10.26811594  2.73188406] ; [98.73188406 26.26811594],0
p2,1,0.3692,0.806354,[10  4] ; [75 52],[8.43971631 5.56028369] ; [76.56028369 50.43971631],0
n1,1,0.369779,0.804407,[2 6] ; [18 25],[3.1372549 4.8627451] ; [16.8627451 26.1372549],0
n2,1,0.390022,0.738872,[4 4] ; [29 15],[5.07692308 2.92307692] ; [27.92307692 16.07692308],0
p11,1,0.447327,0.577415,[6 8] ; [68 59],[7.34751773 6.65248227] ; [66.65248227 60.34751773],0
d4,1,0.458378,0.549853,[9 5] ; [92 33],[10.17266187  3.82733813] ; [90.82733813 34.17266187],0
r2,1,0.460281,0.545211,[10  3] ; [106  19],[10.92753623  2.07246377] ; [105.07246377  19.92753623],0
n3,1,0.479427,0.500165,[6 2] ; [26 16],[5.12 2.88] ; [26.88 15.12],0
v1,1,0.479568,0.499845,[ 4 10] ; [47 76],[5.21167883 8.78832117] ; [45.78832117 77.21167883],0
r3,1,0.580186,0.305933,[10  4] ; [99 28],[10.82269504  3.17730496] ; [98.17730496 28.82269504],0
p3,1,0.58288,0.301601,[ 3 11] ; [36 91],[ 3.87234043 10.12765957] ; [35.12765957 91.87234043],0
p10,1,0.590829,0.289052,[6 7] ; [68 58],[6.92086331 6.07913669] ; [67.07913669 58.92086331],0
b1,1,0.592465,0.286511,[6 8] ; [64 63],[6.95035461 7.04964539] ; [63.04964539 63.95035461],0
u3,1,0.60894,0.261721,[5 2] ; [27 17],[4.39215686 2.60784314] ; [27.60784314 16.39215686],0
u2,1,0.60894,0.261721,[5 2] ; [27 17],[4.39215686 2.60784314] ; [27.60784314 16.39215686],0
b4,1,0.63206,0.229278,[7 7] ; [72 55],[7.84397163 6.15602837] ; [71.15602837 55.84397163],0
v3,1,0.670185,0.181386,[ 3 11] ; [31 85],[ 3.66153846 10.33846154] ; [30.33846154 85.66153846],0
d3,1,0.688135,0.161112,[9 5] ; [74 52],[8.3 5.7] ; [74.7 51.3],0
d5,1,0.715776,0.132576,[9 5] ; [87 39],[9.6 4.4] ; [86.4 39.6],0
p7,1,0.721088,0.127453,[5 9] ; [50 73],[5.62043796 8.37956204] ; [49.37956204 73.62043796],0
d2,1,0.7284,0.120586,[6 8] ; [48 78],[5.4 8.6] ; [48.6 77.4],0
a8,1,0.790134,0.070828,[ 1 12] ; [ 12 108],[ 1.27067669 11.72932331] ; [ 11.72932331 108.27067669],0
b2,1,0.807159,0.059581,[2 7] ; [20 57],[2.30232558 6.69767442] ; [19.69767442 57.30232558],0
b3,1,0.807159,0.059581,[2 7] ; [20 57],[2.30232558 6.69767442] ; [19.69767442 57.30232558],0
n4,1,0.888745,0.01957,[7 7] ; [66 61],[7.24822695 6.75177305] ; [65.75177305 61.24822695],0
s1,1,0.908553,0.013194,[ 1 13] ; [  8 118],[ 0.9 13.1] ; [  8.1 117.9],0
d1,1,0.935463,0.006557,[6 8] ; [53 74],[5.85815603 8.14184397] ; [53.14184397 73.85815603],0
p1,1,1.0,0.0,[ 1 13] ; [  9 117],[ 1. 13.] ; [  9. 117.],0
