Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,9e-06,19.63108,[ 2 48] ; [14 18],[ 9.75609756 40.24390244] ; [ 6.24390244 25.75609756],1
u1,1,0.000319,12.953552,[ 3 47] ; [12 20],[ 9.14634146 40.85365854] ; [ 5.85365854 26.14634146],1
p3,1,0.000324,12.926182,[ 9 41] ; [18 14],[16.46341463 33.53658537] ; [10.53658537 21.46341463],1
a3,1,0.000766,11.321591,[30 20] ; [30  2],[36.58536585 13.41463415] ; [23.41463415  8.58536585],1
d5,1,0.001093,10.663721,[30 19] ; [30  2],[36.2962963 12.7037037] ; [23.7037037  8.2962963],0
a4,1,0.001519,10.055027,[15 35] ; [21 11],[21.95121951 28.04878049] ; [14.04878049 17.95121951],0
s8,1,0.002509,9.133903,[13 37] ; [19 13],[19.51219512 30.48780488] ; [12.48780488 19.51219512],0
d1,1,0.003802,8.376202,[18 32] ; [22 10],[24.3902439 25.6097561] ; [15.6097561 16.3902439],0
p2,1,0.010871,6.486328,[25 25] ; [25  7],[30.48780488 19.51219512] ; [19.51219512 12.48780488],0
d2,1,0.011409,6.400432,[17 33] ; [20 12],[22.56097561 27.43902439] ; [14.43902439 17.56097561],0
a5,1,0.012291,6.26841,[29 21] ; [27  5],[34.14634146 15.85365854] ; [21.85365854 10.14634146],0
a7,1,0.016422,5.757118,[29 20] ; [27  5],[33.87654321 15.12345679] ; [22.12345679  9.87654321],0
s7,1,0.026224,4.9412,[18 30] ; [19 11],[22.76923077 25.23076923] ; [14.23076923 15.76923077],0
p6,1,0.031898,4.603958,[ 6 44] ; [10 22],[ 9.75609756 40.24390244] ; [ 6.24390244 25.75609756],0
r4,1,0.037182,4.342038,[38 12] ; [30  2],[41.46341463  8.53658537] ; [26.53658537  5.46341463],0
a6,1,0.037275,4.3378,[26 24] ; [24  8],[30.48780488 19.51219512] ; [19.51219512 12.48780488],0
s6,1,0.039758,4.228178,[33 16] ; [28  4],[36.90123457 12.09876543] ; [24.09876543  7.90123457],0
n5,1,0.043437,4.07833,[23 27] ; [22 10],[27.43902439 22.56097561] ; [17.56097561 14.43902439],0
r1,1,0.064733,3.411775,[31 19] ; [26  6],[34.75609756 15.24390244] ; [22.24390244  9.75609756],0
p1,1,0.066103,3.377229,[ 2 48] ; [ 5 27],[ 4.26829268 45.73170732] ; [ 2.73170732 29.26829268],0
n6,1,0.066931,3.356725,[35 15] ; [28  4],[38.41463415 11.58536585] ; [24.58536585  7.41463415],0
b4,1,0.07341,3.205074,[26 24] ; [23  9],[29.87804878 20.12195122] ; [19.12195122 12.87804878],0
s2,1,0.092869,2.823918,[29 20] ; [24  7],[32.4625 16.5375] ; [20.5375 10.4625],0
s3,1,0.131896,2.270049,[30 19] ; [24  7],[33.075 15.925] ; [20.925 10.075],0
p7,1,0.140256,2.175149,[16 34] ; [15 16],[19.13580247 30.86419753] ; [11.86419753 19.13580247],0
n3,1,0.18055,1.793087,[15  8] ; [8 1],[16.53125  6.46875] ; [6.46875 2.53125],0
r3,1,0.188124,1.73225,[42  8] ; [30  2],[43.90243902  6.09756098] ; [28.09756098  3.90243902],0
s5,1,0.202149,1.626778,[18 27] ; [17 14],[20.72368421 24.27631579] ; [14.27631579 16.72368421],0
n4,1,0.223679,1.480611,[26 24] ; [21 11],[28.65853659 21.34146341] ; [18.34146341 13.65853659],0
d3,1,0.292952,1.106004,[33 16] ; [25  7],[35.08641975 13.91358025] ; [22.91358025  9.08641975],0
d4,1,0.341363,0.905306,[36 14] ; [26  6],[37.80487805 12.19512195] ; [24.19512195  7.80487805],0
p11,1,0.349994,0.873478,[26 24] ; [20 12],[28.04878049 21.95121951] ; [17.95121951 14.04878049],0
v1,1,0.374439,0.78888,[17 33] ; [14 18],[18.90243902 31.09756098] ; [12.09756098 19.90243902],0
p9,1,0.390859,0.736267,[35 13] ; [26  6],[36.6 11.4] ; [24.4  7.6],0
b1,1,0.480835,0.49697,[15 35] ; [12 20],[16.46341463 33.53658537] ; [10.53658537 21.46341463],0
n2,1,0.490691,0.475011,[15  8] ; [7 2],[15.8125  7.1875] ; [6.1875 2.8125],0
v4,1,0.535817,0.383347,[44  5] ; [30  2],[44.7654321  4.2345679] ; [29.2345679  2.7654321],0
s1,1,0.659702,0.193886,[ 2 47] ; [ 2 30],[ 2.41975309 46.58024691] ; [ 1.58024691 30.41975309],0
u3,1,0.67415,0.176786,[13  7] ; [1 1],[12.72727273  7.27272727] ; [1.27272727 0.72727273],0
b5,1,0.677921,0.172476,[35 15] ; [21 11],[34.14634146 15.85365854] ; [21.85365854 10.14634146],0
n1,1,0.681867,0.168032,[ 6 17] ; [3 6],[ 6.46875 16.53125] ; [2.53125 6.46875],0
p10,1,0.72288,0.12575,[34 15] ; [21 11],[33.27160494 15.72839506] ; [21.72839506 10.27160494],0
b2,1,0.742613,0.107843,[ 5 19] ; [ 5 15],[ 5.45454545 18.54545455] ; [ 4.54545455 15.45454545],0
b3,1,0.742613,0.107843,[ 5 19] ; [ 5 15],[ 5.45454545 18.54545455] ; [ 4.54545455 15.45454545],0
v2,1,0.824227,0.049333,[22 26] ; [15 16],[22.48101266 25.51898734] ; [14.51898734 16.48101266],0
a1,1,0.83689,0.042384,[ 2 48] ; [ 1 31],[ 1.82926829 48.17073171] ; [ 1.17073171 30.82926829],0
v3,1,0.894591,0.017555,[12 37] ; [ 8 23],[12.25 36.75] ; [ 7.75 23.25],0
