Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,46.577183,[70 14] ; [ 8 32],[52.83870968 31.16129032] ; [25.16129032 14.83870968],1
p2,1,0.000386,12.599808,[68 16] ; [20 20],[59.61290323 24.38709677] ; [28.38709677 11.61290323],1
p11,1,0.000427,12.408088,[60 25] ; [15 25],[51. 34.] ; [24. 16.],1
d2,1,0.01253,6.234268,[25 60] ; [21 19],[31.28 53.72] ; [14.72 25.28],0
r4,1,0.014918,5.926168,[65 20] ; [22 18],[59.16 25.84] ; [27.84 12.16],0
d3,1,0.017661,5.629489,[54 29] ; [17 23],[47.91056911 35.08943089] ; [23.08943089 16.91056911],0
s8,1,0.01857,5.541591,[28 57] ; [ 5 34],[22.62096774 62.37903226] ; [10.37903226 28.62096774],0
s1,1,0.021353,5.297723,[ 2 83] ; [ 5 35],[ 4.76 80.24] ; [ 2.24 37.76],0
v4,1,0.022199,5.230109,[76  8] ; [30 10],[71.80645161 12.19354839] ; [34.19354839  5.80645161],0
r3,1,0.028161,4.818213,[75 10] ; [29 11],[70.72 14.28] ; [33.28  6.72],0
b1,1,0.050527,3.823876,[31 54] ; [22 18],[36.04 48.96] ; [16.96 23.04],0
s2,1,0.073653,3.19967,[36 49] ; [10 29],[31.53225806 53.46774194] ; [14.46774194 24.53225806],0
b3,1,0.093795,2.808,[12 28] ; [ 3 22],[ 9.23076923 30.76923077] ; [ 5.76923077 19.23076923],0
b2,1,0.093795,2.808,[12 28] ; [ 3 22],[ 9.23076923 30.76923077] ; [ 5.76923077 19.23076923],0
s6,1,0.100124,2.703571,[44 41] ; [14 25],[39.75806452 45.24193548] ; [18.24193548 20.75806452],0
r2,1,0.106049,2.612129,[72 13] ; [29 11],[68.68 16.32] ; [32.32  7.68],0
a6,1,0.115687,2.474767,[51 34] ; [18 22],[46.92 38.08] ; [22.08 17.92],0
p8,1,0.141843,2.157846,[38 47] ; [12 27],[34.27419355 50.72580645] ; [15.72580645 23.27419355],0
n6,1,0.151279,2.059311,[56 29] ; [21 19],[52.36 32.64] ; [24.64 15.36],0
s5,1,0.164644,1.931042,[25 59] ; [ 7 32],[21.85365854 62.14634146] ; [10.14634146 28.85365854],0
a4,1,0.178828,1.807341,[20 65] ; [14 26],[23.12 61.88] ; [10.88 29.12],0
s7,1,0.194019,1.686833,[24 57] ; [ 7 31],[21.10084034 59.89915966] ; [ 9.89915966 28.10084034],0
u3,1,0.215292,1.535478,[23 20] ; [14  6],[25.25396825 17.74603175] ; [11.74603175  8.25396825],0
n5,1,0.246531,1.342854,[32 52] ; [11 29],[29.12903226 54.87096774] ; [13.87096774 26.12903226],0
s3,1,0.250782,1.318943,[39 46] ; [14 26],[36.04 48.96] ; [16.96 23.04],0
v1,1,0.252088,1.311698,[27 56] ; [ 9 31],[24.29268293 58.70731707] ; [11.70731707 28.29268293],0
a5,1,0.260219,1.267593,[41 44] ; [15 25],[38.08 46.92] ; [17.92 22.08],0
a7,1,0.260987,1.263511,[55 29] ; [22 18],[52.16129032 31.83870968] ; [24.83870968 15.16129032],0
a8,1,0.282762,1.153766,[ 6 74] ; [ 1 38],[ 4.70588235 75.29411765] ; [ 2.29411765 36.70588235],0
b5,1,0.297973,1.083246,[55 30] ; [22 18],[52.36 32.64] ; [24.64 15.36],0
v3,1,0.337228,0.920942,[ 6 77] ; [ 5 35],[ 7.42276423 75.57723577] ; [ 3.57723577 36.42276423],0
n2,1,0.378104,0.776859,[21  8] ; [14  9],[19.51923077  9.48076923] ; [15.48076923  7.51923077],0
s4,1,0.439373,0.597921,[20 65] ; [12 28],[21.76 63.24] ; [10.24 29.76],0
p1,1,0.50363,0.447279,[ 7 77] ; [ 2 38],[ 6.09677419 77.90322581] ; [ 2.90322581 37.09677419],0
d4,1,0.530874,0.392719,[62 23] ; [27 13],[60.52 24.48] ; [28.48 11.52],0
p3,1,0.540207,0.375156,[28 57] ; [11 29],[26.52 58.48] ; [12.48 27.52],0
a2,1,0.571792,0.319693,[ 6 79] ; [ 4 36],[ 6.8 78.2] ; [ 3.2 36.8],0
p4,1,0.639069,0.219962,[32 52] ; [17 23],[33.19354839 50.80645161] ; [15.80645161 24.19354839],0
p7,1,0.652364,0.202932,[40 39] ; [22 18],[41.15966387 37.84033613] ; [20.84033613 19.15966387],0
d5,1,0.658382,0.195495,[49 35] ; [25 15],[50.12903226 33.87096774] ; [23.87096774 16.12903226],0
p6,1,0.681424,0.168527,[18 65] ; [10 30],[18.89430894 64.10569106] ; [ 9.10569106 30.89430894],0
u1,1,0.695509,0.153186,[ 3 82] ; [ 2 38],[ 3.4 81.6] ; [ 1.6 38.4],0
n1,1,0.695711,0.152972,[ 9 20] ; [ 6 17],[ 8.36538462 20.63461538] ; [ 6.63461538 16.36538462],0
b4,1,0.829526,0.046358,[45 40] ; [22 18],[45.56 39.44] ; [21.44 18.56],0
a3,1,0.90135,0.015365,[41 43] ; [20 20],[41.32258065 42.67741935] ; [19.67741935 20.32258065],0
r1,1,0.926385,0.008537,[46 39] ; [22 18],[46.24 38.76] ; [21.76 18.24],0
a1,1,0.942795,0.005149,[ 4 81] ; [ 2 38],[ 4.08 80.92] ; [ 1.92 38.08],0
u2,1,0.951741,0.003663,[24 19] ; [11  9],[23.88888889 19.11111111] ; [11.11111111  8.88888889],0
d1,1,0.974378,0.001032,[30 55] ; [14 26],[29.92 55.08] ; [14.08 25.92],0
n3,1,0.981991,0.00051,[19 10] ; [15  8],[18.96153846 10.03846154] ; [15.03846154  7.96153846],0
