Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.00096,10.903319,[45 16] ; [ 8 15],[38.48809524 22.51190476] ; [14.51190476  8.48809524],1
n6,1,0.001119,10.620102,[54  9] ; [12 11],[48.34883721 14.65116279] ; [17.65116279  5.34883721],0
p10,1,0.001133,10.597186,[54  7] ; [13 10],[48.6547619 12.3452381] ; [18.3452381  4.6547619],0
d5,1,0.002266,9.320933,[53 10] ; [12 11],[47.61627907 15.38372093] ; [17.38372093  5.61627907],0
p6,1,0.002583,9.080771,[27 33] ; [ 2 20],[21.2195122 38.7804878] ; [ 7.7804878 14.2195122],0
r3,1,0.005566,7.685623,[56  6] ; [15  8],[51.78823529 10.21176471] ; [19.21176471  3.78823529],0
a3,1,0.006092,7.522774,[45 18] ; [ 9 14],[39.55813953 23.44186047] ; [14.44186047  8.55813953],0
p7,1,0.014035,6.033762,[40 22] ; [ 8 15],[35.01176471 26.98823529] ; [12.98823529 10.01176471],0
d1,1,0.030159,4.700213,[33 30] ; [ 6 17],[28.56976744 34.43023256] ; [10.43023256 12.56976744],0
s6,1,0.031444,4.628571,[44 16] ; [10 11],[40. 20.] ; [14.  7.],0
n4,1,0.031833,4.607485,[48 15] ; [12 11],[43.95348837 19.04651163] ; [16.04651163  6.95348837],0
n5,1,0.034141,4.487636,[50 13] ; [13 10],[46.15116279 16.84883721] ; [16.84883721  6.15116279],0
r4,1,0.036502,4.3735,[43 20] ; [10 13],[38.8255814 24.1744186] ; [14.1744186  8.8255814],0
a6,1,0.066335,3.371461,[36 27] ; [ 8 15],[32.23255814 30.76744186] ; [11.76744186 11.23255814],0
p8,1,0.071105,3.257328,[32 29] ; [ 7 16],[28.32142857 32.67857143] ; [10.67857143 12.32142857],0
p9,1,0.086144,2.944987,[56  7] ; [17  6],[53.47674419  9.52325581] ; [19.52325581  3.47674419],0
d4,1,0.126303,2.337361,[51 12] ; [15  8],[48.34883721 14.65116279] ; [17.65116279  5.34883721],0
a5,1,0.126596,2.333752,[39 24] ; [10 13],[35.89534884 27.10465116] ; [13.10465116  9.89534884],0
b4,1,0.126596,2.333752,[39 24] ; [10 13],[35.89534884 27.10465116] ; [13.10465116  9.89534884],0
p2,1,0.136301,2.219225,[50 12] ; [15  8],[47.41176471 14.58823529] ; [17.58823529  5.41176471],0
v4,1,0.141059,2.166366,[56  6] ; [18  5],[53.97647059  8.02352941] ; [20.02352941  2.97647059],0
p3,1,0.197232,1.662757,[38 24] ; [10 12],[35.42857143 26.57142857] ; [12.57142857  9.42857143],0
p4,1,0.209557,1.574484,[39 23] ; [11 12],[36.47058824 25.52941176] ; [13.52941176  9.47058824],0
s8,1,0.245113,1.350946,[25 38] ; [ 6 17],[22.70930233 40.29069767] ; [ 8.29069767 14.70930233],0
v3,1,0.293579,1.103134,[29 32] ; [ 8 15],[26.86904762 34.13095238] ; [10.13095238 12.86904762],0
b1,1,0.320927,0.985167,[28 35] ; [13 10],[30.03488372 32.96511628] ; [10.96511628 12.03488372],0
s7,1,0.408803,0.682279,[26 32] ; [ 8 15],[24.34567901 33.65432099] ; [ 9.65432099 13.34567901],0
s5,1,0.430665,0.621029,[17 42] ; [ 8 13],[18.4375 40.5625] ; [ 6.5625 14.4375],0
p1,1,0.470481,0.520845,[ 5 58] ; [ 3 20],[ 5.86046512 57.13953488] ; [ 2.13953488 20.86046512],0
n3,1,0.48384,0.490196,[11  6] ; [4 4],[10.2  6.8] ; [4.8 3.2],0
u1,1,0.490181,0.476129,[ 3 60] ; [ 2 21],[ 3.6627907 59.3372093] ; [ 1.3372093 21.6627907],0
a1,1,0.490181,0.476129,[ 3 60] ; [ 2 21],[ 3.6627907 59.3372093] ; [ 1.3372093 21.6627907],0
s1,1,0.490181,0.476129,[ 3 60] ; [ 2 21],[ 3.6627907 59.3372093] ; [ 1.3372093 21.6627907],0
a4,1,0.521423,0.411079,[20 43] ; [ 9 14],[21.24418605 41.75581395] ; [ 7.75581395 15.24418605],0
s3,1,0.524712,0.404621,[35 28] ; [11 12],[33.69767442 29.30232558] ; [12.30232558 10.69767442],0
u2,1,0.60524,0.267165,[10  8] ; [6 7],[9.29032258 8.70967742] ; [6.70967742 6.29032258],0
a2,1,0.636945,0.22276,[ 6 57] ; [ 3 20],[ 6.59302326 56.40697674] ; [ 2.40697674 20.59302326],0
s4,1,0.651749,0.203702,[11 52] ; [ 5 18],[11.72093023 51.27906977] ; [ 4.27906977 18.72093023],0
n1,1,0.653329,0.201728,[8 9] ; [3 5],[7.48 9.52] ; [3.52 4.48],0
u3,1,0.687922,0.161345,[9 9] ; [8 6],[9.5625 8.4375] ; [7.4375 6.5625],0
p5,1,0.745757,0.105131,[10 53] ; [ 3 20],[ 9.52325581 53.47674419] ; [ 3.47674419 19.52325581],0
d3,1,0.751133,0.100581,[38 25] ; [13 10],[37.36046512 25.63953488] ; [13.63953488  9.36046512],0
r2,1,0.812361,0.05635,[49 12] ; [19  4],[49.38095238 11.61904762] ; [18.61904762  4.38095238],0
b5,1,0.823766,0.049597,[40 23] ; [14  9],[39.55813953 23.44186047] ; [14.44186047  8.55813953],0
a7,1,0.823766,0.049597,[40 23] ; [14  9],[39.55813953 23.44186047] ; [14.44186047  8.55813953],0
d2,1,0.882737,0.021756,[23 40] ; [ 8 15],[22.70930233 40.29069767] ; [ 8.29069767 14.70930233],0
a8,1,0.908534,0.013199,[ 3 55] ; [ 1 21],[ 2.9 55.1] ; [ 1.1 20.9],0
s2,1,0.909759,0.012847,[32 31] ; [12 11],[32.23255814 30.76744186] ; [11.76744186 11.23255814],0
b2,1,0.929158,0.007904,[15 28] ; [3 6],[14.88461538 28.11538462] ; [3.11538462 5.88461538],0
