Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,38.75255,[15 48] ; [34  5],[30.26470588 32.73529412] ; [18.73529412 20.26470588],1
s6,1,0.0,28.927832,[20 46] ; [33  6],[33.31428571 32.68571429] ; [19.68571429 19.31428571],1
s7,1,0.000182,14.005217,[18 44] ; [25 12],[26.92929293 35.07070707] ; [16.07070707 20.92929293],1
s4,1,0.004483,8.077181,[ 5 61] ; [11 28],[10.05714286 55.94285714] ; [ 5.94285714 33.05714286],0
s8,1,0.00647,7.414543,[18 48] ; [21 18],[24.51428571 41.48571429] ; [14.48571429 24.51428571],0
s5,1,0.00681,7.322461,[ 6 56] ; [11 24],[10.86597938 51.13402062] ; [ 6.13402062 28.86597938],0
u1,1,0.010528,6.543315,[ 4 62] ; [ 9 30],[ 8.17142857 57.82857143] ; [ 4.82857143 34.17142857],0
p10,1,0.025893,4.963118,[34 31] ; [29 10],[39.375 25.625] ; [23.625 15.375],0
b3,1,0.048492,3.892852,[19 26] ; [ 5 21],[15.21126761 29.78873239] ; [ 8.78873239 17.21126761],0
b2,1,0.048492,3.892852,[19 26] ; [ 5 21],[15.21126761 29.78873239] ; [ 8.78873239 17.21126761],0
a5,1,0.088447,2.902415,[44 22] ; [32  7],[47.77142857 18.22857143] ; [28.22857143 10.77142857],0
d2,1,0.09079,2.860309,[26 40] ; [22 17],[30.17142857 35.82857143] ; [17.82857143 21.17142857],0
p11,1,0.100132,2.703433,[52 14] ; [25 14],[48.4 17.6] ; [28.6 10.4],0
u3,1,0.105552,2.619591,[ 7 12] ; [8 4],[9.19354839 9.80645161] ; [5.80645161 6.19354839],0
a2,1,0.106143,2.610723,[10 56] ; [11 28],[13.2 52.8] ; [ 7.8 31.2],0
s1,1,0.123224,2.375856,[ 2 64] ; [ 4 35],[ 3.77142857 62.22857143] ; [ 2.22857143 36.77142857],0
p4,1,0.126184,2.338831,[25 40] ; [21 18],[28.75 36.25] ; [17.25 21.75],0
p1,1,0.128452,2.311111,[ 7 58] ; [ 1 38],[ 5. 60.] ; [ 3. 36.],0
r4,1,0.137761,2.202797,[54 12] ; [36  3],[56.57142857  9.42857143] ; [33.42857143  5.57142857],0
a7,1,0.205447,1.60322,[43 23] ; [30  9],[45.88571429 20.11428571] ; [27.11428571 11.88571429],0
a6,1,0.225191,1.470983,[45 21] ; [22 17],[42.11428571 23.88571429] ; [24.88571429 14.11428571],0
v4,1,0.229223,1.445674,[57  8] ; [37  2],[58.75  6.25] ; [35.25  3.75],0
n6,1,0.246191,1.344792,[40 26] ; [28 11],[42.74285714 23.25714286] ; [25.25714286 13.74285714],0
d4,1,0.274896,1.192151,[54 12] ; [35  4],[55.94285714 10.05714286] ; [33.05714286  5.94285714],0
d5,1,0.281193,1.161314,[50 16] ; [33  6],[52.17142857 13.82857143] ; [30.82857143  8.17142857],0
b5,1,0.37281,0.794278,[43 23] ; [22 17],[40.85714286 25.14285714] ; [24.14285714 14.85714286],0
n2,1,0.412494,0.671601,[13  6] ; [3 3],[12.16  6.84] ; [3.84 2.16],0
d1,1,0.432381,0.616421,[32 34] ; [22 17],[33.94285714 32.05714286] ; [20.05714286 18.94285714],0
p3,1,0.435827,0.607244,[27 39] ; [19 20],[28.91428571 37.08571429] ; [17.08571429 21.91428571],0
p6,1,0.438398,0.600471,[18 45] ; [14 25],[19.76470588 43.23529412] ; [12.23529412 26.76470588],0
a8,1,0.501157,0.452486,[ 8 53] ; [ 3 32],[ 6.98958333 54.01041667] ; [ 4.01041667 30.98958333],0
a4,1,0.530872,0.392722,[28 38] ; [19 20],[29.54285714 36.45714286] ; [17.45714286 21.54285714],0
p9,1,0.549586,0.358059,[43 22] ; [28 11],[44.375 20.625] ; [26.625 12.375],0
a1,1,0.587393,0.294433,[ 2 64] ; [ 2 37],[ 2.51428571 63.48571429] ; [ 1.48571429 37.51428571],0
p12,1,0.598454,0.277333,[ 2 63] ; [ 2 37],[ 2.5 62.5] ; [ 1.5 37.5],0
p8,1,0.599038,0.276449,[25 40] ; [13 26],[23.75 41.25] ; [14.25 24.75],0
r2,1,0.600079,0.274876,[56  7] ; [35  3],[56.76237624  6.23762376] ; [34.23762376  3.76237624],0
p2,1,0.601523,0.272706,[52 14] ; [29 10],[50.91428571 15.08571429] ; [30.08571429  8.91428571],0
p5,1,0.608321,0.262627,[ 3 63] ; [ 1 38],[ 2.51428571 63.48571429] ; [ 1.48571429 37.51428571],0
d3,1,0.609384,0.261072,[46 20] ; [29 10],[47.14285714 18.85714286] ; [27.85714286 11.14285714],0
v1,1,0.645096,0.212139,[24 40] ; [16 22],[25.09803922 38.90196078] ; [14.90196078 23.09803922],0
b1,1,0.658513,0.195335,[30 36] ; [16 23],[28.91428571 37.08571429] ; [17.08571429 21.91428571],0
v2,1,0.745417,0.105423,[34 30] ; [22 17],[34.7961165 29.2038835] ; [21.2038835 17.7961165],0
v3,1,0.748638,0.102679,[18 45] ; [12 26],[18.71287129 44.28712871] ; [11.28712871 26.71287129],0
b4,1,0.753466,0.098641,[42 24] ; [26 13],[42.74285714 23.25714286] ; [25.25714286 13.74285714],0
n1,1,0.814871,0.054825,[ 4 15] ; [1 5],[ 3.8 15.2] ; [1.2 4.8],0
