Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,6e-06,20.466861,[58 67] ; [37  6],[70.68452381 54.31547619] ; [24.31547619 18.68452381],1
s2,1,0.000159,14.26307,[43 82] ; [29 14],[53.57142857 71.42857143] ; [18.42857143 24.57142857],1
s7,1,0.001843,9.699604,[40 80] ; [25 16],[48.44720497 71.55279503] ; [16.55279503 24.44720497],0
p12,1,0.002117,9.445051,[  5 119] ; [ 8 35],[  9.65269461 114.34730539] ; [ 3.34730539 39.65269461],0
p5,1,0.007708,7.100138,[ 10 115] ; [10 33],[ 14.88095238 110.11904762] ; [ 5.11904762 37.88095238],0
r4,1,0.009774,6.675596,[103  23] ; [42  1],[108.10650888  17.89349112] ; [36.89349112  6.10650888],0
p3,1,0.014473,5.979573,[41 85] ; [23 20],[47.71597633 78.28402367] ; [16.28402367 26.71597633],0
p9,1,0.01553,5.855365,[91 34] ; [39  4],[96.72619048 28.27380952] ; [33.27380952  9.72619048],0
s8,1,0.017732,5.622474,[34 92] ; [20 23],[40.26035503 85.73964497] ; [13.73964497 29.26035503],0
s4,1,0.022276,5.224127,[ 14 111] ; [11 32],[ 18.60119048 106.39880952] ; [ 6.39880952 36.60119048],0
p8,1,0.033476,4.521278,[55 70] ; [27 16],[61.01190476 63.98809524] ; [20.98809524 22.01190476],0
p10,1,0.037883,4.310263,[86 38] ; [36  6],[91.13253012 32.86746988] ; [30.86746988 11.13253012],0
r1,1,0.055535,3.665958,[83 43] ; [35  8],[87.97633136 38.02366864] ; [30.02366864 12.97633136],0
p6,1,0.057982,3.594178,[34 91] ; [18 24],[38.92215569 86.07784431] ; [13.07784431 28.92215569],0
a5,1,0.070572,3.269666,[59 67] ; [27 16],[64.1183432 61.8816568] ; [21.8816568 21.1183432],0
s3,1,0.07851,3.095476,[65 60] ; [29 14],[69.94047619 55.05952381] ; [24.05952381 18.94047619],0
n6,1,0.084858,2.969302,[95 30] ; [38  5],[98.95833333 26.04166667] ; [34.04166667  8.95833333],0
r2,1,0.088615,2.899357,[107  18] ; [41  2],[110.11904762  14.88095238] ; [37.88095238  5.11904762],0
p7,1,0.107212,2.594839,[68 54] ; [30 13],[72.46060606 49.53939394] ; [25.53939394 17.46060606],0
p1,1,0.111436,2.533738,[ 12 114] ; [ 8 35],[ 14.9112426 111.0887574] ; [ 5.0887574 37.9112426],0
u3,1,0.148048,2.092244,[29 32] ; [15  8],[31.95238095 29.04761905] ; [12.04761905 10.95238095],0
p4,1,0.176586,1.826122,[53 71] ; [23 19],[56.77108434 67.22891566] ; [19.22891566 22.77108434],0
v4,1,0.19111,1.709039,[114  10] ; [42  1],[115.83233533   8.16766467] ; [40.16766467  2.83233533],0
n5,1,0.271855,1.207362,[81 43] ; [32 11],[83.90419162 40.09580838] ; [29.09580838 13.90419162],0
b4,1,0.273127,1.200975,[67 59] ; [27 16],[70.08284024 55.91715976] ; [23.91715976 19.08284024],0
u1,1,0.279964,1.167264,[  4 122] ; [ 3 40],[  5.21893491 120.78106509] ; [ 1.78106509 41.21893491],0
a7,1,0.31199,1.022235,[74 52] ; [29 14],[76.79289941 49.20710059] ; [26.20710059 16.79289941],0
v3,1,0.333312,0.935987,[39 85] ; [17 26],[41.58083832 82.41916168] ; [14.41916168 28.58083832],0
n2,1,0.350413,0.871962,[26  6] ; [6 3],[24.97560976  7.02439024] ; [7.02439024 1.97560976],0
b2,1,0.374388,0.78905,[25 50] ; [10 13],[26.78571429 48.21428571] ; [ 8.21428571 14.78571429],0
b3,1,0.374388,0.78905,[25 50] ; [10 13],[26.78571429 48.21428571] ; [ 8.21428571 14.78571429],0
d2,1,0.383963,0.757973,[27 99] ; [12 31],[29.07692308 96.92307692] ; [ 9.92307692 33.07692308],0
d1,1,0.389793,0.739588,[  7 119] ; [ 4 39],[  8.20118343 117.79881657] ; [ 2.79881657 40.20118343],0
b5,1,0.432465,0.616195,[76 50] ; [23 20],[73.81065089 52.18934911] ; [25.18934911 17.81065089],0
d4,1,0.486227,0.484866,[65 60] ; [25 18],[66.96428571 58.03571429] ; [23.03571429 19.96428571],0
p2,1,0.498904,0.457267,[90 36] ; [33 10],[91.70414201 34.29585799] ; [31.29585799 11.70414201],0
n4,1,0.55316,0.351687,[78 47] ; [29 14],[79.61309524 45.38690476] ; [27.38690476 15.61309524],0
v1,1,0.569234,0.323966,[56 67] ; [17 25],[54.41818182 68.58181818] ; [18.58181818 23.41818182],0
v2,1,0.57595,0.312828,[54 66] ; [21 21],[55.55555556 64.44444444] ; [19.44444444 22.55555556],0
a2,1,0.646338,0.210548,[  9 117] ; [ 4 39],[  9.69230769 116.30769231] ; [ 3.30769231 39.69230769],0
a1,1,0.651414,0.204122,[  4 122] ; [ 2 41],[  4.47337278 121.52662722] ; [ 1.52662722 41.47337278],0
n3,1,0.656178,0.1982,[23  8] ; [6 3],[22.475  8.525] ; [6.525 2.475],0
u2,1,0.69162,0.157337,[31 29] ; [13 10],[31.80722892 28.19277108] ; [12.19277108 10.80722892],0
a3,1,0.72158,0.126984,[64 62] ; [20 22],[63. 63.] ; [21. 21.],0
n1,1,0.73007,0.119048,[10 22] ; [2 6],[ 9.6 22.4] ; [2.4 5.6],0
a4,1,0.757269,0.095524,[26 99] ; [ 8 35],[25.29761905 99.70238095] ; [ 8.70238095 34.29761905],0
p11,1,0.777283,0.080011,[97 29] ; [34  9],[97.66863905 28.33136095] ; [33.33136095  9.66863905],0
s1,1,0.79547,0.067192,[  7 116] ; [ 2 41],[  6.6686747 116.3313253] ; [ 2.3313253 40.6686747],0
d3,1,0.807978,0.059066,[53 73] ; [19 24],[53.68047337 72.31952663] ; [18.31952663 24.68047337],0
a6,1,0.84159,0.039944,[74 52] ; [26 17],[74.55621302 51.44378698] ; [25.44378698 17.55621302],0
a8,1,0.863916,0.029375,[ 15 101] ; [ 5 37],[ 14.6835443 101.3164557] ; [ 5.3164557 36.6835443],0
b1,1,0.945873,0.004609,[52 74] ; [18 25],[52.18934911 73.81065089] ; [17.81065089 25.18934911],0
