Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,7.1e-05,15.786681,[4 5] ; [90  9],[7.83333333 1.16666667] ; [86.16666667 12.83333333],1
p10,1,0.000252,13.398438,[3 6] ; [81 15],[7.2 1.8] ; [76.8 19.2],1
s1,1,0.025657,4.978956,[2 7] ; [ 4 92],[0.51428571 8.48571429] ; [ 5.48571429 90.51428571],0
r2,1,0.028001,4.828025,[6 3] ; [89  9],[7.99065421 1.00934579] ; [87.00934579 10.99065421],0
d3,1,0.033409,4.524688,[1 8] ; [47 51],[4.03738318 4.96261682] ; [43.96261682 54.03738318],0
p9,1,0.038379,4.288143,[5 4] ; [82 16],[7.31775701 1.68224299] ; [79.68224299 18.31775701],0
v4,1,0.046827,3.951582,[7 2] ; [93  5],[8.41121495 0.58878505] ; [91.58878505  6.41121495],0
s8,1,0.052135,3.771429,[1 8] ; [44 55],[3.75 5.25] ; [41.25 57.75],0
r1,1,0.062901,3.459192,[4 5] ; [73 26],[6.41666667 2.58333333] ; [70.58333333 28.41666667],0
p11,1,0.07645,3.138805,[5 4] ; [80 19],[7.08333333 1.91666667] ; [77.91666667 21.08333333],0
a1,1,0.112078,2.524675,[1 8] ; [ 2 97],[0.25 8.75] ; [ 2.75 96.25],0
s3,1,0.117475,2.450663,[3 4] ; [69 28],[4.84615385 2.15384615] ; [67.15384615 29.84615385],0
a3,1,0.126866,2.330441,[6 2] ; [46 52],[3.9245283 4.0754717] ; [48.0754717 49.9245283],0
p6,1,0.139135,2.1875,[1 8] ; [34 62],[3. 6.] ; [32. 64.],0
p2,1,0.165611,1.922228,[5 4] ; [75 23],[6.72897196 2.27102804] ; [73.27102804 24.72897196],0
d4,1,0.169301,1.889124,[3 6] ; [56 42],[4.96261682 4.03738318] ; [54.03738318 43.96261682],0
s7,1,0.184757,1.758937,[3 6] ; [53 41],[4.89320388 4.10679612] ; [51.10679612 42.89320388],0
a7,1,0.213322,1.548736,[4 5] ; [64 34],[5.71962617 3.28037383] ; [62.28037383 35.71962617],0
a6,1,0.213322,1.548736,[4 5] ; [64 34],[5.71962617 3.28037383] ; [62.28037383 35.71962617],0
p4,1,0.244207,1.356142,[3 6] ; [52 45],[4.66981132 4.33018868] ; [50.33018868 46.66981132],0
n2,1,0.28497,1.143235,[2 2] ; [16  5],[2.88 1.12] ; [15.12  5.88],0
p7,1,0.319138,0.992477,[4 5] ; [59 37],[5.4 3.6] ; [57.6 38.4],0
d2,1,0.402348,0.701299,[3 6] ; [21 78],[2. 7.] ; [22. 77.],0
s4,1,0.402348,0.701299,[3 6] ; [21 78],[2. 7.] ; [22. 77.],0
p1,1,0.458872,0.548644,[2 7] ; [13 85],[1.26168224 7.73831776] ; [13.73831776 84.26168224],0
b3,1,0.492557,0.470935,[1 4] ; [19 35],[1.69491525 3.30508475] ; [18.30508475 35.69491525],0
b2,1,0.492557,0.470935,[1 4] ; [19 35],[1.69491525 3.30508475] ; [18.30508475 35.69491525],0
v3,1,0.505742,0.442867,[2 6] ; [36 62],[2.86792453 5.13207547] ; [35.13207547 62.86792453],0
n3,1,0.524471,0.405093,[2 2] ; [14  7],[2.56 1.44] ; [13.44  7.56],0
b4,1,0.557383,0.344256,[6 3] ; [56 43],[5.16666667 3.83333333] ; [56.83333333 42.16666667],0
n4,1,0.570814,0.321322,[7 2] ; [68 31],[6.25 2.75] ; [68.75 30.25],0
a5,1,0.579191,0.307545,[4 5] ; [53 45],[4.79439252 4.20560748] ; [52.20560748 45.79439252],0
p3,1,0.579644,0.30681,[3 6] ; [42 56],[3.78504673 5.21495327] ; [41.21495327 56.78504673],0
p5,1,0.63221,0.229075,[1 8] ; [17 81],[1.51401869 7.48598131] ; [16.48598131 81.51401869],0
v1,1,0.640407,0.21821,[5 4] ; [46 51],[4.33018868 4.66981132] ; [46.66981132 50.33018868],0
s5,1,0.747052,0.104025,[4 5] ; [37 58],[3.54807692 5.45192308] ; [37.45192308 57.54807692],0
s2,1,0.804359,0.06136,[5 4] ; [58 39],[5.3490566 3.6509434] ; [57.6509434 39.3490566],0
b1,1,0.813286,0.055785,[4 5] ; [40 59],[3.66666667 5.33333333] ; [40.33333333 58.66666667],0
n6,1,0.825932,0.048365,[7 2] ; [80 19],[7.25 1.75] ; [79.75 19.25],0
n5,1,0.840693,0.040404,[7 2] ; [74 25],[6.75 2.25] ; [74.25 24.75],0
n1,1,0.840825,0.040336,[1 3] ; [ 6 14],[1.16666667 2.83333333] ; [ 5.83333333 14.16666667],0
a4,1,0.880629,0.022552,[1 7] ; [14 83],[1.14285714 6.85714286] ; [13.85714286 83.14285714],0
u2,1,0.891273,0.018685,[2 1] ; [32 19],[1.88888889 1.11111111] ; [32.11111111 18.88888889],0
b5,1,0.906585,0.01377,[5 4] ; [57 42],[5.16666667 3.83333333] ; [56.83333333 42.16666667],0
p8,1,0.973838,0.001075,[5 4] ; [55 43],[5.04672897 3.95327103] ; [54.95327103 43.04672897],0
p12,1,0.991769,0.000106,[1 8] ; [11 87],[1.00934579 7.99065421] ; [10.99065421 87.00934579],0
