Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.389841,[ 4 26] ; [38 19],[14.48275862 15.51724138] ; [27.51724138 29.48275862],1
s3,1,0.000227,13.593811,[ 7 23] ; [37 20],[15.17241379 14.82758621] ; [28.82758621 28.17241379],1
p6,1,0.000422,12.432525,[ 1 28] ; [22 34],[ 7.84705882 21.15294118] ; [15.15294118 40.84705882],1
s8,1,0.000474,12.214182,[ 4 26] ; [29 27],[11.51162791 18.48837209] ; [21.48837209 34.51162791],1
s7,1,0.001232,10.44226,[ 6 24] ; [31 24],[13.05882353 16.94117647] ; [23.94117647 31.05882353],0
s5,1,0.002269,9.317706,[ 3 26] ; [24 32],[ 9.21176471 19.78823529] ; [17.78823529 38.21176471],0
r4,1,0.002935,8.847434,[18 12] ; [50  7],[23.44827586  6.55172414] ; [44.55172414 12.44827586],0
v1,1,0.018269,5.570197,[ 8 21] ; [31 26],[13.15116279 15.84883721] ; [25.84883721 31.15116279],0
b5,1,0.052979,3.744589,[13 17] ; [37 20],[17.24137931 12.75862069] ; [32.75862069 24.24137931],0
p9,1,0.063073,3.454691,[15 14] ; [41 16],[18.88372093 10.11627907] ; [37.11627907 19.88372093],0
r1,1,0.076472,3.13834,[19 11] ; [46 11],[22.4137931  7.5862069] ; [42.5862069 14.4137931],0
s1,1,0.084708,2.972169,[ 3 27] ; [ 1 55],[ 1.39534884 28.60465116] ; [ 2.60465116 53.39534884],0
u1,1,0.116223,2.467491,[ 2 28] ; [11 46],[ 4.48275862 25.51724138] ; [ 8.51724138 48.48275862],0
b4,1,0.177582,1.817741,[15 15] ; [37 20],[17.93103448 12.06896552] ; [34.06896552 22.93103448],0
u2,1,0.19043,1.714286,[2 5] ; [12  9],[3.5 3.5] ; [10.5 10.5],0
d3,1,0.198706,1.651861,[15 15] ; [36 20],[17.79069767 12.20930233] ; [33.20930233 22.79069767],0
p7,1,0.199762,1.64411,[10 19] ; [27 28],[12.77380952 16.22619048] ; [24.22619048 30.77380952],0
p1,1,0.216274,1.528922,[ 3 27] ; [ 2 55],[ 1.72413793 28.27586207] ; [ 3.27586207 53.72413793],0
p4,1,0.220738,1.499566,[ 8 21] ; [23 33],[10.57647059 18.42352941] ; [20.42352941 35.57647059],0
v3,1,0.270904,1.212164,[11 19] ; [27 28],[13.41176471 16.58823529] ; [24.58823529 30.41176471],0
r2,1,0.280766,1.163379,[24  4] ; [53  4],[25.36470588  2.63529412] ; [51.63529412  5.36470588],0
s4,1,0.289755,1.120761,[ 5 25] ; [15 41],[ 6.97674419 23.02325581] ; [13.02325581 42.97674419],0
a3,1,0.338583,0.915789,[22  8] ; [36 21],[20. 10.] ; [38. 19.],0
n6,1,0.377862,0.777645,[21  9] ; [44 12],[22.6744186  7.3255814] ; [42.3255814 13.6744186],0
r3,1,0.407241,0.686842,[27  3] ; [54  3],[27.93103448  2.06896552] ; [53.06896552  3.93103448],0
v4,1,0.412718,0.670958,[25  5] ; [51  6],[26.20689655  3.79310345] ; [49.79310345  7.20689655],0
a8,1,0.4218,0.645293,[ 2 25] ; [ 7 45],[ 3.07594937 23.92405063] ; [ 5.92405063 46.07594937],0
b2,1,0.496972,0.461396,[ 7 11] ; [11 26],[ 5.89090909 12.10909091] ; [12.10909091 24.89090909],0
b3,1,0.496972,0.461396,[ 7 11] ; [11 26],[ 5.89090909 12.10909091] ; [12.10909091 24.89090909],0
p10,1,0.516147,0.421585,[19 11] ; [40 17],[20.34482759  9.65517241] ; [38.65517241 18.34482759],0
n4,1,0.516147,0.421585,[19 11] ; [40 17],[20.34482759  9.65517241] ; [38.65517241 18.34482759],0
a1,1,0.553736,0.350666,[ 2 28] ; [ 6 51],[ 2.75862069 27.24137931] ; [ 5.24137931 51.75862069],0
d5,1,0.583683,0.300317,[22  8] ; [44 12],[23.02325581  6.97674419] ; [42.97674419 13.02325581],0
a2,1,0.611449,0.25807,[ 4 26] ; [10 47],[ 4.82758621 25.17241379] ; [ 9.17241379 47.82758621],0
d4,1,0.647257,0.209376,[24  6] ; [47  9],[24.76744186  5.23255814] ; [46.23255814  9.76744186],0
p3,1,0.66479,0.187757,[10 19] ; [22 34],[10.91764706 18.08235294] ; [21.08235294 34.91764706],0
b1,1,0.683476,0.166239,[14 16] ; [24 33],[13.10344828 16.89655172] ; [24.89655172 32.10344828],0
a6,1,0.715743,0.132608,[17 13] ; [34 22],[17.79069767 12.20930233] ; [33.20930233 22.79069767],0
a7,1,0.736686,0.11306,[20 10] ; [40 17],[20.68965517  9.31034483] ; [39.31034483 17.68965517],0
d2,1,0.768196,0.086869,[14 16] ; [28 28],[14.65116279 15.34883721] ; [27.34883721 28.65116279],0
n5,1,0.772936,0.083254,[18 12] ; [36 21],[18.62068966 11.37931034] ; [35.37931034 21.62068966],0
a4,1,0.788338,0.072076,[13 17] ; [23 34],[12.4137931 17.5862069] ; [23.5862069 33.4137931],0
u3,1,0.793475,0.06854,[5 3] ; [12  9],[4.68965517 3.31034483] ; [12.31034483  8.68965517],0
n1,1,0.837829,0.04189,[3 9] ; [ 4 10],[3.23076923 8.76923077] ; [ 3.76923077 10.23076923],0
a5,1,0.850042,0.035745,[21  9] ; [41 16],[21.37931034  8.62068966] ; [40.62068966 16.37931034],0
p8,1,0.879731,0.022895,[ 9 21] ; [18 39],[ 9.31034483 20.68965517] ; [17.68965517 39.31034483],0
p11,1,0.898525,0.016263,[18 12] ; [35 22],[18.27586207 11.72413793] ; [34.72413793 22.27586207],0
n2,1,0.900552,0.015616,[9 4] ; [10  4],[9.14814815 3.85185185] ; [9.85185185 4.14814815],0
n3,1,0.951159,0.003752,[7 5] ; [8 6],[6.92307692 5.07692308] ; [8.07692308 5.92307692],0
d1,1,0.962477,0.002213,[17 13] ; [32 25],[16.89655172 13.10344828] ; [32.10344828 24.89655172],0
u4,1,0.965999,0.001817,[ 1 29] ; [ 2 55],[ 1.03448276 28.96551724] ; [ 1.96551724 55.03448276],0
