Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,29.824427,[ 9 36] ; [64 28],[23.97810219 21.02189781] ; [49.02189781 42.97810219],1
s3,1,0.0,26.739639,[13 32] ; [69 23],[26.93430657 18.06569343] ; [55.06569343 36.93430657],1
s2,1,1e-06,25.037842,[12 33] ; [66 26],[25.62043796 19.37956204] ; [52.37956204 39.62043796],1
s7,1,1.1e-05,19.306539,[11 31] ; [61 30],[22.73684211 19.26315789] ; [49.26315789 41.73684211],1
s5,1,0.000341,12.831713,[ 9 36] ; [47 43],[18.66666667 26.33333333] ; [37.33333333 52.66666667],1
p6,1,0.007979,7.038116,[ 8 35] ; [37 51],[14.77099237 28.22900763] ; [30.22900763 57.77099237],0
r4,1,0.024121,5.085924,[32 13] ; [80 12],[36.78832117  8.21167883] ; [75.21167883 16.78832117],0
p3,1,0.032061,4.595242,[16 28] ; [51 40],[21.83703704 22.16296296] ; [45.16296296 45.83703704],0
n4,1,0.032825,4.554859,[31 14] ; [77 14],[35.73529412  9.26470588] ; [72.26470588 18.73529412],0
d5,1,0.045597,3.996418,[29 16] ; [73 18],[33.75 11.25] ; [68.25 22.75],0
r2,1,0.048708,3.885405,[37  7] ; [85  5],[40.05970149  3.94029851] ; [81.94029851  8.05970149],0
d3,1,0.049909,3.844518,[15 30] ; [47 45],[20.3649635 24.6350365] ; [41.6350365 50.3649635],0
p9,1,0.065575,3.390459,[34 11] ; [80 11],[37.72058824  7.27941176] ; [76.27941176 14.72058824],0
s1,1,0.076416,3.139535,[ 4 41] ; [ 2 88],[ 2. 43.] ; [ 4. 86.],0
n6,1,0.08894,2.893451,[30 14] ; [74 17],[33.8962963 10.1037037] ; [70.1037037 20.8962963],0
v3,1,0.096828,2.757023,[17 27] ; [48 41],[21.5037594 22.4962406] ; [43.4962406 45.5037594],0
v4,1,0.10506,2.627003,[38  6] ; [86  5],[40.41481481  3.58518519] ; [83.58518519  7.41481481],0
r3,1,0.110084,2.55301,[39  6] ; [87  5],[41.38686131  3.61313869] ; [84.61313869  7.38686131],0
b1,1,0.114682,2.488485,[18 27] ; [50 42],[22.33576642 22.66423358] ; [45.66423358 46.33576642],0
d4,1,0.115406,2.47858,[33 12] ; [77 14],[36.39705882  8.60294118] ; [73.60294118 17.39705882],0
b4,1,0.146854,2.104633,[21 24] ; [55 37],[24.96350365 20.03649635] ; [51.03649635 40.96350365],0
p4,1,0.146934,2.103801,[20 24] ; [54 38],[23.94117647 20.05882353] ; [50.05882353 41.94117647],0
n3,1,0.150451,2.067669,[12  2] ; [12  7],[10.18181818  3.81818182] ; [13.81818182  5.18181818],0
a8,1,0.260991,1.263491,[ 3 40] ; [12 76],[ 4.92366412 38.07633588] ; [10.07633588 77.92366412],0
b5,1,0.332378,0.939611,[20 25] ; [49 43],[22.66423358 22.33576642] ; [46.33576642 45.66423358],0
r1,1,0.345189,0.891066,[33 12] ; [74 18],[35.1459854  9.8540146] ; [71.8540146 20.1459854],0
p10,1,0.397702,0.715263,[34 10] ; [75 15],[35.79104478  8.20895522] ; [73.20895522 16.79104478],0
a2,1,0.430484,0.621518,[ 3 42] ; [10 82],[ 4.27007299 40.72992701] ; [ 8.72992701 83.27007299],0
p5,1,0.513588,0.426751,[ 5 39] ; [14 76],[ 6.23880597 37.76119403] ; [12.76119403 77.23880597],0
n1,1,0.521692,0.410547,[7 6] ; [13  7],[7.87878788 5.12121212] ; [12.12121212  7.87878788],0
s4,1,0.543461,0.369163,[ 6 39] ; [16 76],[ 7.22627737 37.77372263] ; [14.77372263 77.22627737],0
d2,1,0.544845,0.366633,[24 21] ; [44 48],[22.33576642 22.66423358] ; [45.66423358 46.33576642],0
n2,1,0.556664,0.345513,[10  3] ; [17  3],[10.63636364  2.36363636] ; [16.36363636  3.63636364],0
u1,1,0.56265,0.335136,[ 3 42] ; [ 4 88],[ 2.29927007 42.70072993] ; [ 4.70072993 87.29927007],0
p8,1,0.579305,0.30736,[20 24] ; [45 44],[21.5037594 22.4962406] ; [43.4962406 45.5037594],0
u3,1,0.602332,0.271493,[5 5] ; [12  8],[5.66666667 4.33333333] ; [11.33333333  8.66666667],0
n5,1,0.62619,0.237263,[35 10] ; [74 17],[36.06617647  8.93382353] ; [72.93382353 18.06617647],0
d1,1,0.62697,0.236192,[21 24] ; [47 45],[22.33576642 22.66423358] ; [45.66423358 46.33576642],0
a5,1,0.634659,0.225795,[30 15] ; [65 27],[31.20437956 13.79562044] ; [63.79562044 28.20437956],0
b3,1,0.656561,0.197728,[17 14] ; [33 33],[15.97938144 15.02061856] ; [34.02061856 31.97938144],0
b2,1,0.656561,0.197728,[17 14] ; [33 33],[15.97938144 15.02061856] ; [34.02061856 31.97938144],0
a4,1,0.667528,0.184507,[20 25] ; [44 47],[21.17647059 23.82352941] ; [42.82352941 48.17647059],0
a1,1,0.681478,0.168467,[ 3 42] ; [ 8 84],[ 3.61313869 41.38686131] ; [ 7.38686131 84.61313869],0
p7,1,0.729664,0.11942,[31 14] ; [58 30],[30.11278195 14.88721805] ; [58.88721805 29.11278195],0
a6,1,0.730273,0.118861,[18 27] ; [34 58],[17.08029197 27.91970803] ; [34.91970803 57.08029197],0
