Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.004331,8.13976,[6 3] ; [ 8 33],[2.52 6.48] ; [11.48 29.52],0
p2,1,0.0047,7.991283,[7 2] ; [11 29],[3.30612245 5.69387755] ; [14.69387755 25.30612245],0
p11,1,0.007283,7.201786,[5 4] ; [ 6 35],[1.98 7.02] ; [ 9.02 31.98],0
d2,1,0.019128,5.489815,[7 2] ; [14 26],[3.85714286 5.14285714] ; [17.14285714 22.85714286],0
s8,1,0.029637,4.730229,[3 6] ; [ 3 38],[1.08 7.92] ; [ 4.92 36.08],0
p3,1,0.047675,3.921396,[4 5] ; [ 6 34],[1.83673469 7.16326531] ; [ 8.16326531 31.83673469],0
p1,1,0.064907,3.407341,[3 6] ; [ 4 37],[1.26 7.74] ; [ 5.74 35.26],0
p10,1,0.072331,3.229303,[5 4] ; [10 30],[2.75510204 6.24489796] ; [12.24489796 27.75510204],0
r4,1,0.082427,3.016378,[2 7] ; [ 2 39],[0.72 8.28] ; [ 3.28 37.72],0
b2,1,0.089688,2.879968,[1 6] ; [13 13],[2.96969697 4.03030303] ; [11.03030303 14.96969697],0
b3,1,0.089688,2.879968,[1 6] ; [13 13],[2.96969697 4.03030303] ; [11.03030303 14.96969697],0
u2,1,0.114653,2.488889,[2 1] ; [ 4 14],[0.85714286 2.14285714] ; [ 5.14285714 12.85714286],0
s2,1,0.11726,2.453542,[3 6] ; [ 5 36],[1.44 7.56] ; [ 6.56 34.44],0
d4,1,0.146092,2.112589,[7 2] ; [21 20],[5.04 3.96] ; [22.96 18.04],0
p9,1,0.178283,1.811879,[5 4] ; [12 26],[3.25531915 5.74468085] ; [13.74468085 24.25531915],0
p5,1,0.238149,1.391519,[1 8] ; [ 1 39],[0.36734694 8.63265306] ; [ 1.63265306 38.36734694],0
s3,1,0.243345,1.361111,[4 5] ; [10 30],[2.57142857 6.42857143] ; [11.42857143 28.57142857],0
s7,1,0.245667,1.34778,[3 6] ; [ 6 31],[1.76086957 7.23913043] ; [ 7.23913043 29.76086957],0
v4,1,0.269456,1.219512,[6 3] ; [19 22],[4.5 4.5] ; [20.5 20.5],0
n2,1,0.315425,1.007824,[3 1] ; [11 12],[2.07407407 1.92592593] ; [11.92592593 11.07407407],0
n6,1,0.362876,0.827916,[5 4] ; [16 25],[3.78 5.22] ; [17.22 23.78],0
d1,1,0.376797,0.781125,[4 5] ; [12 29],[2.88 6.12] ; [13.12 27.88],0
p4,1,0.432432,0.616284,[2 7] ; [ 5 36],[1.26 7.74] ; [ 5.74 35.26],0
v3,1,0.461603,0.542005,[1 8] ; [ 9 32],[1.8 7.2] ; [ 8.2 32.8],0
b1,1,0.465117,0.533552,[5 4] ; [28 13],[5.94 3.06] ; [27.06 13.94],0
a7,1,0.465117,0.533552,[4 5] ; [13 28],[3.06 5.94] ; [13.94 27.06],0
b4,1,0.476523,0.50681,[6 3] ; [22 19],[5.04 3.96] ; [22.96 18.04],0
n4,1,0.487416,0.482225,[7 2] ; [27 14],[6.12 2.88] ; [27.88 13.12],0
p6,1,0.489614,0.477375,[1 8] ; [ 2 38],[0.55102041 8.44897959] ; [ 2.44897959 37.55102041],0
p7,1,0.533796,0.38716,[1 8] ; [ 8 32],[1.65306122 7.34693878] ; [ 7.34693878 32.65306122],0
a1,1,0.552481,0.352891,[1 8] ; [ 8 33],[1.62 7.38] ; [ 7.38 33.62],0
r1,1,0.560006,0.339694,[4 5] ; [14 27],[3.24 5.76] ; [14.76 26.24],0
d5,1,0.560743,0.33842,[6 3] ; [23 18],[5.22 3.78] ; [23.78 17.22],0
v1,1,0.579663,0.30678,[3 6] ; [10 31],[2.34 6.66] ; [10.66 30.34],0
a3,1,0.613187,0.25556,[6 3] ; [23 17],[5.32653061 3.67346939] ; [23.67346939 16.32653061],0
n5,1,0.669879,0.181744,[7 2] ; [29 12],[6.48 2.52] ; [29.52 11.48],0
u3,1,0.675706,0.175,[1 2] ; [ 4 14],[0.71428571 2.28571429] ; [ 4.28571429 13.71428571],0
a4,1,0.699258,0.149245,[4 5] ; [15 25],[3.48979592 5.51020408] ; [15.51020408 24.48979592],0
r2,1,0.699258,0.149245,[5 4] ; [25 15],[5.51020408 3.48979592] ; [24.48979592 15.51020408],0
a6,1,0.712795,0.135501,[5 4] ; [20 21],[4.5 4.5] ; [20.5 20.5],0
s4,1,0.715789,0.132564,[2 7] ; [ 7 34],[1.62 7.38] ; [ 7.38 33.62],0
v2,1,0.763238,0.090741,[1 8] ; [ 6 34],[1.28571429 7.71428571] ; [ 5.71428571 34.28571429],0
d3,1,0.763753,0.090334,[4 5] ; [16 25],[3.6 5.4] ; [16.4 24.6],0
n1,1,0.80857,0.058696,[2 2] ; [10 13],[1.77777778 2.22222222] ; [10.22222222 12.77777778],0
a5,1,0.813607,0.05559,[5 4] ; [21 20],[4.68 4.32] ; [21.32 19.68],0
n3,1,0.866784,0.028139,[2 2] ; [10 12],[1.84615385 2.15384615] ; [10.15384615 11.84615385],0
b5,1,0.917645,0.010692,[4 5] ; [19 22],[4.14 4.86] ; [18.86 22.14],0
