Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,2e-06,22.520981,[21 35] ; [116  43],[35.68372093 20.31627907] ; [101.31627907  57.68372093],1
d3,1,1e-05,19.432647,[27 29] ; [126  33],[39.85116279 16.14883721] ; [113.14883721  45.85116279],1
p2,1,1.4e-05,18.869584,[30 26] ; [130  27],[42.0657277 13.9342723] ; [117.9342723  39.0657277],1
n6,1,0.003064,8.768902,[27 29] ; [111  47],[36.11214953 19.88785047] ; [101.88785047  56.11214953],0
p9,1,0.0031,8.747667,[32 23] ; [122  33],[40.33333333 14.66666667] ; [113.66666667  41.33333333],0
p10,1,0.004822,7.944833,[28 27] ; [112  44],[36.492891 18.507109] ; [103.507109  52.492891],0
u1,1,0.005942,7.567662,[ 1 55] ; [ 25 134],[ 6.77209302 49.22790698] ; [ 19.22790698 139.77209302],0
a2,1,0.012636,6.219383,[ 3 53] ; [ 31 128],[ 8.85581395 47.14418605] ; [ 25.14418605 133.85581395],0
n1,1,0.025917,4.961533,[ 9 10] ; [ 8 33],[ 5.38333333 13.61666667] ; [11.61666667 29.38333333],0
d5,1,0.040221,4.208531,[38 18] ; [129  30],[43.49767442 12.50232558] ; [123.50232558  35.49767442],0
n2,1,0.04818,3.903695,[17  2] ; [26 14],[13.84745763  5.15254237] ; [29.15254237 10.84745763],0
b5,1,0.051244,3.80027,[28 28] ; [103  56],[34.12093023 21.87906977] ; [96.87906977 62.12093023],0
v4,1,0.071702,3.243624,[50  5] ; [154   5],[52.42990654  2.57009346] ; [151.57009346   7.42990654],0
d4,1,0.072486,3.225799,[42 14] ; [136  23],[46.3627907  9.6372093] ; [131.6372093  27.3627907],0
a1,1,0.077146,3.124021,[ 5 51] ; [  5 154],[ 2.60465116 53.39534884] ; [  7.39534884 151.60465116],0
d1,1,0.122778,2.381522,[25 31] ; [90 69],[29.95348837 26.04651163] ; [85.04651163 73.95348837],0
p4,1,0.153598,2.036146,[20 35] ; [75 83],[24.53051643 30.46948357] ; [70.46948357 87.53051643],0
b1,1,0.190879,1.710818,[23 33] ; [ 50 109],[19.01395349 36.98604651] ; [ 53.98604651 105.01395349],0
s1,1,0.198876,1.650607,[ 4 52] ; [  5 154],[ 2.34418605 53.65581395] ; [  6.65581395 152.34418605],0
a4,1,0.210791,1.565984,[25 31] ; [ 56 103],[21.09767442 34.90232558] ; [59.90232558 99.09767442],0
p5,1,0.241593,1.371272,[ 1 54] ; [  9 149],[ 2.58215962 52.41784038] ; [  7.41784038 150.58215962],0
r1,1,0.26028,1.267268,[43 13] ; [132  26],[45.79439252 10.20560748] ; [129.20560748  28.79439252],0
s4,1,0.27671,1.183176,[14 42] ; [ 29 130],[11.2 44.8] ; [ 31.8 127.2],0
s3,1,0.286262,1.137119,[30 25] ; [73 85],[26.59624413 28.40375587] ; [76.40375587 81.59624413],0
p1,1,0.295584,1.094014,[ 6 50] ; [ 10 146],[ 4.22641509 51.77358491] ; [ 11.77358491 144.22641509],0
u3,1,0.298912,1.079043,[12  9] ; [37 16],[13.90540541  7.09459459] ; [35.09459459 17.90540541],0
p12,1,0.299541,1.076237,[ 1 54] ; [  8 149],[ 2.33490566 52.66509434] ; [  6.66509434 150.33490566],0
p8,1,0.304549,1.054169,[20 35] ; [70 88],[23.23943662 31.76056338] ; [66.76056338 91.23943662],0
b2,1,0.42619,0.633184,[12 22] ; [24 62],[10.2 23.8] ; [25.8 60.2],0
b3,1,0.42619,0.633184,[12 22] ; [24 62],[10.2 23.8] ; [25.8 60.2],0
n3,1,0.48062,0.497455,[13  5] ; [33  8],[14.03389831  3.96610169] ; [31.96610169  9.03389831],0
s5,1,0.536472,0.382118,[16 34] ; [ 42 111],[14.28571429 35.71428571] ; [ 43.71428571 109.28571429],0
a8,1,0.545579,0.365297,[ 3 50] ; [ 12 134],[ 3.99497487 49.00502513] ; [ 11.00502513 134.99497487],0
p7,1,0.55054,0.35635,[29 27] ; [88 68],[30.90566038 25.09433962] ; [86.09433962 69.90566038],0
