Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,138.871218,[43 87] ; [263  33],[93.38028169 36.61971831] ; [212.61971831  83.38028169],1
p11,1,0.0,48.467234,[61 73] ; [235  62],[92.02784223 41.97215777] ; [203.97215777  93.02784223],1
p2,1,0.0,30.560939,[74 60] ; [240  57],[97.62412993 36.37587007] ; [216.37587007  80.62412993],1
r3,1,0.0,26.447602,[103  30] ; [278  17],[118.39485981  14.60514019] ; [262.60514019  32.39485981],1
v4,1,1e-06,24.728837,[104  29] ; [279  17],[118.73892774  14.26107226] ; [264.26107226  31.73892774],1
n6,1,1e-06,24.481463,[82 52] ; [246  50],[102.21395349  31.78604651] ; [225.78604651  70.21395349],1
s8,1,9e-06,19.712543,[ 23 111] ; [115 182],[42.90487239 91.09512761] ; [ 95.09512761 201.90487239],1
r4,1,9e-06,19.674876,[91 43] ; [256  41],[107.88399072  26.11600928] ; [239.11600928  57.88399072],1
s2,1,1.2e-05,19.152243,[36 97] ; [147 149],[56.73426573 76.26573427] ; [126.26573427 169.73426573],1
s6,1,1.6e-05,18.636558,[52 82] ; [180 114],[72.63551402 61.36448598] ; [159.36448598 134.63551402],1
s7,1,1.8e-05,18.386877,[29 96] ; [130 155],[48.47560976 76.52439024] ; [110.52439024 174.47560976],1
p8,1,4.3e-05,16.753547,[34 98] ; [138 157],[53.17096019 78.82903981] ; [118.82903981 176.17096019],1
d3,1,7.8e-05,15.612002,[68 65] ; [209  86],[86.0771028 46.9228972] ; [190.9228972 104.0771028],1
a5,1,8.4e-05,15.469887,[67 67] ; [207  90],[85.18793503 48.81206497] ; [188.81206497 108.18793503],1
a7,1,0.000215,13.693138,[74 59] ; [218  78],[90.52680653 42.47319347] ; [201.47319347  94.52680653],1
p7,1,0.00034,12.835733,[53 80] ; [171 121],[70.09882353 62.90117647] ; [153.90117647 138.09882353],1
s3,1,0.000563,11.894408,[50 81] ; [166 129],[66.42253521 64.57746479] ; [149.57746479 145.42253521],1
r2,1,0.000638,11.661931,[108  24] ; [272  21],[118.02352941  13.97647059] ; [261.97647059  31.02352941],1
a3,1,0.001067,10.70719,[70 63] ; [205  92],[85.05813953 47.94186047] ; [189.94186047 107.05813953],0
r1,1,0.001278,10.373755,[81 53] ; [224  72],[95.04651163 38.95348837] ; [209.95348837  86.04651163],0
n4,1,0.001667,9.884663,[77 57] ; [216  81],[91.09512761 42.90487239] ; [201.90487239  95.09512761],0
p4,1,0.002726,8.982628,[46 87] ; [148 147],[60.28504673 72.71495327] ; [133.71495327 161.28504673],0
p3,1,0.003598,8.47651,[ 34 100] ; [118 178],[47.36744186 86.63255814] ; [104.63255814 191.36744186],0
d5,1,0.004323,8.142827,[88 45] ; [234  62],[99.82750583 33.17249417] ; [222.17249417  73.82750583],0
a1,1,0.004938,7.901917,[ 11 123] ; [  7 290],[  5.5962877 128.4037123] ; [ 12.4037123 284.5962877],0
n5,1,0.005494,7.709257,[73 61] ; [201  93],[85.78504673 48.21495327] ; [188.21495327 105.78504673],0
a6,1,0.005792,7.613943,[74 59] ; [206  91],[86.60465116 46.39534884] ; [193.39534884 103.60465116],0
d4,1,0.006014,7.546018,[90 41] ; [240  57],[101.0046729  29.9953271] ; [228.9953271  68.0046729],0
d1,1,0.006962,7.282853,[57 77] ; [168 129],[69.95359629 64.04640371] ; [155.04640371 141.95359629],0
v2,1,0.008403,6.94547,[40 91] ; [125 158],[52.21014493 78.78985507] ; [112.78985507 170.21014493],0
b1,1,0.016552,5.743251,[67 67] ; [112 185],[55.65197216 78.34802784] ; [123.34802784 173.65197216],0
s5,1,0.01923,5.480434,[ 22 108] ; [ 79 208],[31.48681055 98.51318945] ; [ 69.51318945 217.48681055],0
