Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,78.855326,[279 202] ; [ 31 138],[229.4 251.6] ; [80.6 88.4],1
a4,1,0.0,71.251038,[262 221] ; [ 28 140],[215.16129032 267.83870968] ; [74.83870968 93.16129032],1
a3,1,0.0,60.788501,[382 101] ; [79 88],[342.55846154 140.44153846] ; [118.44153846  48.55846154],1
d1,1,0.0,54.517054,[341 143] ; [ 65 104],[300.92496172 183.07503828] ; [105.07503828  63.92496172],1
u1,1,0.0,44.360792,[136 348] ; [  6 163],[105.24961715 378.75038285] ; [ 36.75038285 132.24961715],1
a6,1,0.0,38.718464,[402  79] ; [102  67],[372.96 108.04] ; [131.04  37.96],1
n4,1,0.0,27.918702,[389  94] ; [101  67],[363.5483871 119.4516129] ; [126.4516129  41.5483871],1
r1,1,1e-06,24.037126,[420  61] ; [119  49],[399.47457627  81.52542373] ; [139.52542373  28.47457627],1
p4,1,3e-06,21.622169,[317 162] ; [77 91],[291.69397218 187.30602782] ; [102.30602782  65.69397218],1
d3,1,1.6e-05,18.650503,[398  84] ; [112  56],[378.18461538 103.81538462] ; [131.81538462  36.18461538],1
d5,1,6.1e-05,16.071114,[416  66] ; [123  46],[399.07526882  82.92473118] ; [139.92473118  29.07526882],1
r4,1,0.000424,12.424216,[460  24] ; [147  22],[449.9050536  34.0949464] ; [157.0949464  11.9050536],1
v2,1,0.000539,11.97734,[288 175] ; [75 86],[269.34134615 193.65865385] ; [93.65865385 67.34134615],1
n5,1,0.000919,10.983617,[367 114] ; [106  62],[350.55932203 130.44067797] ; [122.44067797  45.55932203],1
d4,1,0.001225,10.452224,[421  61] ; [130  39],[407.96006144  74.03993856] ; [143.03993856  25.96006144],0
s5,1,0.001252,10.412524,[163 301] ; [ 35 128],[146.52631579 317.47368421] ; [ 51.47368421 111.52631579],0
v1,1,0.001401,10.203915,[271 201] ; [70 93],[253.46771654 218.53228346] ; [87.53228346 75.46771654],0
s8,1,0.001461,10.127411,[220 258] ; [ 54 115],[202.42967543 275.57032457] ; [71.57032457 97.42967543],0
p9,1,0.001866,9.677017,[417  60] ; [126  37],[404.7046875  72.2953125] ; [138.2953125  24.7046875],0
p10,1,0.00229,9.30091,[406  72] ; [122  42],[393.12149533  84.87850467] ; [134.87850467  29.12149533],0
s7,1,0.004209,8.191241,[234 225] ; [ 61 100],[218.39516129 240.60483871] ; [76.60483871 84.39516129],0
r2,1,0.006097,7.521429,[468  12] ; [156  12],[462.22222222  17.77777778] ; [161.77777778   6.22222222],0
p8,1,0.00744,7.163456,[267 207] ; [74 93],[252.15912637 221.84087363] ; [88.84087363 78.15912637],0
p12,1,0.009306,6.763099,[ 48 431] ; [  6 162],[ 39.97836167 439.02163833] ; [ 14.02163833 153.97836167],0
p3,1,0.04431,4.044711,[250 229] ; [73 96],[238.76080247 240.23919753] ; [84.23919753 84.76080247],0
s2,1,0.046785,3.953122,[256 222] ; [75 93],[244.91950464 233.08049536] ; [86.08049536 81.91950464],0
s6,1,0.057179,3.617369,[331 144] ; [103  64],[321.105919 153.894081] ; [112.894081  54.105919],0
p6,1,0.070436,3.272827,[183 294] ; [ 50 114],[173.38689548 303.61310452] ; [ 59.61310452 104.38689548],0
b2,1,0.10117,2.686996,[109 181] ; [25 64],[102.53298153 187.46701847] ; [31.46701847 57.53298153],0
b3,1,0.10117,2.686996,[109 181] ; [25 64],[102.53298153 187.46701847] ; [31.46701847 57.53298153],0
n6,1,0.102088,2.672616,[413  69] ; [135  33],[406.36307692  75.63692308] ; [141.63692308  26.36307692],0
v3,1,0.105588,2.619037,[191 273] ; [ 55 107],[182.33865815 281.66134185] ; [63.66134185 98.33865815],0
u4,1,0.105618,2.618587,[ 13 471] ; [  1 168],[ 10.37672282 473.62327718] ; [  3.62327718 165.37672282],0
p11,1,0.121835,2.393572,[383 101] ; [124  45],[375.7856049 108.2143951] ; [131.2143951  37.7856049],0
p7,1,0.122397,2.386374,[304 165] ; [94 68],[295.81933439 173.18066561] ; [102.18066561  59.81933439],0
n3,1,0.127608,2.321367,[72 30] ; [34  7],[75.60839161 26.39160839] ; [30.39160839 10.60839161],0
a1,1,0.152177,2.050288,[ 24 460] ; [  4 165],[ 20.75344564 463.24655436] ; [  7.24655436 161.75344564],0
b1,1,0.173644,1.851195,[177 307] ; [ 52 117],[169.73353752 314.26646248] ; [ 59.26646248 109.73353752],0
u3,1,0.175243,1.837508,[69 31] ; [53 36],[64.55026455 35.44973545] ; [57.44973545 31.55026455],0
p2,1,0.177904,1.81505,[411  70] ; [137  32],[405.52  75.48] ; [142.48  26.52],0
s4,1,0.326151,0.964119,[ 76 400] ; [ 32 134],[ 80.07476636 395.92523364] ; [ 27.92523364 138.07476636],0
r3,1,0.350612,0.871241,[466  18] ; [158   9],[463.92626728  20.07373272] ; [160.07373272   6.92626728],0
a8,1,0.396193,0.719851,[ 61 367] ; [ 18 138],[ 57.89726027 370.10273973] ; [ 21.10273973 134.89726027],0
p5,1,0.402295,0.701456,[ 57 422] ; [ 16 152],[ 54.04482226 424.95517774] ; [ 18.95517774 149.04482226],0
s1,1,0.428965,0.625624,[ 14 461] ; [  7 159],[ 15.56162246 459.43837754] ; [  5.43837754 160.56162246],0
s3,1,0.522005,0.409931,[266 210] ; [88 78],[262.46728972 213.53271028] ; [91.53271028 74.46728972],0
b5,1,0.535782,0.383413,[322 162] ; [108  61],[318.7136294 165.2863706] ; [111.2863706  57.7136294],0
n2,1,0.563209,0.334178,[77 26] ; [28 12],[75.62937063 27.37062937] ; [29.37062937 10.62937063],0
u2,1,0.788546,0.071931,[59 43] ; [52 35],[59.9047619 42.0952381] ; [51.0952381 35.9047619],0
b4,1,0.804904,0.061011,[284 200] ; [101  68],[285.35987749 198.64012251] ; [99.64012251 69.35987749],0
p1,1,0.805561,0.060593,[ 43 437] ; [ 14 154],[ 42.22222222 437.77777778] ; [ 14.77777778 153.22222222],0
n1,1,0.947622,0.004316,[36 64] ; [15 26],[36.17021277 63.82978723] ; [14.82978723 26.17021277],0
