Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.002564,9.094236,[ 6 58] ; [ 9 16],[10.78651685 53.21348315] ; [ 4.21348315 20.78651685],0
d5,1,0.005738,7.630849,[34 31] ; [21  4],[39.72222222 25.27777778] ; [15.27777778  9.72222222],0
s6,1,0.008784,6.866216,[14 51] ; [12 12],[18.98876404 46.01123596] ; [ 7.01123596 16.98876404],0
d1,1,0.011977,6.314324,[18 47] ; [14 11],[23.11111111 41.88888889] ; [ 8.88888889 16.11111111],0
r3,1,0.016201,5.780878,[28 37] ; [16  6],[32.87356322 32.12643678] ; [11.12643678 10.87356322],0
d4,1,0.040442,4.199249,[36 29] ; [19  5],[40.16853933 24.83146067] ; [14.83146067  9.16853933],0
s5,1,0.065009,3.40475,[ 7 57] ; [ 6 16],[ 9.6744186 54.3255814] ; [ 3.3255814 18.6744186],0
u3,1,0.06639,3.370098,[ 7 27] ; [5 5],[ 9.27272727 24.72727273] ; [2.72727273 7.27272727],0
v4,1,0.082535,3.014266,[34 30] ; [17  6],[37.51724138 26.48275862] ; [13.48275862  9.51724138],0
s2,1,0.083328,2.998758,[15 50] ; [10 14],[18.25842697 46.74157303] ; [ 6.74157303 17.25842697],0
a7,1,0.085691,2.953514,[30 35] ; [16  8],[33.59550562 31.40449438] ; [12.40449438 11.59550562],0
n1,1,0.123536,2.371904,[11 20] ; [1 9],[ 9.07317073 21.92682927] ; [2.92682927 7.07317073],0
d3,1,0.130309,2.288825,[27 37] ; [15 10],[30.20224719 33.79775281] ; [11.79775281 13.20224719],0
r2,1,0.13805,2.199563,[32 30] ; [16  7],[35.01176471 26.98823529] ; [12.98823529 10.01176471],0
r1,1,0.149216,2.080251,[16 49] ; [10 15],[18.77777778 46.22222222] ; [ 7.22222222 17.77777778],0
b4,1,0.149541,2.076923,[36 29] ; [18  7],[39. 26.] ; [15. 10.],0
d2,1,0.229982,1.44097,[23 41] ; [12 12],[25.45454545 38.54545455] ; [ 9.54545455 14.45454545],0
a2,1,0.239317,1.384615,[ 5 60] ; [ 4 21],[ 6.5 58.5] ; [ 2.5 22.5],0
s8,1,0.244161,1.356408,[12 53] ; [ 2 22],[10.2247191 54.7752809] ; [ 3.7752809 20.2247191],0
a3,1,0.265679,1.23892,[30 34] ; [15 10],[32.35955056 31.64044944] ; [12.64044944 12.35955056],0
b5,1,0.359607,0.839265,[32 33] ; [15 10],[33.94444444 31.05555556] ; [13.05555556 11.94444444],0
n3,1,0.368126,0.809981,[12 19] ; [5 4],[13.175 17.825] ; [3.825 5.175],0
p11,1,0.40261,0.700517,[30 35] ; [14 11],[31.77777778 33.22222222] ; [12.22222222 12.77777778],0
