Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,4.5e-05,16.667668,[17 19] ; [47  7],[25.6 10.4] ; [38.4 15.6],1
p7,1,6.9e-05,15.834578,[ 8 29] ; [34 19],[17.26666667 19.73333333] ; [24.73333333 28.26666667],1
p9,1,0.000208,13.759307,[20 15] ; [49  5],[27.13483146  7.86516854] ; [41.86516854 12.13483146],1
r3,1,0.000492,12.145479,[26 11] ; [52  2],[31.71428571  5.28571429] ; [46.28571429  7.71428571],1
s6,1,0.000573,11.862287,[13 24] ; [38 15],[20.96666667 16.03333333] ; [30.03333333 22.96666667],1
v4,1,0.002336,9.264706,[24 13] ; [49  5],[29.68131868  7.31868132] ; [43.31868132 10.68131868],0
v3,1,0.002956,8.834268,[ 7 30] ; [25 25],[13.6091954 23.3908046] ; [18.3908046 31.6091954],0
s8,1,0.003769,8.39179,[ 8 29] ; [28 26],[14.63736264 22.36263736] ; [21.36263736 32.63736264],0
p2,1,0.004411,8.106494,[17 18] ; [42 12],[23.20224719 11.79775281] ; [35.79775281 18.20224719],0
p8,1,0.007742,7.092135,[ 7 28] ; [25 27],[12.87356322 22.12643678] ; [19.12643678 32.87356322],0
n6,1,0.009661,6.696429,[23 13] ; [47  7],[28.  8.] ; [42. 12.],0
r2,1,0.013015,6.167095,[24  9] ; [49  4],[28.01162791  4.98837209] ; [44.98837209  8.01162791],0
p6,1,0.018158,5.580808,[ 8 26] ; [25 26],[13.2 20.8] ; [19.8 31.2],0
n1,1,0.01965,5.442688,[ 2 14] ; [9 9],[ 5.17647059 10.82352941] ; [ 5.82352941 12.17647059],0
s5,1,0.020677,5.353846,[ 6 29] ; [20 29],[10.83333333 24.16666667] ; [15.16666667 33.83333333],0
p11,1,0.020794,5.344011,[22 15] ; [44 10],[26.83516484 10.16483516] ; [39.16483516 14.83516484],0
n2,1,0.072285,3.230359,[8 8] ; [15  4],[10.51428571  5.48571429] ; [12.48571429  6.51428571],0
s3,1,0.114716,2.488024,[14 23] ; [29 24],[17.67777778 19.32222222] ; [25.32222222 27.67777778],0
p3,1,0.126328,2.337059,[13 22] ; [29 25],[16.51685393 18.48314607] ; [25.48314607 28.51685393],0
u2,1,0.137564,2.205,[2 6] ; [6 4],[3.55555556 4.44444444] ; [4.44444444 5.55555556],0
p4,1,0.138869,2.190452,[16 20] ; [32 21],[19.41573034 16.58426966] ; [28.58426966 24.41573034],0
n3,1,0.141763,2.158717,[7 9] ; [13  6],[9.14285714 6.85714286] ; [10.85714286  8.14285714],0
v1,1,0.15211,2.050958,[12 22] ; [27 26],[15.24137931 18.75862069] ; [23.75862069 29.24137931],0
n4,1,0.157999,1.993277,[23 14] ; [41 13],[26.02197802 10.97802198] ; [37.97802198 16.02197802],0
u3,1,0.167938,1.90125,[3 5] ; [7 3],[4.44444444 3.55555556] ; [5.55555556 4.44444444],0
n5,1,0.203321,1.61836,[22 15] ; [39 15],[24.8021978 12.1978022] ; [36.1978022 17.8021978],0
b4,1,0.251648,1.314134,[21 16] ; [37 17],[23.58241758 13.41758242] ; [34.41758242 19.58241758],0
u1,1,0.337852,0.918564,[ 5 32] ; [ 4 50],[ 3.65934066 33.34065934] ; [ 5.34065934 48.65934066],0
b1,1,0.355429,0.853979,[18 19] ; [21 33],[15.85714286 21.14285714] ; [23.14285714 30.85714286],0
b3,1,0.389424,0.740741,[ 8 16] ; [16 20],[ 9.6 14.4] ; [14.4 21.6],0
b2,1,0.389424,0.740741,[ 8 16] ; [16 20],[ 9.6 14.4] ; [14.4 21.6],0
p5,1,0.448798,0.573687,[ 3 34] ; [ 7 46],[ 4.11111111 32.88888889] ; [ 5.88888889 47.11111111],0
a7,1,0.4824,0.493434,[22 15] ; [36 18],[23.58241758 13.41758242] ; [34.41758242 19.58241758],0
s2,1,0.525974,0.402165,[16 21] ; [27 27],[17.48351648 19.51648352] ; [25.51648352 28.48351648],0
d3,1,0.527336,0.399522,[32  5] ; [44 10],[30.9010989  6.0989011] ; [45.0989011  8.9010989],0
a2,1,0.551385,0.354843,[ 8 29] ; [ 9 45],[ 6.91208791 30.08791209] ; [10.08791209 43.91208791],0
v2,1,0.575507,0.313554,[19 17] ; [30 21],[20.27586207 15.72413793] ; [28.72413793 22.27586207],0
s7,1,0.578281,0.309022,[13 22] ; [22 29],[14.24418605 20.75581395] ; [20.75581395 30.24418605],0
p1,1,0.57923,0.30748,[ 4 33] ; [ 8 46],[ 4.87912088 32.12087912] ; [ 7.12087912 46.87912088],0
b5,1,0.603959,0.269067,[22 15] ; [35 19],[23.17582418 13.82417582] ; [33.82417582 20.17582418],0
s1,1,0.711667,0.136618,[ 2 35] ; [ 2 51],[ 1.64444444 35.35555556] ; [ 2.35555556 50.64444444],0
a3,1,0.715096,0.13324,[29  8] ; [44 10],[29.68131868  7.31868132] ; [43.31868132 10.68131868],0
d4,1,0.785674,0.073948,[36  1] ; [53  1],[36.18681319  0.81318681] ; [52.81318681  1.18681319],0
d5,1,0.785674,0.073948,[36  1] ; [53  1],[36.18681319  0.81318681] ; [52.81318681  1.18681319],0
a4,1,0.796204,0.0667,[19 17] ; [27 27],[18.4 17.6] ; [27.6 26.4],0
a5,1,0.815153,0.054655,[28  9] ; [42 12],[28.46153846  8.53846154] ; [41.53846154 12.46153846],0
s4,1,0.864432,0.029151,[ 7 30] ; [11 43],[ 7.31868132 29.68131868] ; [10.68131868 43.31868132],0
a6,1,0.874242,0.02505,[22 15] ; [33 21],[22.36263736 14.63736264] ; [32.63736264 21.36263736],0
a1,1,0.901937,0.015182,[ 3 34] ; [ 4 50],[ 2.84615385 34.15384615] ; [ 4.15384615 49.84615385],0
a8,1,0.90622,0.013879,[ 2 35] ; [ 3 47],[ 2.12643678 34.87356322] ; [ 2.87356322 47.12643678],0
d2,1,1.0,0.0,[26 10] ; [39 15],[26. 10.] ; [39. 15.],0
