Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,2.8e-05,17.519652,[47  7] ; [40 37],[35.86259542 18.13740458] ; [51.13740458 25.86259542],1
s6,1,0.000253,13.386948,[34 19] ; [24 52],[23.82945736 29.17054264] ; [34.17054264 41.82945736],1
d4,1,0.001173,10.532095,[48  6] ; [49 28],[39.98473282 14.01526718] ; [57.01526718 19.98473282],0
p10,1,0.001356,10.264082,[34 19] ; [27 49],[25.0620155 27.9379845] ; [35.9379845 40.0620155],0
r3,1,0.001366,10.251362,[48  6] ; [50 28],[40.09090909 13.90909091] ; [57.90909091 20.09090909],0
s2,1,0.001586,9.976336,[27 27] ; [18 59],[18.54961832 35.45038168] ; [26.45038168 50.54961832],0
d1,1,0.00428,8.161057,[33 21] ; [28 50],[24.95454545 29.04545455] ; [36.04545455 41.95454545],0
s7,1,0.004907,7.91339,[24 28] ; [16 56],[16.77419355 35.22580645] ; [23.22580645 48.77419355],0
d3,1,0.00901,6.820866,[37 17] ; [35 42],[29.67938931 24.32061069] ; [42.32061069 34.67938931],0
v3,1,0.011537,6.380663,[24 29] ; [18 57],[17.390625 35.609375] ; [24.609375 50.390625],0
s8,1,0.014311,5.999399,[21 33] ; [15 62],[14.83969466 39.16030534] ; [21.16030534 55.83969466],0
r1,1,0.014597,5.964489,[41 13] ; [43 35],[34.36363636 19.63636364] ; [49.63636364 28.36363636],0
v4,1,0.02454,5.05603,[46  8] ; [53 25],[40.5 13.5] ; [58.5 19.5],0
s4,1,0.035002,4.44507,[14 40] ; [ 9 68],[ 9.48091603 44.51908397] ; [13.51908397 63.48091603],0
p7,1,0.038473,4.284,[17 34] ; [13 62],[12.14285714 38.85714286] ; [17.85714286 57.14285714],0
p1,1,0.038652,4.276082,[ 1 53] ; [ 9 69],[ 4.09090909 49.90909091] ; [ 5.90909091 72.09090909],0
p11,1,0.045579,3.99707,[31 23] ; [31 47],[25.36363636 28.63636364] ; [36.63636364 41.36363636],0
s3,1,0.06329,3.448999,[26 28] ; [24 51],[20.93023256 33.06976744] ; [29.06976744 45.93023256],0
r4,1,0.073442,3.204376,[40 14] ; [46 32],[35.18181818 18.81818182] ; [50.81818182 27.18181818],0
n1,1,0.084277,2.980423,[ 4 13] ; [17 18],[ 6.86538462 10.13461538] ; [14.13461538 20.86538462],0
s5,1,0.087608,2.917795,[14 38] ; [11 64],[10.23622047 41.76377953] ; [14.76377953 60.23622047],0
p4,1,0.091384,2.849818,[14 39] ; [11 65],[10.27131783 42.72868217] ; [14.72868217 61.27131783],0
a3,1,0.093826,2.807467,[39 15] ; [44 32],[34.47692308 19.52307692] ; [48.52307692 27.47692308],0
p9,1,0.096836,2.75689,[31 21] ; [33 41],[26.41269841 25.58730159] ; [37.58730159 36.41269841],0
v1,1,0.113549,2.504115,[22 31] ; [22 56],[17.80152672 35.19847328] ; [26.19847328 51.80152672],0
s1,1,0.115769,2.473643,[ 2 51] ; [ 9 69],[ 4.45038168 48.54961832] ; [ 6.54961832 71.45038168],0
p5,1,0.132519,2.262748,[ 1 53] ; [ 6 70],[ 2.90769231 51.09230769] ; [ 4.09230769 71.90769231],0
p12,1,0.180564,1.792974,[ 4 49] ; [ 2 76],[ 2.42748092 50.57251908] ; [ 3.57251908 74.42748092],0
n6,1,0.180829,1.790802,[38 16] ; [46 32],[34.36363636 19.63636364] ; [49.63636364 28.36363636],0
p6,1,0.186898,1.7419,[ 8 45] ; [ 6 71],[ 5.70769231 47.29230769] ; [ 8.29230769 68.70769231],0
r2,1,0.21866,1.513143,[46  6] ; [61 15],[43.46875  8.53125] ; [63.53125 12.46875],0
b1,1,0.259716,1.270268,[23 31] ; [41 37],[26.18181818 27.81818182] ; [37.81818182 40.18181818],0
a7,1,0.265748,1.238561,[35 19] ; [43 35],[31.90909091 22.09090909] ; [46.09090909 31.90909091],0
u1,1,0.279689,1.168601,[ 9 45] ; [ 8 70],[ 6.95454545 47.04545455] ; [10.04545455 67.95454545],0
b2,1,0.318237,0.99618,[ 9 24] ; [20 33],[11.12790698 21.87209302] ; [17.87209302 35.12790698],0
b3,1,0.318237,0.99618,[ 9 24] ; [20 33],[11.12790698 21.87209302] ; [17.87209302 35.12790698],0
n5,1,0.352111,0.865835,[30 24] ; [49 28],[32.5648855 21.4351145] ; [46.4351145 30.5648855],0
u4,1,0.35868,0.84251,[ 2 52] ; [ 1 77],[ 1.22727273 52.77272727] ; [ 1.77272727 76.22727273],0
a5,1,0.369347,0.805861,[34 20] ; [43 35],[31.5 22.5] ; [45.5 32.5],0
u3,1,0.403615,0.697529,[9 6] ; [16 18],[7.65306122 7.34693878] ; [17.34693878 16.65306122],0
a1,1,0.433537,0.613329,[ 4 50] ; [ 9 69],[ 5.31818182 48.68181818] ; [ 7.68181818 70.31818182],0
n3,1,0.479677,0.499597,[8 9] ; [19 14],[9.18 7.82] ; [17.82 15.18],0
p8,1,0.515705,0.422474,[10 44] ; [11 66],[ 8.65648855 45.34351145] ; [12.34351145 64.65648855],0
u2,1,0.525358,0.403361,[8 6] ; [16 18],[7. 7.] ; [17. 17.],0
b4,1,0.537832,0.379573,[32 22] ; [42 36],[30.27272727 23.72727273] ; [43.72727273 34.27272727],0
n4,1,0.543614,0.368883,[34 20] ; [45 33],[32.31818182 21.68181818] ; [46.68181818 31.31818182],0
a2,1,0.579242,0.307462,[ 9 45] ; [16 62],[10.22727273 43.77272727] ; [14.77272727 63.22727273],0
a8,1,0.623937,0.240373,[ 6 45] ; [ 7 70],[ 5.1796875 45.8203125] ; [ 7.8203125 69.1796875],0
b5,1,0.694474,0.154284,[33 21] ; [45 33],[31.90909091 22.09090909] ; [46.09090909 31.90909091],0
n2,1,0.695299,0.153409,[10  8] ; [22 14],[10.66666667  7.33333333] ; [21.33333333 14.66666667],0
a6,1,0.696477,0.152163,[29 25] ; [44 33],[30.09160305 23.90839695] ; [42.90839695 34.09160305],0
a4,1,0.884459,0.021118,[22 32] ; [30 46],[21.6 32.4] ; [30.4 45.6],0
d2,1,0.930104,0.007694,[26 28] ; [36 40],[25.75384615 28.24615385] ; [36.24615385 39.75384615],0
