Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,29.562012,[13 92] ; [17 11],[23.68421053 81.31578947] ; [ 6.31578947 21.68421053],1
s6,1,7e-06,20.256923,[33 72] ; [22  6],[43.42105263 61.57894737] ; [11.57894737 16.42105263],1
s7,1,0.001149,10.570279,[21 75] ; [15 13],[27.87096774 68.12903226] ; [ 8.12903226 19.87096774],0
s2,1,0.001582,9.980155,[27 78] ; [16 12],[33.94736842 71.05263158] ; [ 9.05263158 18.94736842],0
p10,1,0.001778,9.765432,[39 63] ; [20  8],[46.29230769 55.70769231] ; [12.70769231 15.29230769],0
r4,1,0.001873,9.669686,[56 49] ; [24  4],[63.15789474 41.84210526] ; [16.84210526 11.15789474],0
d4,1,0.002312,9.283499,[70 33] ; [27  1],[76.26717557 26.73282443] ; [20.73282443  7.26717557],0
r3,1,0.01288,6.185545,[67 36] ; [25  3],[72.33587786 30.66412214] ; [19.66412214  8.33587786],0
s3,1,0.013783,6.065732,[36 67] ; [17 11],[41.67175573 61.32824427] ; [11.32824427 16.67175573],0
p9,1,0.016929,5.703704,[44 55] ; [19  8],[49.5 49.5] ; [13.5 13.5],0
a8,1,0.019491,5.456875,[ 7 90] ; [ 6 20],[10.25203252 86.74796748] ; [ 2.74796748 23.25203252],0
s4,1,0.029021,4.766342,[15 90] ; [ 9 19],[18.94736842 86.05263158] ; [ 5.05263158 22.94736842],0
v2,1,0.030498,4.680993,[31 68] ; [15 13],[35.85826772 63.14173228] ; [10.14173228 17.85826772],0
v4,1,0.038301,4.291625,[77 26] ; [26  2],[80.98473282 22.01526718] ; [22.01526718  5.98473282],0
v1,1,0.048081,3.90716,[33 72] ; [14 13],[37.38636364 67.61363636] ; [ 9.61363636 17.38636364],0
d5,1,0.052871,3.747978,[69 34] ; [24  4],[73.1221374 29.8778626] ; [19.8778626  8.1221374],0
n3,1,0.097856,2.740136,[23 22] ; [10  3],[25.60344828 19.39655172] ; [7.39655172 5.60344828],0
n1,1,0.100583,2.696282,[17 30] ; [8 5],[19.58333333 27.41666667] ; [5.41666667 7.58333333],0
p6,1,0.11138,2.534537,[13 89] ; [ 7 21],[15.69230769 86.30769231] ; [ 4.30769231 23.69230769],0
n6,1,0.112905,2.513082,[55 48] ; [19  8],[58.63076923 44.36923077] ; [15.36923077 11.63076923],0
p2,1,0.121136,2.402566,[46 58] ; [17 11],[49.63636364 54.36363636] ; [13.36363636 14.63636364],0
p3,1,0.14965,2.075815,[17 86] ; [ 8 20],[19.65648855 83.34351145] ; [ 5.34351145 22.65648855],0
a5,1,0.168511,1.896142,[56 49] ; [19  9],[59.21052632 45.78947368] ; [15.78947368 12.21052632],0
d3,1,0.179685,1.800224,[51 51] ; [18 10],[54.13846154 47.86153846] ; [14.86153846 13.13846154],0
p7,1,0.20141,1.632121,[34 68] ; [13 15],[36.87692308 65.12307692] ; [10.12307692 17.87692308],0
a1,1,0.213519,1.547404,[12 93] ; [ 1 27],[10.26315789 94.73684211] ; [ 2.73684211 25.26315789],0
d2,1,0.240772,1.376069,[46 57] ; [16 12],[48.7480916 54.2519084] ; [13.2519084 14.7480916],0
a3,1,0.24819,1.333464,[64 39] ; [20  7],[66.55384615 36.44615385] ; [17.44615385  9.55384615],0
b2,1,0.263541,1.250059,[23 31] ; [ 4 11],[21.13043478 32.86956522] ; [5.86956522 9.13043478],0
b3,1,0.263541,1.250059,[23 31] ; [ 4 11],[21.13043478 32.86956522] ; [5.86956522 9.13043478],0
a7,1,0.277885,1.177403,[66 37] ; [21  7],[68.40458015 34.59541985] ; [18.59541985  9.40458015],0
p5,1,0.315619,1.007016,[  1 103] ; [ 1 27],[  1.57575758 102.42424242] ; [ 0.42424242 27.57575758],0
r1,1,0.317567,0.998942,[63 40] ; [20  8],[65.25954198 37.74045802] ; [17.74045802 10.25954198],0
u2,1,0.329071,0.95255,[17 22] ; [2 6],[15.76595745 23.23404255] ; [3.23404255 4.76595745],0
d1,1,0.357003,0.84841,[46 59] ; [15 13],[48.15789474 56.84210526] ; [12.84210526 15.15789474],0
a6,1,0.471673,0.518053,[59 45] ; [18 10],[60.66666667 43.33333333] ; [16.33333333 11.66666667],0
v3,1,0.515798,0.422287,[27 71] ; [ 6 22],[25.66666667 72.33333333] ; [ 7.33333333 20.66666667],0
b1,1,0.515866,0.422151,[56 49] ; [13 15],[54.47368421 50.52631579] ; [14.52631579 13.47368421],0
u3,1,0.52888,0.396543,[15 26] ; [2 6],[14.2244898 26.7755102] ; [2.7755102 5.2244898],0
b4,1,0.542938,0.370121,[57 48] ; [17 11],[58.42105263 46.57894737] ; [15.57894737 12.42105263],0
u1,1,0.571246,0.320603,[11 94] ; [ 4 24],[11.84210526 93.15789474] ; [ 3.15789474 24.84210526],0
p8,1,0.580701,0.305104,[21 83] ; [ 7 21],[22.06060606 81.93939394] ; [ 5.93939394 22.06060606],0
a4,1,0.63089,0.230856,[39 64] ; [12 16],[40.09923664 62.90076336] ; [10.90076336 17.09923664],0
n5,1,0.635739,0.224358,[63 41] ; [15 12],[61.92366412 42.07633588] ; [16.07633588 10.92366412],0
b5,1,0.679656,0.170513,[63 42] ; [18 10],[63.94736842 41.05263158] ; [17.05263158 10.94736842],0
n4,1,0.751415,0.100346,[62 42] ; [17 10],[62.71755725 41.28244275] ; [16.28244275 10.71755725],0
a2,1,0.799459,0.06454,[21 84] ; [ 5 23],[20.52631579 84.47368421] ; [ 5.47368421 22.52631579],0
p1,1,0.928975,0.007945,[ 7 98] ; [ 2 26],[ 7.10526316 97.89473684] ; [ 1.89473684 26.10526316],0
